Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Butt,Bonnie Crombie,Chris Hill,Aijaz Naqvi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 1","Mississauga",83,73,7,29,0,192,581
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 2","Mississauga",87,126,7,48,0,268,572
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 3","Mississauga",102,101,10,39,0,252,525
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 4","Mississauga",94,95,9,39,1,238,443
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 5","Mississauga",85,75,6,18,1,185,328
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 6","Mississauga",92,52,10,20,0,174,342
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 7","Mississauga",46,56,4,27,0,133,263
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 8","Mississauga",59,70,4,37,0,170,349
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 9","Mississauga",73,57,4,42,1,177,314
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 10","Mississauga",103,90,10,36,0,239,509
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 11","Mississauga",60,65,2,24,1,152,366
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 12","Mississauga",105,85,6,24,0,220,428
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 13","Mississauga",45,49,6,29,0,129,260
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 14","Mississauga",62,100,5,27,1,195,444
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 15","Mississauga",95,67,1,44,0,207,483
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 16","Mississauga",80,66,11,39,3,199,485
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 17","Mississauga",56,65,5,34,0,160,379
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 18","Mississauga",123,96,16,36,1,272,574
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 19","Mississauga",86,50,5,21,1,163,417
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 20","Mississauga",110,64,9,36,2,221,519
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 21","Mississauga",95,51,13,29,0,188,438
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 22","Mississauga",70,68,2,22,0,162,311
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 23","Mississauga",65,45,3,21,0,134,298
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 24","Mississauga",96,60,5,46,2,209,456
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 25","Mississauga",77,88,12,50,0,227,513
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 26","Mississauga",46,54,6,36,2,144,297
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 27","Mississauga",88,66,6,24,0,184,321
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 28","Mississauga",81,62,3,34,1,181,378
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 29","Mississauga",122,64,8,54,2,250,591
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 30","Mississauga",117,103,9,44,2,275,555
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 31","Mississauga",94,87,10,36,0,227,405
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 32","Mississauga",118,95,15,37,2,267,487
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 33","Mississauga",75,59,9,43,0,186,362
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 34","Mississauga",61,55,5,31,1,153,322
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 35","Mississauga",82,69,7,19,2,179,353
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 36","Mississauga",63,58,1,28,2,152,326
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 37","Mississauga",53,65,1,15,0,134,280
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 38","Mississauga",76,54,9,21,2,162,322
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 39","Mississauga",124,55,5,34,0,218,459
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 40","Mississauga",77,48,2,15,0,142,311
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 41","Mississauga",72,72,5,31,0,180,335
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 42","Mississauga",54,48,2,13,0,117,279
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 43","Mississauga",86,58,8,13,2,167,351
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 44","Mississauga",67,71,2,30,0,170,342
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 45","Mississauga",127,98,14,46,1,286,530
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 46","Mississauga",87,56,8,31,2,184,313
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 47","Mississauga",114,64,10,45,1,234,429
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 48","Mississauga",66,66,10,26,1,169,377
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 49","Mississauga",87,51,3,39,2,182,405
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 50","Mississauga",72,41,2,15,0,130,266
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 51","Mississauga",116,67,2,24,2,211,429
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 52","Mississauga",120,76,5,22,0,223,390
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 53","Mississauga",102,95,8,50,2,257,507
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 54","Mississauga",118,83,8,33,2,244,470
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 55","Mississauga",72,31,4,6,0,113,236
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 56","Mississauga",69,36,4,18,1,128,297
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 57","Mississauga",117,73,3,18,1,212,435
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 58","Mississauga",88,53,5,33,1,180,371
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 59","Mississauga",86,95,10,28,1,220,412
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 60","Mississauga",115,90,7,54,3,269,549
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 61","Mississauga",128,94,10,40,1,273,453
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 62","Mississauga",129,79,17,37,1,263,418
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 63","Mississauga",138,66,5,31,0,240,482
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 64","Mississauga",174,64,4,36,4,282,503
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 65","Mississauga",116,45,8,33,2,204,389
