Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stefan Dixon,Dan Harris,Gavan Paranchothy,Michelle Simson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 1","Scarborough",6,56,42,24,0,128,435
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 2","Scarborough",Void/Supprimé,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 3","Scarborough",Void/Supprimé,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 4","Scarborough",Void/Supprimé,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 5","Scarborough",6,86,80,67,0,239,432
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 6","Scarborough",8,59,60,58,3,188,333
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 7","Scarborough",6,54,65,57,1,183,362
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 8","Scarborough",8,63,80,97,1,249,462
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 9","Scarborough",5,70,71,88,2,236,466
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 10","Scarborough",4,59,48,25,1,137,329
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 10-1","Scarborough",2,39,27,28,0,96,262
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 11","Scarborough",3,55,55,28,0,141,352
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 12","Scarborough",Void/Supprimé,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 13","Scarborough",6,59,80,71,1,217,399
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 14","Scarborough",1,77,60,73,0,211,369
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 14-1","Scarborough",10,76,81,47,1,215,453
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 15","Scarborough",3,64,79,58,0,204,399
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 16","Scarborough",9,57,56,38,1,161,425
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 17","Scarborough",6,40,60,26,0,132,273
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 18","Scarborough",5,69,69,55,0,198,352
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 19","Scarborough",4,63,63,28,0,158,326
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 20","Scarborough",10,92,90,82,0,274,490
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 21","Scarborough",7,85,65,45,0,202,357
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 22","Scarborough",9,50,41,31,0,131,294
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 23","Scarborough",3,80,67,50,2,202,402
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 24","Scarborough",10,38,50,46,0,144,265
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 24-1","Scarborough",5,56,70,71,2,204,439
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 25","Scarborough",11,95,74,102,4,286,597
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 25-1A","Scarborough",6,81,52,35,0,174,401
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 25-1B","Scarborough",11,111,64,49,0,235,436
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 26","Scarborough",2,67,67,28,0,164,288
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 27","Scarborough",8,88,75,38,1,210,314
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 28","Scarborough",8,84,44,47,3,186,413
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 29","Scarborough",3,86,55,36,0,180,488
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 30","Scarborough",6,106,65,60,1,238,536
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 31","Scarborough",6,51,51,70,1,179,334
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 32","Scarborough",8,91,83,32,1,215,485
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 33","Scarborough",5,67,68,49,4,193,399
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 34","Scarborough",4,55,66,57,0,182,385
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 35","Scarborough",3,75,68,48,0,194,426
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 36","Scarborough",Void/Supprimé,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 37","Scarborough",1,70,50,49,0,170,368
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 38","Scarborough",8,87,74,86,0,255,470
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 39","Scarborough",2,46,39,48,3,138,257
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 40","Scarborough",6,73,47,31,1,158,476
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 41","Scarborough",8,110,92,66,3,279,537
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 42","Scarborough",9,59,75,45,0,188,377
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 43","Scarborough",6,69,45,41,2,163,400
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 44","Scarborough",3,57,61,33,2,156,365
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 45","Scarborough",0,116,80,76,2,274,525
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 46","Scarborough",5,114,89,77,0,285,541
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 47","Scarborough",13,84,65,62,0,224,400
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 48","Scarborough",3,65,59,52,3,182,316
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 49","Scarborough",15,81,63,68,3,230,444
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 50","Scarborough",9,41,45,53,1,149,313
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 51","Scarborough",2,117,27,60,1,207,468
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 52","Scarborough",3,54,46,30,0,133,302
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 53","Scarborough",7,107,27,50,0,191,428
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 54","Scarborough",9,62,65,47,3,186,346
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 55","Scarborough",6,73,97,80,1,257,479
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 56","Scarborough",7,84,95,57,0,243,490
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 57","Scarborough",9,57,74,48,0,188,362
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 58","Scarborough",6,44,52,17,0,119,246
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 59","Scarborough",5,70,70,41,0,186,299
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 60","Scarborough",4,42,28,26,0,100,244
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 61","Scarborough",4,63,100,62,1,230,451
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 62","Scarborough",9,57,75,81,0,222,373
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 63A","Scarborough",6,73,53,48,0,180,345
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 63B","Scarborough",9,46,56,37,0,148,304
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 64","Scarborough",12,70,81,61,2,226,370
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 65","Scarborough",13,83,79,57,0,232,363
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 66","Scarborough",11,42,51,36,0,140,244
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 67","Scarborough",13,80,72,58,1,224,415
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 68","Scarborough",6,39,39,19,0,103,266
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 69","Scarborough",5,33,30,25,0,93,279
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 70","Scarborough",Void/Supprimé,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 71","Scarborough",8,67,60,62,1,198,330
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 72","Scarborough",Void/Supprimé,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 73","Scarborough",11,64,66,56,2,199,333
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 74","Scarborough",4,73,52,52,2,183,510
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 75","Scarborough",7,46,110,79,0,242,424
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 76","Scarborough",13,42,119,80,0,254,401
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 77","Scarborough",11,58,64,96,1,230,346
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 78","Scarborough",5,66,89,54,0,214,346
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 79","Scarborough",9,55,77,45,0,186,387
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 80","Scarborough",8,59,67,28,1,163,286
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 81","Scarborough",9,56,80,59,4,208,299
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 82","Scarborough",11,62,113,62,0,248,533
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 83","Scarborough",11,66,85,44,2,208,407
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 84","Scarborough",5,54,60,50,2,171,327
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 85","Scarborough",17,60,67,35,0,179,388
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 86","Scarborough",11,88,76,51,1,227,533
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 87","Scarborough",12,80,113,59,2,266,500
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 88","Scarborough",11,83,54,42,0,190,336
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 89","Scarborough",13,75,59,44,0,191,340
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 90","Scarborough",17,86,77,34,2,216,379
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 91","Scarborough",7,98,85,57,1,248,473
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 92","Scarborough",11,57,47,19,3,137,252
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 93A","Scarborough",6,71,58,26,1,162,317
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 93B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,73
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 94","Scarborough",8,71,83,53,0,215,429
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 95","Scarborough",9,61,57,22,3,152,297
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 96","Scarborough",13,45,56,35,0,149,241
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 97","Scarborough",15,81,84,70,0,250,390
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 98","Scarborough",13,69,85,84,1,252,398
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 99","Scarborough",9,99,65,35,0,208,405
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 100","Scarborough",7,94,64,44,1,210,359
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 101","Scarborough",5,46,47,46,2,146,249
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 102","Scarborough",12,86,34,25,0,157,346
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 103","Scarborough",6,85,56,66,5,218,400
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 104","Scarborough",7,96,82,55,1,241,421
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 105","Scarborough",9,67,66,66,0,208,468
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 106","Scarborough",6,104,50,56,0,216,392
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 107","Scarborough",5,97,53,49,0,204,544
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 108A","Scarborough",12,101,66,113,4,296,572
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 108B","Scarborough",5,96,42,75,1,219,452
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 108-1","Scarborough",7,102,69,73,5,256,504
