Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Carkner,Joanne Corbeil,Neil Drabkin,Marc Garneau,Victoria Haliburton,Véronique Roy,Bill Sloan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 1","Montréal",5,52,10,30,0,28,0,0,125,426
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 2","Montréal",12,125,19,58,3,14,1,2,234,540
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 3","Montréal",Void/Supprimé,,,,,,,,,
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 4","Montréal",8,113,14,67,1,19,0,1,223,530
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 5","Montréal",4,60,24,54,1,18,0,0,161,404
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 6","Montréal",5,133,17,51,1,33,2,0,242,541
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 7A","Montréal",5,78,15,36,1,27,0,0,162,326
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 7B","Montréal",Merged with No. 25/Fusionné avec le nº 25,,,,,,,,,110
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 8","Montréal",7,80,14,37,0,17,1,0,156,417
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 9","Montréal",10,65,20,37,1,11,2,0,146,413
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 10","Montréal",7,100,18,57,1,30,0,2,215,563
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 11","Montréal",0,55,37,41,1,19,2,2,157,436
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 12","Montréal",2,44,12,30,0,20,0,1,109,449
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 13","Montréal",7,89,15,68,0,31,0,1,211,419
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 14","Montréal",6,138,34,74,0,31,0,3,286,567
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 15","Montréal",4,102,34,81,2,21,0,1,245,479
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 15-1","Montréal",4,85,26,47,1,13,1,2,179,412
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 16","Montréal",5,78,15,70,0,27,0,1,196,321
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 16-1","Montréal",7,63,11,55,0,30,1,1,168,325
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 17","Montréal",7,99,19,61,0,38,0,1,225,541
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 18","Montréal",9,70,24,55,0,17,0,0,175,454
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 19","Montréal",5,89,9,36,1,19,0,0,159,399
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 20","Montréal",6,44,7,40,0,4,1,0,102,244
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 21","Montréal",5,61,14,31,0,6,0,1,118,196
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 22","Montréal",1,60,21,46,0,7,1,2,138,450
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 23","Montréal",2,66,14,56,0,5,0,2,145,379
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 24","Montréal",6,43,20,42,2,8,0,1,122,311
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 25","Montréal",2,47,12,42,0,1,0,0,104,167
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 26","Montréal",7,106,20,84,0,12,1,1,231,605
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 27","Montréal",8,41,7,64,0,2,0,1,123,311
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 28","Montréal",5,37,6,32,0,2,1,0,83,232
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 29","Montréal",3,19,34,30,0,2,0,0,88,375
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 30","Montréal",4,26,18,32,0,5,0,0,85,316
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 31A","Montréal",3,45,25,55,0,13,0,0,141,540
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 31B","Montréal",3,69,23,66,0,19,0,3,183,522
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 31-1","Montréal",3,22,9,30,0,3,0,0,67,113
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 31-2","Montréal",7,144,32,91,0,28,2,2,306,665
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 31-3","Montréal",2,82,12,49,0,19,0,1,165,309
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 32","Montréal",4,63,72,83,2,2,0,1,227,627
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 33","Montréal",7,47,30,52,1,2,0,0,139,531
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 34","Montréal",4,91,51,111,0,7,0,0,264,729
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 35","Montréal",0,49,41,66,0,3,0,2,161,466
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 36","Montréal",11,38,50,96,0,8,0,0,203,476
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 37","Montréal",1,20,101,66,0,3,1,0,192,597
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 38","Montréal",7,44,42,73,0,8,0,1,175,428
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 39","Montréal",6,42,17,45,2,2,0,0,114,339
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 40","Montréal",2,24,47,39,1,4,0,1,118,387
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 41","Montréal",8,65,19,59,0,3,0,0,154,469
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 42","Montréal",3,35,27,44,0,1,0,0,110,375
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 43A","Montréal",2,55,37,51,0,3,1,1,150,598
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 43B","Montréal",10,42,37,38,0,5,0,2,134,364
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 44","Montréal",7,57,19,30,1,4,1,1,120,377
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 45","Montréal",4,62,46,46,1,9,0,1,169,423
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 46","Montréal",0,43,22,24,0,6,0,1,96,575
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 47","Montréal",1,35,11,22,0,2,0,0,71,444
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 48","Montréal",3,33,10,20,1,1,0,1,69,485
