Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Darien Moore,Shawn Setyo,Deborah J. Walker,Lynne Yelich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,Blackstrap/Blackstrap,1,Saskatoon,146,11,22,115,1,295,574
47002,Blackstrap/Blackstrap,2,Saskatoon,133,16,19,64,0,232,402
47002,Blackstrap/Blackstrap,3,Saskatoon,99,5,6,44,1,155,287
47002,Blackstrap/Blackstrap,4,Saskatoon,145,9,7,44,0,205,363
47002,Blackstrap/Blackstrap,5,Saskatoon,118,5,13,51,0,187,354
47002,Blackstrap/Blackstrap,6,Saskatoon,97,11,12,61,0,181,330
47002,Blackstrap/Blackstrap,7,Saskatoon,105,7,8,66,0,186,328
47002,Blackstrap/Blackstrap,8,Saskatoon,117,11,12,63,3,206,371
47002,Blackstrap/Blackstrap,9,Saskatoon,171,15,6,91,0,283,484
47002,Blackstrap/Blackstrap,10,Saskatoon,119,9,12,64,0,204,369
47002,Blackstrap/Blackstrap,11,Saskatoon,52,3,6,43,0,104,272
47002,Blackstrap/Blackstrap,12,Saskatoon,67,1,11,44,0,123,223
47002,Blackstrap/Blackstrap,13,Saskatoon,97,8,14,64,0,183,348
47002,Blackstrap/Blackstrap,14,Saskatoon,124,7,8,80,0,219,462
47002,Blackstrap/Blackstrap,15,Saskatoon,95,10,5,54,1,165,355
47002,Blackstrap/Blackstrap,16,Saskatoon,70,3,6,65,0,144,300
47002,Blackstrap/Blackstrap,17,Saskatoon,79,8,8,77,0,172,274
47002,Blackstrap/Blackstrap,18,Saskatoon,112,9,10,85,0,216,414
47002,Blackstrap/Blackstrap,19,Saskatoon,49,2,8,32,0,91,212
47002,Blackstrap/Blackstrap,20,Saskatoon,111,10,15,92,1,229,371
47002,Blackstrap/Blackstrap,21,Saskatoon,142,7,12,108,1,270,438
47002,Blackstrap/Blackstrap,22,Saskatoon,103,8,5,110,0,226,349
47002,Blackstrap/Blackstrap,23,Saskatoon,106,7,17,113,0,243,402
47002,Blackstrap/Blackstrap,24,Saskatoon,97,5,19,85,0,206,385
47002,Blackstrap/Blackstrap,25,Saskatoon,69,3,5,64,0,141,334
47002,Blackstrap/Blackstrap,26,Saskatoon,135,6,24,239,0,404,625
47002,Blackstrap/Blackstrap, 26-1,Saskatoon,45,1,20,200,2,268,396
47002,Blackstrap/Blackstrap,27,Saskatoon,69,3,7,53,0,132,272
47002,Blackstrap/Blackstrap,28,Saskatoon,127,8,10,56,1,202,354
47002,Blackstrap/Blackstrap,29,Saskatoon,89,3,4,50,1,147,251
47002,Blackstrap/Blackstrap,30,Saskatoon,78,1,14,77,0,170,270
47002,Blackstrap/Blackstrap,31,Saskatoon,61,3,5,56,0,125,235
47002,Blackstrap/Blackstrap,32,Saskatoon,69,3,5,45,0,122,248
47002,Blackstrap/Blackstrap,33,Saskatoon,141,5,12,127,1,286,419
47002,Blackstrap/Blackstrap,34,Saskatoon,91,2,18,103,1,215,375
47002,Blackstrap/Blackstrap,35,Saskatoon,95,8,6,118,0,227,380
47002,Blackstrap/Blackstrap,36,Saskatoon,110,15,17,106,1,249,404
47002,Blackstrap/Blackstrap,37,Saskatoon,97,10,11,87,1,206,315
47002,Blackstrap/Blackstrap,38,Saskatoon,106,8,20,104,1,239,394
47002,Blackstrap/Blackstrap,39,Saskatoon,168,7,20,105,1,301,417
47002,Blackstrap/Blackstrap,40,Saskatoon,83,3,19,92,1,198,320
47002,Blackstrap/Blackstrap,41,Saskatoon,101,4,14,131,0,250,388
47002,Blackstrap/Blackstrap,42,Saskatoon,103,6,20,74,0,203,334
47002,Blackstrap/Blackstrap,43,Saskatoon,71,9,15,81,0,176,269
47002,Blackstrap/Blackstrap,44,Saskatoon,60,3,12,86,0,161,278
47002,Blackstrap/Blackstrap,45,Saskatoon,116,3,21,101,1,242,372
47002,Blackstrap/Blackstrap,46,Saskatoon,86,1,8,73,2,170,257
47002,Blackstrap/Blackstrap,47,Saskatoon,97,8,14,160,0,279,452
47002,Blackstrap/Blackstrap,48,Saskatoon,78,2,13,101,0,194,332
47002,Blackstrap/Blackstrap,49,Saskatoon,90,7,16,101,1,215,368
47002,Blackstrap/Blackstrap,50,Saskatoon,92,7,15,109,0,223,358
47002,Blackstrap/Blackstrap, 50-1A,Saskatoon,78,3,10,160,0,251,433
47002,Blackstrap/Blackstrap, 50-1B,Saskatoon,77,6,25,173,0,281,499
47002,Blackstrap/Blackstrap, 50-2,Saskatoon,116,5,20,212,0,353,697
47002,Blackstrap/Blackstrap, 50-3,Saskatoon,62,11,5,183,2,263,426
47002,Blackstrap/Blackstrap,51,Saskatoon,51,6,9,62,1,129,278
47002,Blackstrap/Blackstrap,52,Saskatoon,68,6,10,70,1,155,290
47002,Blackstrap/Blackstrap,53,Saskatoon,57,4,8,42,0,111,253
47002,Blackstrap/Blackstrap,54,Saskatoon,151,7,19,107,0,284,522
47002,Blackstrap/Blackstrap,55,Saskatoon,92,1,18,79,0,190,306
47002,Blackstrap/Blackstrap,56,Saskatoon,100,5,24,86,0,215,354
47002,Blackstrap/Blackstrap,57,Saskatoon,69,8,9,73,1,160,253
47002,Blackstrap/Blackstrap,58,Saskatoon,83,1,20,85,0,189,217
47002,Blackstrap/Blackstrap,59,Saskatoon,109,2,13,142,3,269,444
47002,Blackstrap/Blackstrap,60,Saskatoon,116,4,17,123,0,260,405
47002,Blackstrap/Blackstrap,61,Saskatoon,43,2,24,112,1,182,347
47002,Blackstrap/Blackstrap, 62A,Saskatoon,66,4,13,69,1,153,232
47002,Blackstrap/Blackstrap, 62B,Mobile poll/Bureau itinérant,Merged with No. 502/Fusionné avec le nº 502,,,,,,21
47002,Blackstrap/Blackstrap, 62-1,Saskatoon,90,2,27,156,3,278,358
47002,Blackstrap/Blackstrap,63,Saskatoon,76,4,61,95,5,241,330
47002,Blackstrap/Blackstrap,64,Saskatoon,53,1,9,75,0,138,242
47002,Blackstrap/Blackstrap,65,Saskatoon,97,6,12,101,1,217,362
47002,Blackstrap/Blackstrap,66,Saskatoon,77,3,10,68,0,158,286
47002,Blackstrap/Blackstrap,67,Saskatoon,72,1,12,77,0,162,315
47002,Blackstrap/Blackstrap,68,Saskatoon,46,0,3,64,0,113,204
47002,Blackstrap/Blackstrap,69,Saskatoon,118,5,8,115,2,248,392
47002,Blackstrap/Blackstrap,70,Saskatoon,83,6,7,78,1,175,376
47002,Blackstrap/Blackstrap,71,Saskatoon,113,8,8,115,1,245,519
47002,Blackstrap/Blackstrap,72,Saskatoon,47,2,4,84,0,137,241
47002,Blackstrap/Blackstrap, 72-1,Saskatoon,100,5,22,179,0,306,464
47002,Blackstrap/Blackstrap,73,Saskatoon,60,3,6,165,0,234,378
47002,Blackstrap/Blackstrap,74,Saskatoon,96,10,12,107,1,226,430
47002,Blackstrap/Blackstrap,75,Saskatoon,115,4,17,107,0,243,433
47002,Blackstrap/Blackstrap,76,Saskatoon,104,5,14,126,1,250,426
47002,Blackstrap/Blackstrap,77,Saskatoon,69,2,24,102,1,198,312
47002,Blackstrap/Blackstrap,78,Saskatoon,92,6,19,95,0,212,375
47002,Blackstrap/Blackstrap,79,Saskatoon,89,3,26,199,1,318,527
47002,Blackstrap/Blackstrap,80,Saskatoon,80,7,7,93,0,187,334
47002,Blackstrap/Blackstrap,81,Saskatoon,48,3,7,52,0,110,276
47002,Blackstrap/Blackstrap,82,Saskatoon,98,5,15,120,1,239,421
47002,Blackstrap/Blackstrap,83,Saskatoon,37,0,5,50,0,92,184
47002,Blackstrap/Blackstrap,84,Saskatoon,77,5,18,137,0,237,425
47002,Blackstrap/Blackstrap,85,Saskatoon,65,0,9,73,1,148,233
47002,Blackstrap/Blackstrap, 85-1,Saskatoon,68,6,24,161,0,259,441
47002,Blackstrap/Blackstrap,86,Saskatoon,26,2,5,29,1,63,116
47002,Blackstrap/Blackstrap,87,Saskatoon,91,2,18,106,1,218,375
47002,Blackstrap/Blackstrap,88,Saskatoon,140,4,24,148,0,316,610
47002,Blackstrap/Blackstrap,89,Saskatoon,63,3,12,85,0,163,294
47002,Blackstrap/Blackstrap,90,Saskatoon,107,4,31,248,1,391,585
47002,Blackstrap/Blackstrap,91,Saskatoon,85,11,9,86,0,191,403
47002,Blackstrap/Blackstrap,92,Saskatoon,68,3,30,154,0,255,452
47002,Blackstrap/Blackstrap,93,Saskatoon,37,4,14,145,1,201,295
47002,Blackstrap/Blackstrap, 93-1,Saskatoon,68,1,7,95,0,171,313
47002,Blackstrap/Blackstrap,94,Saskatoon,57,2,25,90,0,174,279
47002,Blackstrap/Blackstrap, 94-1,Saskatoon,34,2,19,116,0,171,350
47002,Blackstrap/Blackstrap, 94-2,Saskatoon,58,3,13,125,0,199,301
47002,Blackstrap/Blackstrap, 94-3,Saskatoon,39,5,18,114,1,177,354
47002,Blackstrap/Blackstrap,95,Saskatoon,57,0,13,67,0,137,310
47002,Blackstrap/Blackstrap, 95-1,Saskatoon,78,5,7,101,0,191,373
47002,Blackstrap/Blackstrap, 95-2,Saskatoon,39,5,10,103,0,157,246
47002,Blackstrap/Blackstrap, 95-3,Saskatoon,62,4,18,171,0,255,487
47002,Blackstrap/Blackstrap, 95-4,Saskatoon,51,5,7,80,0,143,323
47002,Blackstrap/Blackstrap, 95-5,Saskatoon,110,5,23,129,1,268,533
47002,Blackstrap/Blackstrap, 95-6,Saskatoon,52,3,12,104,0,171,328
47002,Blackstrap/Blackstrap,96,Saskatoon,73,4,29,100,0,206,347
47002,Blackstrap/Blackstrap,97,Saskatoon,81,10,22,165,2,280,471
47002,Blackstrap/Blackstrap,98,Saskatoon,80,10,8,89,0,187,337
47002,Blackstrap/Blackstrap,99,Saskatoon,65,1,9,98,0,173,285
47002,Blackstrap/Blackstrap,100,Saskatoon,92,8,36,174,0,310,518
47002,Blackstrap/Blackstrap,101,Saskatoon,65,2,7,55,0,129,327
47002,Blackstrap/Blackstrap,102,Saskatoon,79,10,15,155,1,260,422
47002,Blackstrap/Blackstrap,103,Saskatoon,51,4,15,137,0,207,353
47002,Blackstrap/Blackstrap, 103-1,Saskatoon,60,7,10,57,0,134,265
47002,Blackstrap/Blackstrap,104,Saskatoon,85,7,15,151,1,259,442
47002,Blackstrap/Blackstrap,105,Saskatoon,108,2,13,157,0,280,464
47002,Blackstrap/Blackstrap,106,Saskatoon,50,3,12,111,1,177,290
47002,Blackstrap/Blackstrap,107,Saskatoon,87,1,17,116,1,222,346
47002,Blackstrap/Blackstrap, 107-1,Saskatoon,45,2,7,81,1,136,225
47002,Blackstrap/Blackstrap,108,Saskatoon,96,8,23,194,0,321,517
47002,Blackstrap/Blackstrap,109,Grasswood,53,5,10,129,1,198,323
47002,Blackstrap/Blackstrap, 109-1,Corman Park No. 344,38,7,3,75,0,123,186
47002,Blackstrap/Blackstrap,110,Grasswood,48,6,7,114,2,177,258
47002,Blackstrap/Blackstrap, 110-1,Corman Park No. 344,70,8,21,139,2,240,336
47002,Blackstrap/Blackstrap,111,Corman Park,27,0,3,65,0,95,167
47002,Blackstrap/Blackstrap,112,Grasswood,46,5,10,106,1,168,300
47002,Blackstrap/Blackstrap,113,Grasswood,54,2,10,151,0,217,299
47002,Blackstrap/Blackstrap,114,Grasswood,32,4,6,45,0,87,127
47002,Blackstrap/Blackstrap,115,Blucher,116,5,8,178,2,309,411
47002,Blackstrap/Blackstrap,116,Clavet,64,10,8,152,0,234,415
47002,Blackstrap/Blackstrap, 116-1,Blucher No. 343,58,1,2,124,0,185,255
47002,Blackstrap/Blackstrap,117,Bradwell,51,8,0,74,0,133,200
47002,Blackstrap/Blackstrap,118,Elstow,28,2,2,79,0,111,182
47002,Blackstrap/Blackstrap, 118-1,Blucher No. 343,13,1,2,44,0,60,105
47002,Blackstrap/Blackstrap,119,Allan,54,3,8,158,1,224,408
47002,Blackstrap/Blackstrap, 119-1,Blucher No. 343,29,3,7,60,0,99,149
47002,Blackstrap/Blackstrap,120,Beaver Creek,83,6,2,24,1,116,196
47002,Blackstrap/Blackstrap,121,Dundurn,32,2,7,67,0,108,158
47002,Blackstrap/Blackstrap, 122A,Dundurn,57,9,6,171,0,243,429
47002,Blackstrap/Blackstrap, 122B,Dundurn,47,11,4,138,2,202,397
47002,Blackstrap/Blackstrap,123,Dundurn,18,2,9,91,0,120,251
47002,Blackstrap/Blackstrap,124,Allan Hills,21,6,3,45,0,75,95
47002,Blackstrap/Blackstrap,125,Zelma,18,2,0,63,0,83,120
47002,Blackstrap/Blackstrap,126,Colonsay,96,6,7,204,0,313,448
47002,Blackstrap/Blackstrap,127,Viscount,94,6,12,179,0,291,473
47002,Blackstrap/Blackstrap,128,Young,70,5,1,110,1,187,302
47002,Blackstrap/Blackstrap,129,Watrous,82,5,7,122,0,216,312
47002,Blackstrap/Blackstrap,130,Watrous,54,7,11,134,1,207,380
47002,Blackstrap/Blackstrap,131,Watrous,58,5,8,131,0,202,341
47002,Blackstrap/Blackstrap,132,Watrous,85,7,15,207,0,314,480
47002,Blackstrap/Blackstrap,133,Watrous,33,2,2,63,0,100,145
47002,Blackstrap/Blackstrap,134,Guernsey,30,2,4,137,0,173,287
47002,Blackstrap/Blackstrap,135,Plunkett,34,1,7,78,1,121,176
47002,Blackstrap/Blackstrap,136,Lanigan,48,3,3,189,0,243,376
47002,Blackstrap/Blackstrap,137,Lanigan,33,1,3,75,0,112,207
47002,Blackstrap/Blackstrap,138,Lanigan,55,2,5,105,0,167,243
47002,Blackstrap/Blackstrap,139,Lanigan,44,4,4,148,0,200,392
47002,Blackstrap/Blackstrap,140,Drake,36,6,5,172,1,220,293
47002,Blackstrap/Blackstrap,141,Jansen,35,3,2,151,0,191,283
47002,Blackstrap/Blackstrap,142,Outlook,53,5,12,167,0,237,310
47002,Blackstrap/Blackstrap,143,Outlook,45,2,5,136,0,188,308
47002,Blackstrap/Blackstrap,144,Outlook,32,3,4,99,0,138,227
47002,Blackstrap/Blackstrap,145,Outlook,15,1,1,48,0,65,181
47002,Blackstrap/Blackstrap,146,Outlook,57,1,14,166,2,240,440
47002,Blackstrap/Blackstrap,147,Outlook,38,3,3,128,1,173,253
47002,Blackstrap/Blackstrap,148,Broderick,22,1,2,121,0,146,243
47002,Blackstrap/Blackstrap,149,Strong,26,2,5,81,0,114,154
47002,Blackstrap/Blackstrap,150,Hanley,49,7,3,212,0,271,429
47002,Blackstrap/Blackstrap,151,Hawarden,6,2,1,76,0,85,115
47002,Blackstrap/Blackstrap,152,Farrerdale,10,3,4,88,1,106,177
47002,Blackstrap/Blackstrap,153,Kenaston,22,4,3,119,0,148,261
47002,Blackstrap/Blackstrap,154,Bladworth,12,1,2,76,0,91,172
47002,Blackstrap/Blackstrap,155,Strongfield,15,2,4,84,1,106,138
47002,Blackstrap/Blackstrap,156,Loreburn,19,4,0,102,0,125,169
47002,Blackstrap/Blackstrap,157,Elbow,54,2,8,177,0,241,310
47002,Blackstrap/Blackstrap,400,Saskatoon,63,1,26,81,1,172,201
47002,Blackstrap/Blackstrap,401,Saskatoon,23,1,4,91,0,119,135
47002,Blackstrap/Blackstrap,402,Saskatoon,72,2,10,109,0,193,265
47002,Blackstrap/Blackstrap,500,Mobile poll/Bureau itinérant,8,2,8,12,1,31,62
47002,Blackstrap/Blackstrap,501,Mobile poll/Bureau itinérant,21,2,5,6,1,35,19
47002,Blackstrap/Blackstrap,502,Mobile poll/Bureau itinérant,16,10,11,11,3,51,63
47002,Blackstrap/Blackstrap,600,Saskatoon,398,16,49,258,1,722,
47002,Blackstrap/Blackstrap,601,Saskatoon,101,3,28,120,1,253
47002,Blackstrap/Blackstrap,602,Saskatoon,187,10,35,136,1,369
47002,Blackstrap/Blackstrap,603,Saskatoon,149,10,38,193,3,393
47002,Blackstrap/Blackstrap,604,Saskatoon,159,9,43,294,1,506
47002,Blackstrap/Blackstrap,605,Saskatoon,107,8,55,265,2,437
47002,Blackstrap/Blackstrap,606,Saskatoon,175,9,47,353,0,584
47002,Blackstrap/Blackstrap,607,Clavet,53,7,8,139,0,207
47002,Blackstrap/Blackstrap,608,Dundurn,26,1,1,68,0,96
47002,Blackstrap/Blackstrap,609,Young,19,1,2,49,0,71
47002,Blackstrap/Blackstrap,610,Watrous,51,1,8,115,0,175
47002,Blackstrap/Blackstrap,611,Lanigan,30,4,5,99,0,138
47002,Blackstrap/Blackstrap,612,Outlook,54,8,5,126,1,194
47002,Blackstrap/Blackstrap,613,Kenaston,13,1,1,56,0,71
47002,Blackstrap/Blackstrap,614,Saskatoon,127,7,36,222,2,394
47002,Blackstrap/Blackstrap,615,Saskatoon,124,4,22,155,0,305
47002,Blackstrap/Blackstrap,616,Saskatoon,96,12,30,151,0,289
47002,Blackstrap/Blackstrap,,Group 1/Groupe 1,19,4,21,35,5,84,137
47002,Blackstrap/Blackstrap,,Group 2/Groupe 2,331,29,101,637,4,1102,
