Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Carmichael,Dimitris Kabitsis,Rob Oliphant,Georgina Wilcock,Nicole Yovanoff,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Don Valley West/Don Valley-Ouest"," 1","North York",107,0,89,13,26,0,235,474
35017,"Don Valley West/Don Valley-Ouest"," 2","North York",128,0,68,7,19,1,223,440
35017,"Don Valley West/Don Valley-Ouest"," 3","North York",96,2,55,6,30,0,189,404
35017,"Don Valley West/Don Valley-Ouest"," 4","North York",60,1,84,7,53,0,205,455
35017,"Don Valley West/Don Valley-Ouest"," 5","North York",77,2,72,9,81,2,243,487
35017,"Don Valley West/Don Valley-Ouest"," 6","North York",156,0,70,4,10,1,241,480
35017,"Don Valley West/Don Valley-Ouest"," 7","North York",168,0,77,10,19,1,275,429
35017,"Don Valley West/Don Valley-Ouest"," 8","North York",132,0,92,9,27,1,261,405
35017,"Don Valley West/Don Valley-Ouest"," 9","North York",102,2,95,8,28,0,235,407
35017,"Don Valley West/Don Valley-Ouest"," 10","North York",103,0,84,5,17,0,209,314
35017,"Don Valley West/Don Valley-Ouest"," 11","North York",137,1,103,16,41,0,298,533
35017,"Don Valley West/Don Valley-Ouest"," 12","North York",174,0,63,2,9,0,248,503
35017,"Don Valley West/Don Valley-Ouest"," 13","North York",156,0,51,3,10,0,220,417
35017,"Don Valley West/Don Valley-Ouest"," 14","North York",158,0,77,3,11,0,249,471
35017,"Don Valley West/Don Valley-Ouest"," 15","North York",109,0,77,10,15,0,211,416
35017,"Don Valley West/Don Valley-Ouest"," 16","North York",145,1,108,7,28,2,291,474
35017,"Don Valley West/Don Valley-Ouest"," 16-1","North York",101,0,84,3,17,0,205,352
35017,"Don Valley West/Don Valley-Ouest"," 17","North York",97,1,54,2,12,1,167,323
35017,"Don Valley West/Don Valley-Ouest"," 18","North York",160,2,81,4,18,0,265,443
35017,"Don Valley West/Don Valley-Ouest"," 19","North York",170,0,79,10,10,0,269,485
35017,"Don Valley West/Don Valley-Ouest"," 20","North York",131,0,93,5,17,2,248,413
35017,"Don Valley West/Don Valley-Ouest"," 21","North York",156,0,53,7,11,0,227,417
35017,"Don Valley West/Don Valley-Ouest"," 22","North York",107,0,49,2,9,0,167,407
35017,"Don Valley West/Don Valley-Ouest"," 23","North York",149,0,66,7,19,0,241,497
35017,"Don Valley West/Don Valley-Ouest"," 24","North York",207,0,79,9,9,1,305,529
35017,"Don Valley West/Don Valley-Ouest"," 25","North York",130,0,56,10,21,0,217,403
35017,"Don Valley West/Don Valley-Ouest"," 26","North York",157,1,77,5,9,1,250,422
35017,"Don Valley West/Don Valley-Ouest"," 27","North York",82,0,51,1,30,1,165,378
35017,"Don Valley West/Don Valley-Ouest"," 28","North York",59,1,46,5,19,1,131,396
35017,"Don Valley West/Don Valley-Ouest"," 29","North York",109,0,82,13,31,0,235,531
35017,"Don Valley West/Don Valley-Ouest"," 30","North York",54,0,58,2,24,1,139,249
35017,"Don Valley West/Don Valley-Ouest"," 31","North York",128,0,104,1,23,1,257,488
35017,"Don Valley West/Don Valley-Ouest"," 32","North York",88,1,79,10,6,0,184,398
35017,"Don Valley West/Don Valley-Ouest"," 33","North York",126,0,49,9,4,0,188,367
35017,"Don Valley West/Don Valley-Ouest"," 34","North York",113,1,26,3,5,2,150,335
35017,"Don Valley West/Don Valley-Ouest"," 35","North York",127,0,55,2,12,0,196,446
35017,"Don Valley West/Don Valley-Ouest"," 36","North York",139,0,50,11,8,0,208,355
35017,"Don Valley West/Don Valley-Ouest"," 37","North York",142,1,68,5,20,1,237,416
35017,"Don Valley West/Don Valley-Ouest"," 38","North York",104,0,59,5,2,0,170,262
35017,"Don Valley West/Don Valley-Ouest"," 39","North York",131,0,46,5,3,1,186,296
35017,"Don Valley West/Don Valley-Ouest"," 40","North York",72,0,32,3,2,0,109,261
35017,"Don Valley West/Don Valley-Ouest"," 41","North York",160,1,57,9,11,0,238,599
35017,"Don Valley West/Don Valley-Ouest"," 42","North York",144,0,61,1,8,0,214,358
35017,"Don Valley West/Don Valley-Ouest"," 43","North York",107,0,62,7,4,0,180,303
35017,"Don Valley West/Don Valley-Ouest"," 44","North York",121,0,91,7,21,0,240,406
35017,"Don Valley West/Don Valley-Ouest"," 45","North York",174,1,91,10,8,1,285,432
35017,"Don Valley West/Don Valley-Ouest"," 46","North York",140,0,64,9,9,1,223,435
35017,"Don Valley West/Don Valley-Ouest"," 47","Toronto",182,2,143,6,21,2,356,506
35017,"Don Valley West/Don Valley-Ouest"," 48","Toronto",161,0,124,11,7,0,303,469
35017,"Don Valley West/Don Valley-Ouest"," 49","Toronto",118,0,106,13,29,0,266,436
35017,"Don Valley West/Don Valley-Ouest"," 50","Toronto",111,0,127,14,24,2,278,414
35017,"Don Valley West/Don Valley-Ouest"," 51","Toronto",104,0,113,15,21,0,253,418
35017,"Don Valley West/Don Valley-Ouest"," 52","Toronto",57,2,128,14,26,1,228,365
35017,"Don Valley West/Don Valley-Ouest"," 53","Toronto",107,3,155,5,39,1,310,458
35017,"Don Valley West/Don Valley-Ouest"," 54","Toronto",106,0,141,18,31,0,296,422
35017,"Don Valley West/Don Valley-Ouest"," 55","Toronto",125,0,117,9,14,0,265,428
35017,"Don Valley West/Don Valley-Ouest"," 56","Toronto",110,0,92,10,21,1,234,420
35017,"Don Valley West/Don Valley-Ouest"," 57","Toronto",98,0,111,7,11,0,227,391
35017,"Don Valley West/Don Valley-Ouest"," 58","Toronto",137,0,86,10,11,0,244,386
35017,"Don Valley West/Don Valley-Ouest"," 59","North York",169,0,62,7,3,0,241,373
35017,"Don Valley West/Don Valley-Ouest"," 60","North York",188,2,82,6,12,0,290,456
35017,"Don Valley West/Don Valley-Ouest"," 61","North York",83,0,19,1,8,3,114,235
35017,"Don Valley West/Don Valley-Ouest"," 62","North York",147,0,72,6,6,0,231,391
35017,"Don Valley West/Don Valley-Ouest"," 63","North York",169,1,70,5,12,2,259,425
35017,"Don Valley West/Don Valley-Ouest"," 64","Toronto",161,0,92,6,10,0,269,414
35017,"Don Valley West/Don Valley-Ouest"," 65","Toronto",123,0,61,6,5,0,195,337
35017,"Don Valley West/Don Valley-Ouest"," 66","Toronto",75,0,80,16,18,0,189,346
35017,"Don Valley West/Don Valley-Ouest"," 67","Toronto",99,1,109,8,37,3,257,500
35017,"Don Valley West/Don Valley-Ouest"," 68","Toronto",129,0,113,8,20,0,270,420
35017,"Don Valley West/Don Valley-Ouest"," 69","Toronto",81,1,123,16,12,1,234,410
35017,"Don Valley West/Don Valley-Ouest"," 70","Toronto",66,2,114,13,40,1,236,442
35017,"Don Valley West/Don Valley-Ouest"," 71","Toronto",37,0,38,7,22,0,104,221
35017,"Don Valley West/Don Valley-Ouest"," 72","Toronto",73,0,107,6,44,0,230,409
35017,"Don Valley West/Don Valley-Ouest"," 72-1","North York",39,3,54,9,47,1,153,303
35017,"Don Valley West/Don Valley-Ouest"," 73","Toronto",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 74","Toronto",35,0,69,6,41,0,151,282
35017,"Don Valley West/Don Valley-Ouest"," 75","Toronto",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 76","Toronto",84,0,129,19,75,0,307,534
35017,"Don Valley West/Don Valley-Ouest"," 77","Toronto",42,1,66,9,16,0,134,240
35017,"Don Valley West/Don Valley-Ouest"," 78","North York",129,0,129,10,23,0,291,527
35017,"Don Valley West/Don Valley-Ouest"," 79","Toronto",63,0,108,8,16,0,195,332
35017,"Don Valley West/Don Valley-Ouest"," 80","Toronto",52,1,55,13,40,0,161,307
35017,"Don Valley West/Don Valley-Ouest"," 81","Toronto",52,0,56,6,31,1,146,258
35017,"Don Valley West/Don Valley-Ouest"," 82","Toronto",Merged with No. 82-1/Fusionné avec le nº 82-1,,,,,,,98
35017,"Don Valley West/Don Valley-Ouest"," 82-1","Toronto",71,1,96,14,72,1,255,356
35017,"Don Valley West/Don Valley-Ouest"," 83","Toronto",78,0,101,12,53,1,245,486
35017,"Don Valley West/Don Valley-Ouest"," 84","Toronto",59,0,79,13,42,3,196,397
35017,"Don Valley West/Don Valley-Ouest"," 85","North York",94,0,64,6,13,3,180,416
35017,"Don Valley West/Don Valley-Ouest"," 86","North York",78,1,118,7,13,0,217,461
35017,"Don Valley West/Don Valley-Ouest"," 87","North York",95,0,74,17,15,0,201,377
35017,"Don Valley West/Don Valley-Ouest"," 88","North York",119,1,93,8,22,1,244,359
35017,"Don Valley West/Don Valley-Ouest"," 89","North York",79,0,78,10,25,0,192,329
35017,"Don Valley West/Don Valley-Ouest"," 90","North York",116,0,95,4,20,1,236,456
