Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Christianson,Rick Norlock,Kim Rudd,Ralph Torrie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 1","Port Hope",52,129,33,16,0,230,357
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 2","Port Hope",51,129,40,24,0,244,422
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 3","Port Hope",47,158,51,16,0,272,408
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 3-1","Port Hope",40,114,44,16,1,215,319
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 4","Port Hope",49,146,38,14,1,248,403
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 5","Port Hope",45,137,53,21,1,257,463
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 6","Port Hope",53,145,35,15,1,249,447
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 7","Port Hope",37,78,27,3,0,145,290
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 8","Port Hope",23,83,36,8,0,150,284
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 8-1","Port Hope",40,101,36,7,0,184,374
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 9","Port Hope",27,84,51,5,1,168,288
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 9-1","Port Hope",31,82,37,2,0,152,274
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 10","Port Hope",49,101,42,5,2,199,343
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 11","Port Hope",33,80,71,2,0,186,346
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 12","Port Hope",45,89,40,10,0,184,335
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 13","Port Hope",49,106,18,8,2,183,374
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 14","Port Hope",32,60,21,12,0,125,417
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 15","Port Hope",49,74,22,9,0,154,334
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 16","Port Hope",42,102,28,9,0,181,327
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 17","Port Hope",77,109,35,11,0,232,457
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 18","Port Hope",56,98,37,15,0,206,456
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 19","Port Hope",58,85,40,12,0,195,360
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 20","Port Hope",59,100,65,10,1,235,426
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 21","Port Hope",49,69,54,10,2,184,362
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 22","Port Hope",53,64,44,17,0,178,383
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 23","Port Hope",53,91,106,10,1,261,411
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 24","Port Hope",18,90,33,3,1,145,274
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 24-1","Port Hope",47,124,46,7,2,226,388
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 25","Port Hope",58,115,55,7,5,240,406
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 26","Port Hope",48,138,100,22,1,309,524
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 27","Port Hope",53,74,83,15,0,225,364
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 28","Port Hope",36,74,42,17,0,169,394
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 29","Port Hope",34,46,49,8,0,137,345
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 30","Bewdley",57,113,33,14,0,217,382
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 31","Hamilton ",34,79,15,9,0,137,278
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 32","Hamilton ",36,85,11,10,0,142,270
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 33","Hamilton ",37,82,34,5,0,158,307
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 34","Hamilton ",52,132,59,32,2,277,440
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 35","Hamilton ",Void/Supprimé,,,,,,
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 35-1","Hamilton ",70,151,37,15,0,273,539
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 36","Hamilton ",29,78,27,10,0,144,237
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 36-1","Hamilton ",43,109,32,10,0,194,295
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 37","Hamilton ",22,54,22,3,0,101,205
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 37-1","Hamilton ",28,123,54,18,0,223,342
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 38","Hamilton ",40,140,29,10,1,220,379
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 38-1","Hamilton ",25,88,31,12,1,157,249
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 39","Hamilton ",46,180,55,16,1,298,471
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 40","Hamilton ",43,124,45,8,0,220,419
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 41","Hamilton ",48,137,61,10,2,258,496
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 41-1","Hamilton ",42,101,41,5,0,189,299
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 42","Hamilton ",31,133,55,7,1,227,402
