Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Victor Andres,Rachelle Devine,Eduard Hiebert,Brett Ryall,Joy Smith,Alon David Weinberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 1","West St. Paul",8,41,0,1,113,7,1,171,338
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 2","Rivercrest",15,62,0,0,133,9,0,219,360
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 2-1","West St. Paul",17,49,0,0,147,2,0,215,416
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 3","Middlechurch",15,51,1,0,118,3,0,188,377
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 3-1","West St. Paul",3,13,0,1,68,1,0,86,157
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 4","Middlechurch",14,53,1,1,150,4,1,224,391
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 5","Rivercrest",14,58,2,2,137,11,0,224,373
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 6","Middlechurch",18,63,3,1,89,5,1,180,328
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 7","McNaughton",22,52,0,1,119,9,0,203,440
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 8","Riverdale",24,54,0,2,138,7,0,225,441
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 9","East St. Paul",11,40,1,1,195,6,1,255,441
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 10","East St. Paul",13,41,0,7,150,6,0,217,377
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 11","East St. Paul",12,39,0,1,115,1,0,168,291
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 11-1","East St. Paul",13,39,0,1,106,7,3,169,297
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 12","East St. Paul",15,38,0,2,166,8,0,229,396
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 13","East St. Paul",22,37,0,0,107,2,0,168,293
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 13-1","East St. Paul",10,32,0,2,105,4,0,153,238
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 14","East St. Paul",10,30,0,0,92,8,0,140,255
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 15","East St. Paul",20,43,0,2,117,1,0,183,312
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 16","Birds Hill",14,64,0,5,189,7,3,282,440
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 17","Birds Hill",12,65,0,0,109,2,0,188,301
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 18","Birds Hill",13,48,1,5,164,7,2,240,409
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 19","Birds Hill",7,54,0,0,100,3,2,166,327
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 20","East St. Paul",11,10,0,1,103,6,0,131,231
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 20-1","East St. Paul",14,21,0,0,151,2,0,188,328
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 20-2","East St. Paul",16,41,0,1,166,4,0,228,402
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 21","East St. Paul",4,20,0,5,140,0,0,169,278
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 21-1","East St. Paul",17,43,0,1,156,9,0,226,397
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 22A","East St. Paul",7,49,0,1,105,5,0,167,274
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 22B","East St. Paul",5,38,1,1,103,5,0,153,267
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 23","East St. Paul",5,43,0,2,180,6,2,238,436
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24","Winnipeg",17,80,0,0,74,2,0,173,376
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24-1A","Winnipeg",41,53,1,1,63,3,0,162,352
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24-1B","Winnipeg",20,32,0,0,59,0,0,111,310
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24-2","Winnipeg",55,59,2,1,120,6,1,244,503
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24-3","Winnipeg",35,51,0,0,70,1,0,157,353
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25","Winnipeg",14,43,0,0,63,1,0,121,231
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25-1","Winnipeg",16,36,1,0,54,0,1,108,138
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25-2","Winnipeg",Merged with No. 25-1/Fusionné avec le nº 25-1,,,,,,,,109
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25-3","Winnipeg",7,49,0,0,64,0,2,122,400
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 26","Winnipeg",22,56,1,1,145,3,1,229,479
