Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Donovan Michael Cavers,Michael David Crawford,Christopher Kempling,Cathy McLeod,Murray Todd,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 1A","Valemount ",26,69,1,101,9,2,208,380
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 1B","Valemount ",25,95,3,92,3,1,219,415
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 1C","Valemount ",19,85,2,110,5,3,224,419
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 2","Blue River",4,33,0,49,5,1,92,156
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3A","Clearwater ",14,61,1,130,9,0,215,420
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3B","Clearwater ",23,78,1,122,7,0,231,436
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3C","Clearwater ",17,101,0,134,7,0,259,487
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3D","Clearwater ",9,55,0,93,8,0,165,314
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3E","Clearwater ",19,99,2,128,12,1,261,484
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 4","Birch Island",7,42,0,83,4,0,136,259
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 5","Vavenby",Void/Supprimé,,,,,,,
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 6A","Avola",15,76,1,125,5,1,223,226
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 6B","Avola",2,10,0,14,0,0,26,135
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 7","Lac la Hache ",11,59,1,126,6,1,204,362
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 7-1A","Lac la Hache ",3,56,1,111,15,0,186,296
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 7-1B","Lac la Hache ",8,49,0,110,8,0,175,295
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 8A","108 Mile Ranch",11,71,1,154,8,1,246,430
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 8B","108 Mile Ranch",11,66,0,149,7,0,233,400
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 8C","108 Mile Ranch",10,76,0,144,24,0,254,442
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 8D","108 Mile Ranch",14,106,0,176,17,0,313,492
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9A","93 Mile",11,72,0,119,3,1,206,424
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9B","93 Mile",15,64,2,152,13,0,246,460
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9C","93 Mile",10,65,0,94,10,1,180,391
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9D","93 Mile",11,55,2,134,2,0,204,401
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9E","93 Mile",10,60,2,74,13,1,160,320
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9F","93 Mile",11,63,0,138,10,0,222,457
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9G","93 Mile",6,70,2,149,9,0,236,428
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9H","93 Mile",6,64,1,123,5,0,199,385
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9I","93 Mile",6,50,1,171,11,0,239,475
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 10","Forest Grove",17,83,0,120,5,2,227,439
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 10-1","Forest Grove",4,25,0,61,3,0,93,158
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 11","Canim Lake",18,93,2,119,4,0,236,416
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 12","Horse Lake",14,37,0,92,4,1,148,319
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 12-1","Horse Lake",2,52,1,85,3,0,143,292
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 13","Lone Butte",12,72,2,144,5,0,235,425
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 13-1","Lone Butte",5,35,3,100,8,1,152,227
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 14","Lone Butte",11,63,0,154,6,0,234,449
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 15A","Interlakes",12,51,0,102,4,0,169,267
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 15B","Interlakes",9,42,1,123,10,0,185,288
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 16A","Clinton ",7,56,0,100,7,0,170,317
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 16B","Clinton ",7,68,0,100,7,0,182,326
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 16-1","Clinton ",4,24,1,89,3,2,123,246
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 17","70 Mile House",13,66,0,167,4,0,250,401
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 17-1","70 Mile House",1,25,1,70,1,0,98,146
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 18","Loon Lake",2,11,0,80,0,0,93,136
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 19","Little Fort",8,57,0,86,4,3,158,265
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 20","Chu Chua",Void/Supprimé,,,,,,,
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21A","Barrière ",10,66,0,147,13,1,237,448
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21B","Barrière ",10,55,1,121,7,0,194,390
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21C","Barrière ",17,78,0,156,7,0,258,481
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21D","Barrière ",9,63,1,140,19,0,232,434
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21E","Barrière ",12,40,0,118,1,0,171,310
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21F","Barrière ",11,40,1,104,3,0,159,294
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 22","McLure",3,44,0,97,3,0,147,273
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 23","Cahilty",Void/Supprimé,,,,,,,
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 24A","Kamloops 5",21,43,0,77,12,2,155,260
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 24B","Kamloops 5",13,45,0,100,6,0,164,255
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 25","Kamloops ",9,92,0,170,17,0,288,459
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 25-1","Kamloops ",7,43,1,60,6,0,117,172
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 26","Kamloops ",14,127,0,166,20,0,327,490
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 27A","Kamloops ",2,55,0,84,6,0,147,243
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 27B","Kamloops ",9,63,0,70,16,0,158,245
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 28A","Kamloops ",7,51,0,92,6,1,157,304
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 28B","Kamloops ",5,53,1,111,4,1,175,289
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 29","Kamloops ",12,94,2,123,14,0,245,363
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 30","Kamloops ",7,76,0,80,5,1,169,302
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 31","Kamloops 1",16,82,2,87,12,0,199,393
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32A","Kamloops 1",7,55,0,25,3,1,91,270
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32B","Kamloops 1",15,38,0,33,3,1,90,246
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32-1A","Kamloops 1",4,60,0,63,8,0,135,286
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32-1B","Kamloops 1",12,63,1,94,9,0,179,330
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32-2A","Kamloops 1",5,58,0,114,7,0,184,319
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32-2B","Kamloops 1",3,41,0,122,14,0,180,316
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 33","Campbell Creek",2,28,0,98,10,0,138,296
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 34","Pinantan Lake",23,131,1,116,10,0,281,480
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 35","Black Pines",3,29,0,47,4,0,83,148
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 36","Kamloops ",21,90,2,118,8,0,239,377
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 37A","Kamloops ",7,60,2,82,11,0,162,277
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 37B","Kamloops ",7,56,0,84,7,0,154,271
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 38","Kamloops ",17,88,0,109,7,1,222,351
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 39","Kamloops ",14,112,2,117,9,0,254,462
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 40A","Kamloops ",12,66,0,69,12,0,159,299
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 40B","Kamloops ",10,60,1,100,10,0,181,306
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 41A","Kamloops ",11,62,1,78,9,0,161,299
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 41B","Kamloops ",7,60,0,78,6,0,151,286
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 42","Kamloops ",12,53,2,126,12,1,206,366
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 43","Kamloops ",10,90,0,80,7,1,188,344
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 44","Kamloops ",4,88,1,128,9,1,231,426
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 45A","Kamloops ",10,60,0,67,8,0,145,276
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 45B","Kamloops ",13,68,2,78,8,1,170,304
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 46","Kamloops ",10,86,0,89,7,1,193,327
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 47A","Kamloops ",7,62,0,65,4,0,138,279
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 47B","Kamloops ",7,56,0,56,4,1,124,255
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 48","Kamloops ",11,72,1,94,13,0,191,369
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 49","Kamloops ",5,89,1,103,12,0,210,424
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 49-1A","Kamloops ",7,55,1,86,12,0,161,356
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 49-1B","Kamloops ",9,72,1,77,15,0,174,350
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 49-2","Kamloops ",3,84,0,110,16,1,214,418
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 50","Kamloops ",7,56,0,61,17,0,141,293
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 50-1","Kamloops ",5,74,1,88,3,0,171,349
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 51","Kamloops ",3,52,0,94,3,0,152,313
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 52","Kamloops ",7,91,1,112,10,1,222,439
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 53","Red Lake",Void/Supprimé,,,,,,,
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 54","Kamloops ",8,72,2,137,6,0,225,461
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 55","Kamloops ",7,87,0,110,7,0,211,488
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 56","Kamloops ",15,75,0,90,3,0,183,347
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 57","Kamloops ",13,108,1,115,9,1,247,496
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 58","Kamloops ",16,57,0,87,6,0,166,402
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 59","Kamloops ",10,112,0,128,15,0,265,458
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 60","Kamloops ",5,68,0,74,7,1,155,290
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 61","Kamloops ",9,121,2,109,13,2,256,476
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 62","Kamloops ",9,103,1,103,1,0,217,379
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 63A","Kamloops ",5,63,0,80,2,0,150,246
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 63B","Kamloops ",3,76,1,66,3,0,149,275
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 64A","Kamloops ",7,61,0,65,9,1,143,276
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 64B","Kamloops ",9,64,0,41,9,0,123,285
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 65A","Kamloops ",8,83,0,89,8,0,188,317
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 65B","Mobile poll/Bureau itinérant",Merged with No. 504A/Fusionné avec le nº 504A,,,,,,,80
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 65-1","Kamloops ",5,61,0,70,7,1,144,297
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 66","Kamloops ",10,92,0,83,6,0,191,342
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 67","Kamloops ",10,97,1,57,6,0,171,443
59010,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 68A","Kamloops ",3,61,0,61,5,0,130,262
