Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Johnston,Brian LaBelle,Brent Rathgeber,Kevin Taron,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 1","St. Albert",18,38,176,20,0,252,465
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 1-1","St. Albert",10,65,242,35,0,352,583
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 2","St. Albert",5,44,169,26,1,245,526
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 3","St. Albert",6,46,143,15,0,210,461
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 4","St. Albert",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 5","St. Albert",12,47,127,22,0,208,462
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 6","St. Albert",12,42,173,23,0,250,413
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 6-1","St. Albert",13,47,185,27,0,272,461
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 7","St. Albert",9,48,188,29,1,275,506
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 8","St. Albert",10,56,146,20,0,232,468
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 9","St. Albert",13,52,141,13,2,221,488
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 10","St. Albert",6,52,213,20,0,291,553
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 10-1","St. Albert",15,23,185,25,0,248,439
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 10-2","St. Albert",9,45,146,18,0,218,430
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 11","St. Albert",13,37,105,18,1,174,344
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 12","St. Albert",4,30,173,13,0,220,406
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 12-1","St. Albert",7,40,224,29,0,300,524
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 13","St. Albert",5,39,127,15,1,187,327
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 14","St. Albert",10,60,117,26,0,213,368
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 15","St. Albert",19,46,151,22,0,238,399
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 16","St. Albert",13,55,149,14,1,232,401
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 17","St. Albert",11,38,157,33,0,239,402
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 18","St. Albert",10,50,100,27,0,187,399
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 19","St. Albert",14,40,167,18,0,239,384
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 20","St. Albert",14,39,105,25,1,184,305
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 21","St. Albert",13,45,141,10,1,210,362
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 22","St. Albert",9,46,94,19,0,168,325
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 23","St. Albert",15,60,140,26,0,241,457
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 24","St. Albert",13,66,132,24,1,236,447
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 25","St. Albert",15,40,101,17,0,173,283
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 26","St. Albert",13,33,119,11,2,178,331
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 27","St. Albert",17,62,172,30,2,283,573
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 27-1","St. Albert",6,37,164,21,1,229,439
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 28","St. Albert",11,45,157,28,1,242,413
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 29","St. Albert",8,28,189,23,0,248,459
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 30","St. Albert",17,36,173,30,0,256,447
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 31","St. Albert",7,45,129,16,0,197,382
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 31-1","St. Albert",8,34,180,16,1,239,452
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 31-2","St. Albert",3,27,150,21,1,202,370
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 31-3","St. Albert",14,41,181,34,0,270,471
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 31-4","St. Albert",8,21,74,15,0,118,263
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 32","St. Albert",11,42,171,34,0,258,449
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 33","St. Albert",9,38,192,30,0,269,512
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 34","St. Albert",14,51,216,30,1,312,646
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 35","St. Albert",7,37,117,16,0,177,359
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 36","St. Albert",12,48,217,31,0,308,571
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 37","St. Albert",7,20,127,18,0,172,359
