Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Corbiere,Karen Redman,Alan Rimmer,Martin Suter,Peter Thurley,Byron Williston,Stephen Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Kitchener Centre/Kitchener-Centre"," 1","Kitchener",0,55,0,0,67,7,87,0,216,430
35037,"Kitchener Centre/Kitchener-Centre"," 2","Kitchener",1,79,0,0,69,13,154,1,317,543
35037,"Kitchener Centre/Kitchener-Centre"," 3","Kitchener",0,70,1,2,48,10,146,2,279,506
35037,"Kitchener Centre/Kitchener-Centre"," 4","Kitchener",0,66,3,1,52,3,124,0,249,467
35037,"Kitchener Centre/Kitchener-Centre"," 5","Kitchener",0,82,1,1,40,10,154,0,288,489
35037,"Kitchener Centre/Kitchener-Centre"," 5-1","Kitchener",0,24,3,4,12,0,40,1,84,176
35037,"Kitchener Centre/Kitchener-Centre"," 6","Kitchener",0,41,0,0,25,6,80,1,153,314
35037,"Kitchener Centre/Kitchener-Centre"," 7","Kitchener",1,75,0,0,38,4,124,1,243,366
35037,"Kitchener Centre/Kitchener-Centre"," 8","Kitchener",0,44,0,1,68,8,78,2,201,415
35037,"Kitchener Centre/Kitchener-Centre"," 9","Kitchener",1,92,0,0,49,8,85,0,235,404
35037,"Kitchener Centre/Kitchener-Centre"," 10","Kitchener",0,110,0,0,33,6,95,1,245,442
35037,"Kitchener Centre/Kitchener-Centre"," 11","Kitchener",1,52,2,0,41,8,136,0,240,407
35037,"Kitchener Centre/Kitchener-Centre"," 12","Kitchener",1,49,1,0,64,4,106,1,226,427
35037,"Kitchener Centre/Kitchener-Centre"," 13","Kitchener",0,67,0,1,55,5,134,2,264,451
35037,"Kitchener Centre/Kitchener-Centre"," 14","Kitchener",1,69,2,1,62,11,145,4,295,471
35037,"Kitchener Centre/Kitchener-Centre"," 15","Kitchener",0,73,3,0,43,4,91,0,214,370
35037,"Kitchener Centre/Kitchener-Centre"," 16","Kitchener",2,80,0,0,30,6,91,1,210,341
35037,"Kitchener Centre/Kitchener-Centre"," 17","Kitchener",0,74,0,0,46,10,99,0,229,391
35037,"Kitchener Centre/Kitchener-Centre"," 18","Kitchener",1,77,1,0,43,8,150,1,281,458
35037,"Kitchener Centre/Kitchener-Centre"," 19","Kitchener",1,65,0,0,53,8,104,0,231,438
35037,"Kitchener Centre/Kitchener-Centre"," 20","Kitchener",0,95,1,0,55,8,115,1,275,468
35037,"Kitchener Centre/Kitchener-Centre"," 21","Kitchener",1,81,1,0,55,6,114,0,258,414
35037,"Kitchener Centre/Kitchener-Centre"," 22","Kitchener",0,74,1,0,29,8,112,2,226,372
35037,"Kitchener Centre/Kitchener-Centre"," 23","Kitchener",1,82,1,0,32,7,99,0,222,355
35037,"Kitchener Centre/Kitchener-Centre"," 24","Kitchener",0,36,0,1,65,2,77,2,183,374
35037,"Kitchener Centre/Kitchener-Centre"," 25","Kitchener",0,50,0,0,64,4,77,2,197,412
35037,"Kitchener Centre/Kitchener-Centre"," 26","Kitchener",1,42,2,2,49,0,80,5,181,388
35037,"Kitchener Centre/Kitchener-Centre"," 27","Kitchener",2,55,1,2,60,4,71,1,196,434
35037,"Kitchener Centre/Kitchener-Centre"," 28","Kitchener",2,42,2,1,50,9,47,1,154,400
35037,"Kitchener Centre/Kitchener-Centre"," 29","Kitchener",0,63,1,0,34,3,72,0,173,338
35037,"Kitchener Centre/Kitchener-Centre"," 30","Kitchener",0,105,1,0,24,9,93,0,232,419
35037,"Kitchener Centre/Kitchener-Centre"," 31","Kitchener",0,46,1,0,66,8,94,0,215,431
35037,"Kitchener Centre/Kitchener-Centre"," 32","Kitchener",0,74,0,0,47,12,72,0,205,383
35037,"Kitchener Centre/Kitchener-Centre"," 33","Kitchener",0,77,2,1,31,5,119,0,235,354
35037,"Kitchener Centre/Kitchener-Centre"," 34","Kitchener",0,42,2,0,34,9,113,0,200,325
35037,"Kitchener Centre/Kitchener-Centre"," 35","Kitchener",0,113,1,0,31,4,100,0,249,386
35037,"Kitchener Centre/Kitchener-Centre"," 36","Kitchener",0,58,0,2,32,6,115,2,215,355
35037,"Kitchener Centre/Kitchener-Centre"," 37","Kitchener",0,78,0,0,63,16,98,1,256,409
35037,"Kitchener Centre/Kitchener-Centre"," 38","Kitchener",0,103,2,0,39,6,85,3,238,367
35037,"Kitchener Centre/Kitchener-Centre"," 39","Kitchener",0,21,1,0,31,6,46,0,105,272
35037,"Kitchener Centre/Kitchener-Centre"," 40","Kitchener",0,42,0,0,61,9,66,0,178,326
35037,"Kitchener Centre/Kitchener-Centre"," 41","Kitchener",0,41,1,1,68,7,80,1,199,366
35037,"Kitchener Centre/Kitchener-Centre"," 42","Kitchener",2,34,1,0,69,11,61,3,181,397
35037,"Kitchener Centre/Kitchener-Centre"," 43","Kitchener",2,31,2,0,48,9,71,1,164,285
35037,"Kitchener Centre/Kitchener-Centre"," 44","Kitchener",1,27,0,1,30,7,35,3,104,299
35037,"Kitchener Centre/Kitchener-Centre"," 45","Kitchener",0,40,0,0,60,9,56,3,168,469
35037,"Kitchener Centre/Kitchener-Centre"," 46","Kitchener",1,36,0,1,60,15,65,0,178,351
35037,"Kitchener Centre/Kitchener-Centre"," 47","Kitchener",1,38,0,1,53,6,56,0,155,313
35037,"Kitchener Centre/Kitchener-Centre"," 48","Kitchener",1,72,0,0,70,9,117,2,271,497
35037,"Kitchener Centre/Kitchener-Centre"," 49","Kitchener",2,55,0,1,52,7,78,3,198,433
35037,"Kitchener Centre/Kitchener-Centre"," 50","Kitchener",0,28,2,0,23,7,16,1,77,332
35037,"Kitchener Centre/Kitchener-Centre"," 51","Kitchener",0,24,2,0,34,4,38,0,102,289
35037,"Kitchener Centre/Kitchener-Centre"," 52","Kitchener",1,38,1,0,46,6,62,1,155,410
35037,"Kitchener Centre/Kitchener-Centre"," 53","Kitchener",0,45,3,0,59,6,69,0,182,421
