Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Boucher,Annie Durette,Michel Morand,Pierre A. Paquette,Francine Raynault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Joliette/Joliette"," 1","Mandeville",6,0,2,16,23,1,48,63
24025,"Joliette/Joliette"," 2","Manawan",30,1,11,27,52,1,122,1107
24025,"Joliette/Joliette"," 3","Saint-Michel-des-Saints",13,8,13,47,70,4,155,370
24025,"Joliette/Joliette"," 4","Saint-Michel-des-Saints",4,12,32,66,106,2,222,412
24025,"Joliette/Joliette"," 5","Saint-Michel-des-Saints",15,6,21,46,86,0,174,323
24025,"Joliette/Joliette"," 6","Saint-Michel-des-Saints",15,9,13,80,132,5,254,435
24025,"Joliette/Joliette"," 7","Saint-Guillaume-Nord",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 8","Saint-Michel-des-Saints",16,10,26,84,117,2,255,560
24025,"Joliette/Joliette"," 9","Saint-Zénon",13,8,19,69,115,1,225,431
24025,"Joliette/Joliette"," 10","Saint-Zénon",21,12,47,76,154,7,317,550
24025,"Joliette/Joliette"," 11","Saint-Damien",10,12,34,96,132,3,287,556
24025,"Joliette/Joliette"," 12A","Saint-Damien",8,6,20,70,81,3,188,356
24025,"Joliette/Joliette"," 12B","Saint-Damien",8,3,13,77,103,6,210,357
24025,"Joliette/Joliette"," 13","Saint-Damien",25,5,13,101,134,7,285,479
24025,"Joliette/Joliette"," 14A","Saint-Donat",12,0,17,63,83,3,178,370
24025,"Joliette/Joliette"," 14B","Saint-Donat",11,5,16,55,98,0,185,387
24025,"Joliette/Joliette"," 15","Saint-Donat",5,7,24,62,76,3,177,445
24025,"Joliette/Joliette"," 16","Saint-Donat",12,1,15,54,91,5,178,417
24025,"Joliette/Joliette"," 17A","Saint-Donat",6,5,22,42,51,4,130,300
24025,"Joliette/Joliette"," 17B","Saint-Donat",12,10,14,52,83,1,172,413
24025,"Joliette/Joliette"," 18","Saint-Donat",23,10,28,67,89,5,222,553
