Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Carrigan,Janine Giles,Nicole Hankel,Ted Menzies,Attila Nagy,Marc Slingerland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Macleod/Macleod"," 1","Kananaskis",5,21,6,32,20,1,0,85,136
48020,"Macleod/Macleod"," 2","Bragg Creek",Merged with No. 12/Fusionné avec le nº 12,,,,,,,,9
48020,"Macleod/Macleod"," 2-1A","Foothills No. 31",9,20,10,251,21,1,2,314,546
48020,"Macleod/Macleod"," 2-1B","Foothills No. 31",11,30,12,197,16,0,1,267,486
48020,"Macleod/Macleod"," 3A","Jumping Pound",0,10,6,100,5,0,0,121,177
48020,"Macleod/Macleod"," 3B","Jumping Pound",9,8,7,126,14,0,1,165,183
48020,"Macleod/Macleod"," 3-1","Jumping Pound",Merged with No. 3B/Fusionné avec le nº 3B,,,,,,,,61
48020,"Macleod/Macleod"," 4","Jumping Pound",8,18,10,148,9,2,1,196,313
48020,"Macleod/Macleod"," 5","Glenbow",6,12,6,89,12,1,0,126,188
48020,"Macleod/Macleod"," 5-1","Glenbow",11,13,12,139,14,0,1,190,335
48020,"Macleod/Macleod"," 5-2","Glenbow",0,1,2,50,0,0,1,54,100
48020,"Macleod/Macleod"," 6A","Rocky View No. 44",10,20,17,168,12,0,0,227,395
48020,"Macleod/Macleod"," 6B","Rocky View No. 44",7,16,9,170,14,0,0,216,383
48020,"Macleod/Macleod"," 7","Rocky View No. 44",13,14,9,179,25,0,1,241,403
48020,"Macleod/Macleod"," 8A","Rocky View No. 44",7,22,15,181,11,0,0,236,408
48020,"Macleod/Macleod"," 8B","Rocky View No. 44",11,18,18,183,18,0,0,248,472
48020,"Macleod/Macleod"," 9A","Pirmez Creek",2,10,10,193,9,0,0,224,330
48020,"Macleod/Macleod"," 9B","Pirmez Creek",0,9,6,172,4,0,1,192,330
48020,"Macleod/Macleod"," 9-1","Rocky View No. 44",18,12,9,209,5,1,1,255,462
48020,"Macleod/Macleod"," 9-2A","Elbow Valley",8,20,13,194,23,0,1,259,400
48020,"Macleod/Macleod"," 9-2B","Elbow Valley",10,22,14,168,12,1,0,227,347
48020,"Macleod/Macleod"," 9-3","Elbow Valley",3,10,4,153,14,0,1,185,321
48020,"Macleod/Macleod"," 10A","Rocky View No. 44",12,11,12,166,9,1,2,213,379
48020,"Macleod/Macleod"," 10B","Rocky View No. 44",17,10,11,191,10,2,1,242,413
48020,"Macleod/Macleod"," 11","Rocky View No. 44",8,9,4,133,11,0,0,165,303
48020,"Macleod/Macleod"," 12","Bragg Creek",7,30,15,145,31,0,1,229,375
48020,"Macleod/Macleod"," 13","Bragg Creek",5,20,10,115,22,0,0,172,286
48020,"Macleod/Macleod"," 14","Bragg Creek",7,43,14,210,41,0,0,315,611
48020,"Macleod/Macleod"," 14-1","Bragg Creek",1,30,9,101,22,0,0,163,253
48020,"Macleod/Macleod"," 15","Sarcee",8,38,13,136,30,1,0,226,366
48020,"Macleod/Macleod"," 16","Sarcee",4,30,15,141,22,2,1,215,342
48020,"Macleod/Macleod"," 17","Sarcee",0,34,3,4,2,0,0,43,265
48020,"Macleod/Macleod"," 18","Bragg Creek",Void/Supprimé,,,,,,,,
48020,"Macleod/Macleod"," 19","Priddis",5,26,7,213,19,0,0,270,424
48020,"Macleod/Macleod"," 20","Priddis",7,18,9,328,20,1,2,385,581
48020,"Macleod/Macleod"," 21A","Millarville",14,25,11,238,18,0,0,306,457
48020,"Macleod/Macleod"," 21B","Millarville",10,22,11,202,18,1,0,264,400
48020,"Macleod/Macleod"," 22","Turner Valley",10,14,3,217,11,0,1,256,421
48020,"Macleod/Macleod"," 23","Longview",15,22,2,283,17,1,0,340,594
48020,"Macleod/Macleod"," 24A","Academy",11,15,15,170,8,0,1,220,451
48020,"Macleod/Macleod"," 24B","Academy",23,16,18,181,13,1,0,252,464
48020,"Macleod/Macleod"," 25","De Winton",17,12,10,196,14,0,0,249,406
48020,"Macleod/Macleod"," 26","Millarville",4,10,2,122,8,0,0,146,232
48020,"Macleod/Macleod"," 27","Millarville",3,8,5,160,10,0,0,186,280
48020,"Macleod/Macleod"," 27-1","Foothills No. 31",10,17,4,177,9,1,0,218,396
48020,"Macleod/Macleod"," 28A","Black Diamond",9,8,5,101,11,1,1,136,272
48020,"Macleod/Macleod"," 28B","Black Diamond",4,12,3,103,12,0,1,135,269
48020,"Macleod/Macleod"," 29A","Black Diamond",11,13,2,182,7,0,1,216,394
48020,"Macleod/Macleod"," 29B","Black Diamond",10,12,2,165,15,0,0,204,348
48020,"Macleod/Macleod"," 30","Turner Valley",15,21,6,177,25,0,0,244,415
48020,"Macleod/Macleod"," 31A","Turner Valley",5,21,4,159,12,1,2,204,365
