Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Bory,Nora Fueten,Marc Laferriere,Phil McColeman,Martin Sitko,Lloyd St. Amand,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35009,"Brant/Brant"," 1","Brant-on-the-Grand",0,5,47,105,1,17,1,176,356
35009,"Brant/Brant"," 2","Brant-on-the-Grand",0,13,36,111,2,20,0,182,313
35009,"Brant/Brant"," 3","Brant-on-the-Grand",0,11,50,158,0,19,2,240,402
35009,"Brant/Brant"," 4","Brant-on-the-Grand",3,6,38,135,1,19,1,203,366
35009,"Brant/Brant"," 5","Brant-on-the-Grand",1,10,63,173,2,45,2,296,507
35009,"Brant/Brant"," 6","Brant-on-the-Grand",0,8,28,98,0,25,1,160,306
35009,"Brant/Brant"," 7","Brant-on-the-Grand",2,4,38,112,0,52,2,210,404
35009,"Brant/Brant"," 8","Brant-on-the-Grand",0,11,64,155,0,39,1,270,490
35009,"Brant/Brant"," 9","Brant-on-the-Grand",0,6,59,76,1,23,0,165,265
35009,"Brant/Brant"," 10","Brant-on-the-Grand",0,7,50,150,0,34,1,242,418
35009,"Brant/Brant"," 11","Brant-on-the-Grand",0,5,54,96,0,38,1,194,353
35009,"Brant/Brant"," 12","Brant-on-the-Grand",1,6,44,125,0,34,1,211,382
35009,"Brant/Brant"," 13","Brant-on-the-Grand",0,11,29,132,1,21,1,195,277
35009,"Brant/Brant"," 14","Brant-on-the-Grand",4,6,45,155,0,45,2,257,388
35009,"Brant/Brant"," 15","Brant-on-the-Grand",1,14,54,169,0,70,1,309,500
35009,"Brant/Brant"," 16","Brant-on-the-Grand",0,12,31,142,2,34,1,222,373
35009,"Brant/Brant"," 17","Brant-on-the-Grand",1,8,61,196,0,41,1,308,529
35009,"Brant/Brant"," 18","Brant-on-the-Grand",3,15,52,155,1,53,0,279,452
35009,"Brant/Brant"," 19","Brant-on-the-Grand",0,6,49,140,0,62,2,259,441
35009,"Brant/Brant"," 19-1","Brant-on-the-Grand",0,8,38,189,0,23,1,259,473
35009,"Brant/Brant"," 20","Brant-on-the-Grand",0,10,25,119,1,53,0,208,374
35009,"Brant/Brant"," 21","Brant-on-the-Grand",0,9,53,109,0,55,1,227,349
35009,"Brant/Brant"," 22","Brant-on-the-Grand",0,9,47,155,0,44,2,257,498
35009,"Brant/Brant"," 23","Brant-on-the-Grand",0,4,20,144,1,30,1,200,407
35009,"Brant/Brant"," 23-1","Brant-on-the-Grand",0,6,24,114,0,22,0,166,252
35009,"Brant/Brant"," 24","Brant-on-the-Grand",1,17,94,168,0,55,1,336,591
35009,"Brant/Brant"," 25","Brant-on-the-Grand",0,11,64,132,1,49,1,258,447
35009,"Brant/Brant"," 26","Brant-on-the-Grand",0,8,56,91,1,20,0,176,342
35009,"Brant/Brant"," 26-1","Brant-on-the-Grand",0,4,27,101,0,28,0,160,289
35009,"Brant/Brant"," 27","Brant-on-the-Grand",1,10,63,149,0,65,1,289,507
35009,"Brant/Brant"," 28","Brant-on-the-Grand",0,3,69,83,0,29,1,185,369
35009,"Brant/Brant"," 29","Brant-on-the-Grand",0,9,63,97,1,38,0,208,369
35009,"Brant/Brant"," 30","Brant-on-the-Grand",1,19,68,103,0,30,0,221,396
35009,"Brant/Brant"," 31","Brant-on-the-Grand",0,18,60,103,0,42,1,224,374
35009,"Brant/Brant"," 32","Brant-on-the-Grand",0,12,51,91,0,52,1,207,342
35009,"Brant/Brant"," 33","Brant-on-the-Grand",Void/Supprimé,,,,,,,,
35009,"Brant/Brant"," 34","Brant-on-the-Grand",0,7,56,67,0,33,2,165,315
35009,"Brant/Brant"," 35","Brant-on-the-Grand",0,7,72,59,0,45,0,183,399
35009,"Brant/Brant"," 36","Brant-on-the-Grand",1,7,58,47,0,16,0,129,324
35009,"Brant/Brant"," 37","Brant-on-the-Grand",1,17,67,103,0,31,1,220,399
35009,"Brant/Brant"," 38","Brant-on-the-Grand",0,9,65,94,1,30,0,199,386
35009,"Brant/Brant"," 39","Brant-on-the-Grand",2,7,57,113,0,62,0,241,399
35009,"Brant/Brant"," 40","Brant-on-the-Grand",1,21,66,90,1,49,0,228,444
35009,"Brant/Brant"," 41","Brant-on-the-Grand",0,8,57,127,0,46,0,238,387
35009,"Brant/Brant"," 41-1","Brant-on-the-Grand",0,2,42,90,0,31,1,166,281
35009,"Brant/Brant"," 42","Brant-on-the-Grand",0,11,41,131,0,44,0,227,378
35009,"Brant/Brant"," 42-1","Brant-on-the-Grand",0,5,53,167,0,46,1,272,430
35009,"Brant/Brant"," 42-2","Brant-on-the-Grand",0,8,41,103,0,22,1,175,287
35009,"Brant/Brant"," 43","Brant-on-the-Grand",0,4,35,112,2,34,0,187,333
35009,"Brant/Brant"," 44","Brant-on-the-Grand",0,3,43,136,0,33,1,216,382
35009,"Brant/Brant"," 45","Brant-on-the-Grand",2,20,56,158,2,37,1,276,449
35009,"Brant/Brant"," 46","Brant-on-the-Grand",2,22,78,156,1,41,1,301,525
35009,"Brant/Brant"," 47","Brant-on-the-Grand",2,6,47,140,0,42,0,237,366
35009,"Brant/Brant"," 48","Brant-on-the-Grand",0,4,30,116,0,42,0,192,292
35009,"Brant/Brant"," 49","Brant-on-the-Grand",6,10,48,138,0,41,0,243,462
35009,"Brant/Brant"," 50","Brant-on-the-Grand",0,5,41,78,0,45,0,169,305
35009,"Brant/Brant"," 51","Brant-on-the-Grand",1,8,47,124,1,42,3,226,362
35009,"Brant/Brant"," 52","Brant-on-the-Grand",0,4,55,81,1,23,0,164,247
35009,"Brant/Brant"," 53","Brant-on-the-Grand",0,9,60,141,0,63,0,273,479
35009,"Brant/Brant"," 54","Brant-on-the-Grand",0,10,36,71,0,23,0,140,264
35009,"Brant/Brant"," 55","Brantford",0,5,21,95,0,51,0,172,322
