Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernard Garneau,Yvon Guay,Denis Lebel,Claude Pilote,Steeve Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 1","Saint-Thomas-Didyme",14,37,70,41,1,0,163,264
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 2","Saint-Thomas-Didyme",3,64,97,51,1,4,220,326
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 3","Saint-Edmond",12,73,98,32,2,2,219,323
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 4","Girardville",7,62,68,20,2,2,161,248
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 5","Girardville",4,28,63,13,1,2,111,191
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 6","Girardville",7,29,56,25,3,3,123,197
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 7","Girardville",13,48,87,15,1,0,164,267
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 8","Albanel",2,40,32,28,3,0,105,263
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 9","Albanel",9,78,94,53,4,1,239,455
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 10","Albanel",4,60,65,46,2,0,177,293
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 11","Albanel",8,44,75,26,6,0,159,248
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 12","Albanel",3,59,65,39,4,5,175,282
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 13","Albanel",5,56,52,19,5,1,138,227
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 14","Normandin",13,81,111,26,4,2,237,394
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 15","Normandin",14,80,84,34,4,1,217,354
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 16","Normandin",13,46,77,27,4,7,174,327
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 17","Normandin",12,65,79,31,5,4,196,351
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 18","Normandin",13,52,103,33,0,4,205,404
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 19","Normandin",4,55,123,34,6,1,223,381
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 20","Normandin",2,37,66,17,0,1,123,233
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 21","Saint-Félicien",3,45,55,52,2,3,160,288
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 22","Saint-Félicien",12,69,122,57,0,2,262,477
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 23","Saint-Méthode",10,60,93,29,2,2,196,366
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 24","Sainte-Élisabeth-de-Proulx",0,16,25,22,5,0,68,132
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 25","Sainte-Jeanne-d'Arc",8,70,82,71,2,0,233,440
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 26","Sainte-Jeanne-d'Arc",15,71,147,49,3,3,288,449
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 27","Péribonka",9,77,98,77,4,7,272,400
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 28","Saint-Augustin",8,48,98,16,3,2,175,286
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 29","Saint-Ludger-de-Milot",2,77,104,53,2,3,241,400
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 30","Saint-Ludger-de-Milot",2,43,40,35,1,1,122,198
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 31","Sainte-Monique",7,52,61,31,5,0,156,314
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 32","Sainte-Monique",8,89,88,36,5,1,227,382
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 33","Saint-Henri-de-Taillon",11,92,90,76,4,7,280,451
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 34","Saint-Henri-de-Taillon",2,35,34,18,1,1,91,171
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 35","L'Ascension",4,42,44,31,1,2,124,304
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 36","L'Ascension",1,43,52,26,4,2,128,267
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 37","L'Ascension",Void/Supprimé,,,,,,,
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 38","L'Ascension",9,110,93,84,7,1,304,588
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 39","L'Ascension-de-Notre-Seigneur",4,81,44,41,3,3,176,340
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 40","Lamarche",5,121,87,58,3,1,275,442
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 41","Labrecque",4,130,99,82,5,2,322,556
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 42","Labrecque",1,108,93,53,5,3,263,466
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 43","Saint-Nazaire",130,12,83,33,2,8,268,468
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 44","Saint-Nazaire",5,63,34,49,6,1,158,282
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 45","Saint-Nazaire",5,104,67,62,6,6,250,401
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 46","Saint-Nazaire",2,94,69,59,9,5,238,400
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 47","Notre-Dame-de-Lorette",1,20,41,25,1,1,89,167
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 48","Saint-Stanislas",9,39,50,47,2,2,149,266
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 49","Saint-Eugène-d'Argentenay",8,80,68,62,0,3,221,417
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 50","Dolbeau-Mistassini",16,89,126,60,2,4,297,535
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 51","Dolbeau-Mistassini",12,72,73,79,3,3,242,504
