Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Ray Game,John Maloney,David Vangoolen,Leanna Villella,Ron J. Walker,Robin Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35097,"Welland/Welland"," 1","St. Catharines",51,0,16,0,105,0,10,1,183,321
35097,"Welland/Welland"," 2","St. Catharines",63,0,12,0,58,0,2,2,137,313
35097,"Welland/Welland"," 2-1","St. Catharines",45,0,14,0,54,0,3,0,116,243
35097,"Welland/Welland"," 3","St. Catharines",72,1,32,4,107,0,10,0,226,388
35097,"Welland/Welland"," 4","St. Catharines",82,0,29,0,65,0,8,0,184,382
35097,"Welland/Welland"," 5","St. Catharines",66,0,14,0,45,1,5,2,133,298
35097,"Welland/Welland"," 6","St. Catharines",68,2,23,1,58,1,5,3,161,382
35097,"Welland/Welland"," 7","St. Catharines",63,0,12,1,46,1,6,0,129,304
35097,"Welland/Welland"," 8","St. Catharines",76,0,13,0,59,0,4,1,153,299
35097,"Welland/Welland"," 9","St. Catharines",74,1,6,0,37,0,8,1,127,359
35097,"Welland/Welland"," 10","St. Catharines",44,1,9,0,35,1,7,0,97,288
35097,"Welland/Welland"," 11","St. Catharines",71,0,16,3,40,0,4,3,137,386
35097,"Welland/Welland"," 12","St. Catharines",72,0,13,1,72,0,7,0,165,453
35097,"Welland/Welland"," 13","St. Catharines",43,0,9,2,38,1,3,0,96,267
35097,"Welland/Welland"," 13-1","St. Catharines",41,1,9,0,16,1,4,0,72,247
35097,"Welland/Welland"," 14","St. Catharines",40,0,11,0,74,0,5,1,131,281
35097,"Welland/Welland"," 15","St. Catharines",92,1,48,1,97,0,5,0,244,514
35097,"Welland/Welland"," 15-1","St. Catharines",79,0,31,1,82,0,4,0,197,415
35097,"Welland/Welland"," 16","St. Catharines",69,0,30,0,122,0,6,2,229,384
35097,"Welland/Welland"," 16-1","St. Catharines",55,0,18,5,53,0,5,0,136,261
35097,"Welland/Welland"," 17","St. Catharines",74,0,43,0,121,0,5,0,243,426
35097,"Welland/Welland"," 17-1","St. Catharines",42,1,35,0,120,0,6,0,204,326
35097,"Welland/Welland"," 17-2","St. Catharines",49,0,21,2,97,0,5,0,174,305
35097,"Welland/Welland"," 18","St. Catharines",79,0,32,2,108,1,10,0,232,455
35097,"Welland/Welland"," 19","St. Catharines",80,1,33,1,140,0,4,1,260,480
35097,"Welland/Welland"," 20","St. Catharines",59,0,41,3,89,0,5,0,197,310
35097,"Welland/Welland"," 20-1","St. Catharines",1,0,1,0,1,0,0,0,3,235
35097,"Welland/Welland"," 21","St. Catharines",74,0,33,1,89,0,6,6,209,316
35097,"Welland/Welland"," 22","St. Catharines",57,0,51,4,111,0,5,1,229,389
35097,"Welland/Welland"," 23","St. Catharines",76,2,53,1,103,0,11,1,247,380
35097,"Welland/Welland"," 24","St. Catharines",43,0,23,0,46,1,4,1,118,213
35097,"Welland/Welland"," 25","St. Catharines",91,0,35,3,77,0,12,1,219,362
35097,"Welland/Welland"," 26","St. Catharines",56,0,27,0,79,0,8,0,170,348
35097,"Welland/Welland"," 27","St. Catharines",65,0,10,0,71,0,5,0,151,306
35097,"Welland/Welland"," 28","St. Catharines",88,0,63,2,123,2,4,2,284,484
35097,"Welland/Welland"," 29","St. Catharines",91,1,26,0,86,1,10,2,217,375
35097,"Welland/Welland"," 30","St. Catharines",65,0,27,0,44,0,5,0,141,274
35097,"Welland/Welland"," 31","St. Catharines",95,1,19,1,69,0,6,1,192,374
35097,"Welland/Welland"," 32","St. Catharines",82,0,15,2,58,0,10,0,167,364
35097,"Welland/Welland"," 33","St. Catharines",127,0,17,0,68,1,14,0,227,473
35097,"Welland/Welland"," 34","Thorold",81,0,45,3,106,0,7,0,242,473
35097,"Welland/Welland"," 35","Thorold",104,1,20,0,69,0,5,0,199,364
35097,"Welland/Welland"," 35-1","Thorold",134,0,32,0,104,0,9,0,279,490
35097,"Welland/Welland"," 36","Thorold",67,1,15,0,70,0,5,0,158,300
35097,"Welland/Welland"," 37","Thorold",61,0,14,0,70,1,4,2,152,284
35097,"Welland/Welland"," 38","Thorold",79,0,29,1,78,0,4,2,193,389
35097,"Welland/Welland"," 38-1","Thorold",96,0,26,0,79,1,5,0,207,420
35097,"Welland/Welland"," 39","Thorold",39,0,11,1,57,0,0,0,108,235
35097,"Welland/Welland"," 40","Thorold",70,1,17,1,46,0,2,1,138,307
35097,"Welland/Welland"," 41","Thorold",76,1,28,0,59,0,2,2,168,346
35097,"Welland/Welland"," 42","Thorold",77,1,32,1,60,0,1,2,174,316
35097,"Welland/Welland"," 43","Thorold",75,0,57,2,118,0,7,2,261,432
35097,"Welland/Welland"," 44","Thorold",97,0,44,1,78,0,3,0,223,351
35097,"Welland/Welland"," 45","Thorold",87,0,31,1,42,0,3,4,168,317
35097,"Welland/Welland"," 46","Thorold",77,0,39,1,59,0,2,1,179,311
35097,"Welland/Welland"," 47","Thorold",77,1,25,2,73,0,1,1,180,318
35097,"Welland/Welland"," 48","Thorold",91,1,19,0,52,0,6,0,169,368
35097,"Welland/Welland"," 49","Thorold",76,1,15,1,52,0,2,4,151,282
35097,"Welland/Welland"," 50","Thorold",76,0,32,2,51,0,0,0,161,301
35097,"Welland/Welland"," 51","Thorold",70,0,24,1,52,0,2,5,154,290
35097,"Welland/Welland"," 52","Thorold",107,1,15,2,57,0,7,0,189,374
35097,"Welland/Welland"," 53","Thorold",99,0,10,0,63,0,3,0,175,381
35097,"Welland/Welland"," 54","Thorold",74,1,11,0,63,0,3,0,152,314
35097,"Welland/Welland"," 55","Thorold",82,0,13,0,44,0,1,2,142,344
35097,"Welland/Welland"," 56","Thorold",59,0,6,2,47,0,8,7,129,256
35097,"Welland/Welland"," 57","Thorold",72,0,17,0,49,0,5,2,145,264
35097,"Welland/Welland"," 58","Thorold",116,0,32,0,72,0,13,2,235,379
35097,"Welland/Welland"," 59","Thorold",53,0,8,0,63,0,6,0,130,221
35097,"Welland/Welland"," 60","Thorold",109,0,18,0,67,1,3,0,198,428
35097,"Welland/Welland"," 61","Thorold",119,1,4,2,50,0,7,1,184,380
35097,"Welland/Welland"," 62","Thorold",94,1,11,0,74,1,4,0,185,392
35097,"Welland/Welland"," 63","Thorold",67,0,5,0,61,0,5,1,139,270
35097,"Welland/Welland"," 64","Thorold",87,0,12,0,91,0,6,1,197,422
35097,"Welland/Welland"," 65","Thorold",64,1,20,1,78,1,0,1,166,391
35097,"Welland/Welland"," 66","Thorold",32,0,9,0,113,0,9,0,163,341
35097,"Welland/Welland"," 67","Thorold",61,1,6,0,83,0,2,0,153,303
35097,"Welland/Welland"," 68","Thorold",44,1,11,1,89,0,0,0,146,277
35097,"Welland/Welland"," 69","Thorold",123,1,21,3,105,0,13,0,266,507
35097,"Welland/Welland"," 70","Welland",89,2,39,2,114,0,3,0,249,450
35097,"Welland/Welland"," 71","Welland",80,1,39,1,108,0,3,1,233,445
35097,"Welland/Welland"," 72","Welland",90,0,22,0,89,1,7,1,210,390
35097,"Welland/Welland"," 73","Welland",59,0,16,0,96,0,1,0,172,328
35097,"Welland/Welland"," 73-1","Welland",44,1,12,1,44,0,0,0,102,204
35097,"Welland/Welland"," 74","Welland",49,1,23,0,44,0,4,0,121,247
35097,"Welland/Welland"," 74-1","Welland",61,0,19,2,66,0,2,1,151,344
35097,"Welland/Welland"," 75","Welland",87,0,37,0,52,0,5,1,182,342
35097,"Welland/Welland"," 76","Welland",64,4,18,0,73,0,6,0,165,319
35097,"Welland/Welland"," 77","Welland",103,0,44,0,99,0,8,0,254,437
35097,"Welland/Welland"," 78","Welland",117,0,32,1,120,0,8,0,278,469
35097,"Welland/Welland"," 79","Welland",79,0,27,2,63,0,3,2,176,332
35097,"Welland/Welland"," 80","Welland",56,0,23,0,49,0,2,1,131,279
35097,"Welland/Welland"," 81","Welland",76,0,31,1,85,0,5,1,199,435
35097,"Welland/Welland"," 82","Welland",71,3,23,0,89,0,3,1,190,380
35097,"Welland/Welland"," 83","Welland",111,1,23,0,110,0,11,0,256,449
35097,"Welland/Welland"," 84","Welland",58,0,34,1,61,0,2,1,157,319
35097,"Welland/Welland"," 85","Welland",62,0,19,1,90,0,6,1,179,344
35097,"Welland/Welland"," 86","Welland",98,0,15,1,89,0,3,0,206,391
35097,"Welland/Welland"," 87","Welland",51,0,30,0,48,0,5,0,134,259
35097,"Welland/Welland"," 87-1","Welland",56,1,21,0,74,0,2,0,154,288
35097,"Welland/Welland"," 88","Welland",73,0,24,0,81,0,5,0,183,362
35097,"Welland/Welland"," 89","Welland",80,0,40,0,70,1,6,0,197,346
