Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Greig Crockett,Janna Francis,Nikki Inouye,Colin Mayes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 1","Seymour Arm",12,0,12,27,0,51,63
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 2","Anglemont",22,12,40,135,1,210,416
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 2-1A","Anglemont",6,13,32,77,0,128,266
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 2-1B","Anglemont",9,4,26,57,0,96,228
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 3","Scotch Creek",26,15,49,198,0,288,466
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 4","Adams River",20,12,77,102,0,211,396
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 5","Quaaout 1",4,3,34,36,1,78,178
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 6","Barrière--Louis Creek",Void/Supprimé,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 7","Chase",25,4,111,121,1,262,491
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 8","East Shuswap Rd.",Void/Supprimé,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 9","Chase",16,8,49,152,0,225,407
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 9-1","Chase",3,2,54,85,1,145,249
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 10","Chase",10,13,67,186,0,276,479
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 11A","Chase",10,3,35,84,0,132,263
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 11B","Chase",8,9,29,77,1,124,264
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 12","Chase",Void/Supprimé,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 13","Pritchard ",Void/Supprimé,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 14","Chase",21,8,76,98,0,203,410
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 15","Monte Lake--Westwold",Void/Supprimé,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 16","Sorrento",5,1,22,65,0,93,184
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 16-1","Sorrento",11,7,41,103,0,162,256
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 17","Sorrento",15,10,54,177,0,256,419
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 18","Notch Hill",10,3,36,74,0,123,186
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 18-1","Notch Hill",18,10,46,196,0,270,448
