Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Braid,Bill Brown,Julian Ichim,Cathy MacLellan,Steven Bradley Scott,Andrew Telegdi,Richard Walsh-Bowers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1","Waterloo",70,37,0,19,1,77,0,0,204,369
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-1","Waterloo",63,42,0,14,2,108,0,0,229,423
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-2","Waterloo",145,28,0,7,2,109,0,2,293,505
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-3","Waterloo",64,43,1,15,0,105,0,1,229,429
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-4","Waterloo",97,59,0,8,3,123,0,0,290,501
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-5","Waterloo",44,14,0,2,0,39,1,0,100,169
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-6A","Waterloo",80,48,0,7,1,58,0,0,194,379
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-6B","Waterloo",68,23,0,3,5,59,0,2,160,307
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 2","Waterloo",117,36,0,7,1,85,0,0,246,420
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 3","Waterloo",152,44,0,9,2,119,1,0,327,541
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 3-1","Waterloo",127,38,1,5,1,87,0,0,259,402
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 4","Waterloo",98,49,0,13,0,96,0,0,256,431
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 5","Waterloo",121,26,0,7,0,101,0,1,256,418
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 6","Waterloo",133,28,0,20,1,123,1,0,306,479
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 7","Waterloo",89,39,0,19,0,79,1,10,237,467
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 7-1","Waterloo",135,52,0,11,1,110,2,0,311,527
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 7-2","Waterloo",128,32,0,10,1,99,0,1,271,510
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 7-3","Waterloo",103,26,0,9,0,100,1,0,239,441
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 8","Waterloo",93,66,1,10,1,57,0,0,228,485
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 8-1","Waterloo",117,62,0,16,0,90,2,2,289,484
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 9","Waterloo",58,49,1,11,0,51,0,2,172,395
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 10","Waterloo",101,23,0,7,0,102,0,1,234,422
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 11","Waterloo",132,12,0,5,1,88,0,0,238,377
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 12","Waterloo",95,12,0,6,1,60,0,0,174,338
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 12-1","Waterloo",94,17,1,8,0,93,0,1,214,367
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 13","Waterloo",90,19,0,12,0,128,0,1,250,369
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 14","Waterloo",74,32,0,1,0,76,0,1,184,391
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 15","Waterloo",91,9,0,6,0,95,0,0,201,355
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 16","Waterloo",117,15,0,9,0,78,0,1,220,363
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 17","Waterloo",99,35,0,6,0,71,0,1,212,397
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 18","Waterloo",106,20,0,10,1,76,0,1,214,344
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 19","Waterloo",59,25,1,11,0,79,0,0,175,351
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 19-1","Waterloo",97,19,0,8,0,76,0,1,201,370
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 20","Waterloo",136,19,0,2,0,56,0,0,213,345
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 20-1A","Waterloo",108,26,0,2,1,43,0,0,180,314
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 20-1B","Waterloo",105,21,0,6,0,46,1,0,179,304
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 21","Waterloo",96,48,0,7,1,101,0,1,254,417
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 21-1","Waterloo",146,34,1,8,3,85,0,0,277,411
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 22","Waterloo",183,37,1,7,0,87,0,0,315,451
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 23","Waterloo",128,21,0,16,0,74,0,0,239,381
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 24","Waterloo",110,30,0,14,0,89,1,3,247,348
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 25","Waterloo",106,41,1,13,1,95,1,1,259,392
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 26","Waterloo",73,55,1,11,0,68,0,1,209,372
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 27","Waterloo",126,50,1,19,2,89,0,0,287,424
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 28","Waterloo",82,36,1,12,1,62,1,1,196,349
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 29","Waterloo",145,33,0,11,1,80,0,1,271,422
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 30","Waterloo",99,49,1,8,1,61,1,0,220,385
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 31","Waterloo",120,49,1,9,0,59,0,0,238,404
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 32","Waterloo",75,44,0,10,1,57,1,1,189,343
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 33","Waterloo",92,44,0,9,1,78,0,0,224,353
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 34","Waterloo",78,55,0,8,0,82,0,1,224,385
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 35","Waterloo",94,60,0,12,0,68,1,0,235,385
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 36","Waterloo",51,48,0,5,0,28,0,0,132,324
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 37","Waterloo",82,56,0,17,2,79,0,0,236,343
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 38","Waterloo",114,43,0,12,1,93,1,1,265,419
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 39","Waterloo",96,29,0,5,0,52,0,1,183,341
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 40","Waterloo",99,36,1,9,0,70,0,1,216,346
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 41","Waterloo",116,32,0,20,1,80,2,1,252,341
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 42","Waterloo",59,49,0,7,0,45,3,0,163,305
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 43","Waterloo",42,30,0,10,1,39,1,0,123,265
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 44A","Waterloo",86,22,0,4,0,33,0,0,145,306
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 44B","Waterloo",57,23,0,6,0,48,1,0,135,288
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 44-1","Waterloo",127,25,0,4,0,62,0,1,219,405
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 45","Waterloo",44,46,0,7,1,38,0,2,138,348
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 46","Waterloo",133,24,0,4,0,93,0,1,255,429
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 47","Waterloo",56,37,0,7,0,52,0,0,152,335
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 48","Waterloo",146,29,0,9,0,127,1,0,312,484
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 49","Waterloo",138,21,0,7,0,87,1,1,255,418
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 50","Waterloo",105,28,0,11,0,81,0,2,227,366
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 51","Waterloo",35,29,0,3,0,39,1,2,109,197
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 52","Waterloo",100,53,0,11,0,81,1,1,247,391
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 53","Waterloo",121,22,0,10,0,92,0,0,245,423
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 54","Waterloo",117,26,1,10,0,114,1,0,269,415
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 55","Waterloo",156,16,0,8,0,63,0,0,243,378
