Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Ford,Mike Scott,Paul St. Laurent,Rick Szostak,Tim Uppal,Chris Vallee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 1","Fort Saskatchewan",66,34,1,16,76,6,1,200,395
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 2","Fort Saskatchewan",16,16,0,18,64,3,0,117,264
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 3","Fort Saskatchewan",68,14,0,8,67,6,0,163,341
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 4","Fort Saskatchewan",45,30,3,9,65,4,1,157,359
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 5","Fort Saskatchewan",34,15,0,7,62,2,1,121,301
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 6","Fort Saskatchewan",86,24,5,23,114,8,0,260,452
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 7","Fort Saskatchewan",64,19,1,3,44,6,0,137,372
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 8","Fort Saskatchewan",51,26,2,15,64,10,0,168,336
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 9","Fort Saskatchewan",62,13,0,11,57,7,1,151,343
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 10","Fort Saskatchewan",16,28,0,8,31,5,0,88,255
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 11","Fort Saskatchewan",63,25,1,11,70,10,0,180,342
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 12","Fort Saskatchewan",70,15,2,8,77,6,1,179,365
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 13","Fort Saskatchewan",80,17,0,10,69,9,1,186,336
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 14","Fort Saskatchewan",96,36,5,9,96,2,0,244,426
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 15A","Fort Saskatchewan",106,34,3,18,153,14,2,330,764
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 15B","Fort Saskatchewan",98,32,1,23,184,10,1,349,706
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 15-1A","Fort Saskatchewan",Merged with No. 15A/Fusionné avec le nº 15A,,,,,,,,39
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 15-1B","Fort Saskatchewan",Merged with No. 15B/Fusionné avec le nº 15B,,,,,,,,45
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 16","Fort Saskatchewan",68,16,0,23,75,5,1,188,352
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 17","Fort Saskatchewan",85,12,1,14,87,13,0,212,369
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 18","Fort Saskatchewan",88,21,1,10,90,8,0,218,400
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 19","Fort Saskatchewan",67,28,0,8,133,4,0,240,426
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 20","Fort Saskatchewan",65,14,0,16,111,10,0,216,415
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 21","Fort Saskatchewan",57,16,1,2,68,7,0,151,298
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 22","Fort Saskatchewan",60,32,2,12,76,9,0,191,369
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 23","Fort Saskatchewan",56,21,1,12,76,9,0,175,290
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 24","Fort Saskatchewan",47,25,0,11,128,12,1,224,399
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 25","Fort Saskatchewan",64,27,0,14,85,4,2,196,385
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 26","Fort Saskatchewan",68,18,2,4,77,4,0,173,310
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 27","Fort Saskatchewan",85,12,1,12,144,7,0,261,478
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 28A","Fort Saskatchewan",109,30,0,7,152,6,0,304,687
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 28B","Fort Saskatchewan",63,29,0,13,208,7,0,320,692
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 28-1","Fort Saskatchewan",95,52,0,17,130,3,0,297,818
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 29A","Edmonton",27,54,2,23,119,6,0,231,575
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 29B","Edmonton",27,48,2,11,104,9,2,203,505
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 29-1","Edmonton",36,46,2,28,145,7,0,264,635
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 30","Edmonton",43,42,1,15,101,7,0,209,438
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 31","Edmonton",13,33,2,11,65,5,0,129,270
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 32","Edmonton",15,23,0,13,87,7,0,145,296
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 33","Edmonton",62,54,1,20,133,7,1,278,551
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 34","Edmonton",29,60,3,27,127,10,0,256,595
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 35","Edmonton",24,52,0,19,127,10,1,233,454
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 36","Edmonton",13,44,1,20,92,3,3,176,473
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 37A","Edmonton",37,37,0,15,117,4,0,210,463
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 37B","Edmonton",24,47,0,10,118,5,1,205,467
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 38A","Edmonton",13,42,0,17,132,5,1,210,525
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 38B","Edmonton",13,55,0,12,114,2,4,200,485
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 39","Edmonton",24,36,0,9,89,12,0,170,365
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 40","Edmonton",79,39,0,20,204,18,1,361,738
