Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Byrne,Sean Casey,Baird Judson,Eliza Knockwood,Donna Profit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 1","Charlottetown",82,119,2,2,136,1,342,598
11002,"Charlottetown/Charlottetown"," 2","Charlottetown",70,81,0,5,84,2,242,376
11002,"Charlottetown/Charlottetown"," 3","Charlottetown",91,76,2,5,97,0,271,476
11002,"Charlottetown/Charlottetown"," 4","Charlottetown",65,81,0,1,74,1,222,442
11002,"Charlottetown/Charlottetown"," 5","Charlottetown",58,43,0,6,70,0,177,318
11002,"Charlottetown/Charlottetown"," 6","Charlottetown",60,55,3,3,48,1,170,302
11002,"Charlottetown/Charlottetown"," 7","Charlottetown",60,93,0,2,85,0,240,449
11002,"Charlottetown/Charlottetown"," 8","Charlottetown",56,57,1,7,63,0,184,335
11002,"Charlottetown/Charlottetown"," 9","Charlottetown",61,41,1,3,48,1,155,368
11002,"Charlottetown/Charlottetown"," 10","Charlottetown",92,89,3,8,115,2,309,537
11002,"Charlottetown/Charlottetown"," 11","Charlottetown",81,75,0,4,75,0,235,369
11002,"Charlottetown/Charlottetown"," 12","Charlottetown",52,65,0,3,83,4,207,365
11002,"Charlottetown/Charlottetown"," 13","Charlottetown",58,93,0,4,85,2,242,359
11002,"Charlottetown/Charlottetown"," 14","Charlottetown",52,81,0,2,46,0,181,322
11002,"Charlottetown/Charlottetown"," 15","Charlottetown",56,111,2,3,76,1,249,351
11002,"Charlottetown/Charlottetown"," 16","Charlottetown",47,99,1,1,84,0,232,360
11002,"Charlottetown/Charlottetown"," 17","Charlottetown",38,75,2,2,62,2,181,341
11002,"Charlottetown/Charlottetown"," 18","Charlottetown",46,65,4,4,65,3,187,373
11002,"Charlottetown/Charlottetown"," 19","Charlottetown",77,92,2,7,86,3,267,397
11002,"Charlottetown/Charlottetown"," 20","Charlottetown",23,88,0,6,81,0,198,292
11002,"Charlottetown/Charlottetown"," 21","Charlottetown",43,68,0,3,72,1,187,279
11002,"Charlottetown/Charlottetown"," 22","Charlottetown",34,40,2,1,58,0,135,209
11002,"Charlottetown/Charlottetown"," 23","Charlottetown",39,56,0,2,72,0,169,280
11002,"Charlottetown/Charlottetown"," 24","Charlottetown",71,104,0,7,158,1,341,556
11002,"Charlottetown/Charlottetown"," 25","Charlottetown",33,73,0,4,80,0,190,285
11002,"Charlottetown/Charlottetown"," 26","Charlottetown",80,139,0,4,117,1,341,517
11002,"Charlottetown/Charlottetown"," 27","Charlottetown",23,91,0,0,82,0,196,283
11002,"Charlottetown/Charlottetown"," 28","Charlottetown",49,107,0,4,89,2,251,406
11002,"Charlottetown/Charlottetown"," 29","Charlottetown",49,32,0,5,35,1,122,252
11002,"Charlottetown/Charlottetown"," 30","Charlottetown",49,68,0,8,56,2,183,377
11002,"Charlottetown/Charlottetown"," 31","Charlottetown",40,89,2,4,72,3,210,363
11002,"Charlottetown/Charlottetown"," 32","Charlottetown",34,56,0,3,53,0,146,288
