Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Dewar,Sylvia Gerl,Vicki Gunn,Paul Pisani,Peter Van Loan,Cynthia Wesley-Esquimaux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"York--Simcoe/York--Simcoe"," 1","Innisfil",17,58,0,1,121,34,3,234,521
35104,"York--Simcoe/York--Simcoe"," 2","Innisfil",21,48,1,1,147,26,0,244,534
35104,"York--Simcoe/York--Simcoe"," 3","Innisfil",16,59,0,0,136,22,1,234,449
35104,"York--Simcoe/York--Simcoe"," 4","Innisfil",3,66,1,0,151,14,0,235,457
35104,"York--Simcoe/York--Simcoe"," 5","Innisfil",12,62,1,1,95,23,0,194,474
35104,"York--Simcoe/York--Simcoe"," 6","Innisfil",Merged with No. 12/Fusionné avec le nº 12,,,,,,,,110
35104,"York--Simcoe/York--Simcoe"," 7","Innisfil",4,52,0,0,155,21,1,233,339
35104,"York--Simcoe/York--Simcoe"," 8","Innisfil",3,29,0,0,166,18,0,216,302
35104,"York--Simcoe/York--Simcoe"," 9","Innisfil",6,60,2,1,116,14,0,199,291
35104,"York--Simcoe/York--Simcoe"," 10","Innisfil",5,57,0,0,179,13,0,254,385
35104,"York--Simcoe/York--Simcoe"," 11","Innisfil",9,57,2,0,158,21,1,248,401
35104,"York--Simcoe/York--Simcoe"," 12","Innisfil",17,32,0,0,103,16,0,168,232
35104,"York--Simcoe/York--Simcoe"," 13","Innisfil",17,57,0,1,163,38,0,276,561
35104,"York--Simcoe/York--Simcoe"," 14","Innisfil",10,48,0,0,172,20,0,250,465
35104,"York--Simcoe/York--Simcoe"," 15","Innisfil",14,59,1,0,185,13,1,273,488
35104,"York--Simcoe/York--Simcoe"," 16","Innisfil",19,49,0,0,166,32,0,266,433
35104,"York--Simcoe/York--Simcoe"," 17","Innisfil",17,62,4,0,155,15,0,253,488
35104,"York--Simcoe/York--Simcoe"," 18","Innisfil",11,41,1,1,155,18,1,228,593
35104,"York--Simcoe/York--Simcoe"," 19","Innisfil",4,19,1,1,92,9,0,126,317
35104,"York--Simcoe/York--Simcoe"," 20","Innisfil",13,46,2,3,200,27,1,292,570
35104,"York--Simcoe/York--Simcoe"," 21","Innisfil",11,41,2,0,135,27,0,216,402
35104,"York--Simcoe/York--Simcoe"," 22","Innisfil",18,48,2,1,180,21,0,270,510
35104,"York--Simcoe/York--Simcoe"," 23","Innisfil",8,32,1,1,96,7,0,145,298
35104,"York--Simcoe/York--Simcoe"," 23-1","Innisfil",9,24,0,0,86,16,0,135,200
35104,"York--Simcoe/York--Simcoe"," 24","Innisfil",13,44,2,0,121,24,1,205,321
35104,"York--Simcoe/York--Simcoe"," 25","Innisfil",12,63,2,0,109,14,0,200,488
35104,"York--Simcoe/York--Simcoe"," 26","Innisfil",15,43,0,2,95,20,1,176,402
35104,"York--Simcoe/York--Simcoe"," 27","Innisfil",9,29,0,1,75,10,0,124,274
35104,"York--Simcoe/York--Simcoe"," 28","Innisfil",17,47,0,0,120,11,0,195,400
35104,"York--Simcoe/York--Simcoe"," 29","Innisfil",4,52,1,0,103,14,0,174,353
35104,"York--Simcoe/York--Simcoe"," 30","Innisfil",16,49,0,1,127,14,0,207,515
35104,"York--Simcoe/York--Simcoe"," 31","Innisfil",13,45,0,2,74,6,0,140,353
35104,"York--Simcoe/York--Simcoe"," 32","Innisfil",5,52,0,0,106,16,0,179,466
35104,"York--Simcoe/York--Simcoe"," 33","Innisfil",6,43,2,1,90,3,0,145,343
35104,"York--Simcoe/York--Simcoe"," 34","Innisfil",8,30,2,0,110,10,2,162,358
35104,"York--Simcoe/York--Simcoe"," 35","Innisfil",7,47,0,0,99,11,0,164,345
35104,"York--Simcoe/York--Simcoe"," 36","Innisfil",10,41,0,1,81,16,1,150,302
35104,"York--Simcoe/York--Simcoe"," 37","Innisfil",12,43,0,0,94,21,0,170,435
35104,"York--Simcoe/York--Simcoe"," 38","Innisfil",14,40,0,0,110,27,0,191,440
35104,"York--Simcoe/York--Simcoe"," 39","Innisfil",16,57,4,1,163,16,0,257,529
35104,"York--Simcoe/York--Simcoe"," 40","Innisfil",24,57,0,1,113,18,2,215,403
35104,"York--Simcoe/York--Simcoe"," 41","Innisfil",13,52,2,0,123,14,1,205,479
35104,"York--Simcoe/York--Simcoe"," 41-1","Innisfil",10,45,0,1,117,6,2,181,454
