Political affiliation/Appartenance politique,N.L. Valid Votes/Votes valides T.-N.-L.,P.E.I. Valid Votes/Votes valides Î.-P.-É.,N.S. Valid Votes/Votes valides N.-É.,N.B. Valid Votes/Votes valides N.-B.,Que. Valid Votes/Votes valides Qc,Ont. Valid Votes/Votes valides Ont.,Man. Valid Votes/Votes valides Man.,Sask. Valid Votes/Votes valides Sask.,Alta. Valid Votes/Votes valides Alb.,B.C. Valid Votes/Votes valides C.-B.,Y.T. Valid Votes/Votes valides Yn,N.W.T. Valid Votes/Votes valides T.N.-O.,Nun. Valid Votes/Votes valides Nt
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",0,0,0,0,0,1257,0,0,0,0,0,87,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,891425,0,0,0,0,0,0,0,0
"Canadian Action Party/Parti action canadienne",0,0,0,0,250,827,0,116,384,374,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,87,375,450,859,9928,1315,0,3401,2495,0,0,0
"Communist Party of Canada/Parti communiste du Canada",0,0,0,0,533,1266,270,0,346,479,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",61562,32548,165818,170420,627961,2457463,262941,256167,932765,853272,5422,5001,3930
"First Peoples National Party of Canada/First Peoples National Party of Canada",0,0,0,0,0,229,0,0,0,0,0,0,0
"Green Party of Canada/Le Parti Vert du Canada",1954,1895,17808,12317,80402,207435,17738,12045,73058,143769,3037,477,160
"Liberal Party of Canada/Parti libéral du Canada",82344,32380,130577,87871,538447,1400302,81417,38743,129310,251263,5290,2872,2260
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,0,3362,0,0,0,2640,0,0,0
"Marijuana Party/Parti Marijuana",0,0,0,0,0,1756,0,0,0,0,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,152,0,3509,3676,0,0,808,1780,0,0,0
"New Democratic Party/Nouveau Parti démocratique",70868,12135,136620,115830,1630865,1417435,126639,147214,234730,609102,2308,7140,1525
"Pirate Party of Canada/Parti Pirate du Canada",0,0,0,0,369,627,215,0,663,1323,0,0,0
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,0,0,0,3230,0,0,1754,806,0,0,0
"Rhinoceros Party/Parti Rhinocéros",0,0,0,0,3251,0,0,0,345,204,0,0,0
"United Party of Canada/Parti Uni du Canada",0,0,0,0,0,293,0,0,0,0,0,0,0
"Western Block Party/Western Block Party",0,0,0,0,0,0,0,0,415,336,0,0,0
"Independent/Indépendant",608,0,0,1850,23650,13295,684,809,17906,4573,0,0,0
"No Affiliation/Aucune appartenance",0,0,0,0,169,9097,0,0,0,220,0,0,0
