Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Parsons,Bill Prout,David Tilson,Ard Van Leeuwen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Dufferin--Caledon/Dufferin--Caledon"," 1","Melancthon",32,22,107,19,2,182,330
35018,"Dufferin--Caledon/Dufferin--Caledon"," 2","Melancthon",33,12,75,36,0,156,244
35018,"Dufferin--Caledon/Dufferin--Caledon"," 3","Horning's Mills",37,13,134,64,2,250,416
35018,"Dufferin--Caledon/Dufferin--Caledon"," 3-1","Melancthon Southeast",23,13,111,23,1,171,323
35018,"Dufferin--Caledon/Dufferin--Caledon"," 4","Mulmur",Void/Supprimé,,,,,,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 5","Melancthon",60,4,134,39,0,237,413
35018,"Dufferin--Caledon/Dufferin--Caledon"," 6","Honeywood--Mulmur",37,17,82,56,0,192,383
35018,"Dufferin--Caledon/Dufferin--Caledon"," 7","Mulmur",55,34,144,48,1,282,455
35018,"Dufferin--Caledon/Dufferin--Caledon"," 8","Mulmur",32,26,137,34,0,229,457
35018,"Dufferin--Caledon/Dufferin--Caledon"," 9","Mulmur--Mansfield",36,25,127,48,0,236,425
35018,"Dufferin--Caledon/Dufferin--Caledon"," 9-1","Mulmur--Violet Hill",13,15,83,4,2,117,224
35018,"Dufferin--Caledon/Dufferin--Caledon"," 10","Mulmur",44,18,95,59,0,216,466
35018,"Dufferin--Caledon/Dufferin--Caledon"," 11","Shelburne",47,24,126,40,0,237,552
35018,"Dufferin--Caledon/Dufferin--Caledon"," 11-1","Shelburne",34,26,106,24,1,191,448
35018,"Dufferin--Caledon/Dufferin--Caledon"," 12","Shelburne",32,21,84,22,1,160,409
35018,"Dufferin--Caledon/Dufferin--Caledon"," 13","Shelburne",19,6,101,25,0,151,333
35018,"Dufferin--Caledon/Dufferin--Caledon"," 13-1","Shelburne",26,8,85,25,0,144,377
35018,"Dufferin--Caledon/Dufferin--Caledon"," 14","Shelburne",35,19,91,35,3,183,405
35018,"Dufferin--Caledon/Dufferin--Caledon"," 15","Shelburne",30,12,76,25,0,143,391
35018,"Dufferin--Caledon/Dufferin--Caledon"," 16","Shelburne",38,25,92,34,3,192,448
35018,"Dufferin--Caledon/Dufferin--Caledon"," 17","Shelburne",34,19,185,41,1,280,546
35018,"Dufferin--Caledon/Dufferin--Caledon"," 18","Amaranth",20,19,98,22,0,159,301
35018,"Dufferin--Caledon/Dufferin--Caledon"," 19","Amaranth",33,17,143,35,0,228,462
35018,"Dufferin--Caledon/Dufferin--Caledon"," 20","Amaranth",23,21,153,32,2,231,432
35018,"Dufferin--Caledon/Dufferin--Caledon"," 21","Amaranth",27,14,122,47,0,210,414
35018,"Dufferin--Caledon/Dufferin--Caledon"," 21-1","Amaranth--Village Green",Void/Supprimé,,,,,,
