Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diana Dilworth,Fin Donnelly,Rebecca Helps,Ken Beck Lee,Roland Verrier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 1A","Port Moody",63,35,9,12,0,0,119,278
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 1B","Port Moody",54,35,8,11,1,0,109,237
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 2","Port Moody",71,156,20,15,0,0,262,441
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 3","Port Moody",108,144,9,27,0,0,288,509
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 4","Port Moody",Void/Supprimé,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 5","Port Moody",103,86,17,19,0,0,225,370
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 6","Port Moody",75,112,17,15,2,1,222,413
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 7","Port Moody",45,91,8,20,2,0,166,358
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 8","Port Moody",97,91,4,8,0,0,200,359
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 9","Port Moody",143,107,7,18,1,0,276,389
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 10","Port Moody",98,105,9,16,0,0,228,362
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 11","Port Moody",118,118,10,10,1,0,257,364
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 12","Port Moody",99,129,16,21,0,1,266,458
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 13","Port Moody",76,80,9,8,0,0,173,468
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 14","Port Moody",75,112,21,20,2,0,230,501
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 15","Port Moody",80,80,14,13,0,0,187,394
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 16","Port Moody",55,102,7,17,2,1,184,328
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 17","Port Moody",45,60,22,8,0,0,135,338
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 18A","Port Moody",22,60,8,3,0,0,93,278
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 18B","Port Moody",33,59,8,6,0,0,106,278
