Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kash Andreychuk,Garry Breitkreuz,Elaine Hughes,Douglas Ottenbreit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 54","Foam Lake",3,160,1,30,0,194,310
47014,"Yorkton--Melville/Yorkton--Melville"," 55","Foam Lake",5,110,3,37,0,155,252
47014,"Yorkton--Melville/Yorkton--Melville"," 56","Foam Lake",8,82,1,24,0,115,203
47014,"Yorkton--Melville/Yorkton--Melville"," 57","Foam Lake",12,145,4,49,0,210,449
47014,"Yorkton--Melville/Yorkton--Melville"," 58","Foam Lake",4,83,0,14,1,102,160
47014,"Yorkton--Melville/Yorkton--Melville"," 59","Invermay",0,86,2,20,1,109,120
47014,"Yorkton--Melville/Yorkton--Melville"," 60","Invermay",6,91,4,12,1,114,211
47014,"Yorkton--Melville/Yorkton--Melville"," 61","Rama",8,88,1,19,0,116,182
47014,"Yorkton--Melville/Yorkton--Melville"," 62","Sheho",6,78,8,18,1,111,207
47014,"Yorkton--Melville/Yorkton--Melville"," 63","Sheho",5,40,1,11,0,57,98
47014,"Yorkton--Melville/Yorkton--Melville"," 64","Theodore",9,55,4,11,0,79,122
47014,"Yorkton--Melville/Yorkton--Melville"," 65","Theodore",11,129,10,36,0,186,291
47014,"Yorkton--Melville/Yorkton--Melville"," 66","Buchanan",3,62,1,23,0,89,113
47014,"Yorkton--Melville/Yorkton--Melville"," 67","Buchanan",14,79,3,26,2,124,200
47014,"Yorkton--Melville/Yorkton--Melville"," 68","Canora",4,106,1,30,0,141,234
47014,"Yorkton--Melville/Yorkton--Melville"," 69","Canora",4,69,4,21,0,98,183
47014,"Yorkton--Melville/Yorkton--Melville"," 70","Canora",4,64,5,26,0,99,185
47014,"Yorkton--Melville/Yorkton--Melville"," 71","Canora",12,110,2,39,0,163,242
47014,"Yorkton--Melville/Yorkton--Melville"," 72","Canora",11,115,3,37,0,166,342
47014,"Yorkton--Melville/Yorkton--Melville"," 73A","Canora",16,126,8,48,2,200,427
47014,"Yorkton--Melville/Yorkton--Melville"," 73B","Canora",5,126,7,53,0,191,404
47014,"Yorkton--Melville/Yorkton--Melville"," 74","Sunnyside--Canora Beach",8,108,4,23,2,145,328
47014,"Yorkton--Melville/Yorkton--Melville"," 75","Veregin",2,99,2,39,0,142,250
47014,"Yorkton--Melville/Yorkton--Melville"," 76","Rhein",11,141,6,19,0,177,292
47014,"Yorkton--Melville/Yorkton--Melville"," 77","Keeseekoose 66",12,13,1,83,0,109,242
47014,"Yorkton--Melville/Yorkton--Melville"," 78","Kamsack (Cote 64)",7,10,0,52,0,69,246
47014,"Yorkton--Melville/Yorkton--Melville"," 79","Kamsack",11,146,6,47,1,211,343
47014,"Yorkton--Melville/Yorkton--Melville"," 80","Kamsack",7,73,6,42,1,129,252
47014,"Yorkton--Melville/Yorkton--Melville"," 81","Kamsack",6,33,1,30,0,70,185
47014,"Yorkton--Melville/Yorkton--Melville"," 82","Kamsack",18,136,10,95,0,259,607
