Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janine Gibson,Terry Hayward,Ric Lim,Al Mackling,David Reimer,Vic Toews,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 28","Oakbank",12,16,1,49,0,190,0,268,382
46008,"Provencher/Provencher"," 29","Oakbank",9,19,2,80,2,182,0,294,500
46008,"Provencher/Provencher"," 30A","Oakbank",4,17,1,77,1,120,1,221,402
46008,"Provencher/Provencher"," 30B","Oakbank",8,6,0,34,0,146,0,194,396
46008,"Provencher/Provencher"," 31","Oakbank",3,18,4,49,5,187,0,266,500
46008,"Provencher/Provencher"," 32","Oakbank",11,14,5,87,4,263,0,384,673
46008,"Provencher/Provencher"," 33","Hazelridge",7,15,3,59,0,156,0,240,403
46008,"Provencher/Provencher"," 34","Anola",14,15,3,88,3,233,2,358,509
46008,"Provencher/Provencher"," 35","Vivian",5,8,1,69,0,173,0,256,368
46008,"Provencher/Provencher"," 36","Ste. Rita",4,7,1,20,1,129,2,164,294
46008,"Provencher/Provencher"," 37","Anola",21,12,0,92,3,201,0,329,623
46008,"Provencher/Provencher"," 38","Anola",10,16,0,64,1,144,1,236,385
46008,"Provencher/Provencher"," 39","Anola",3,5,0,37,0,104,0,149,211
46008,"Provencher/Provencher"," 40","Dugald",6,12,0,28,2,146,0,194,290
46008,"Provencher/Provencher"," 41","Dugald",0,10,1,49,2,161,2,225,342
46008,"Provencher/Provencher"," 42","Navin",9,15,1,62,2,175,1,265,685
46008,"Provencher/Provencher"," 43","Dugald",5,9,0,44,0,119,0,177,267
46008,"Provencher/Provencher"," 44A","St. Adolphe",4,21,1,22,2,92,1,143,293
46008,"Provencher/Provencher"," 44B","St. Adolphe",8,12,1,35,0,121,1,178,341
46008,"Provencher/Provencher"," 45","St. Adolphe",6,23,2,70,1,128,2,232,377
46008,"Provencher/Provencher"," 46","St. Adolphe",5,23,1,81,1,128,0,239,398
46008,"Provencher/Provencher"," 47","Glenlea",4,12,1,30,0,87,1,135,215
46008,"Provencher/Provencher"," 48","Ste. Agathe",16,44,2,84,4,226,0,376,543
46008,"Provencher/Provencher"," 49","Niverville",3,9,2,30,3,227,0,274,423
46008,"Provencher/Provencher"," 50","Niverville",7,16,2,39,9,264,1,338,579
46008,"Provencher/Provencher"," 51","Niverville",7,13,4,24,1,238,1,288,514
46008,"Provencher/Provencher"," 52A","Niverville",8,10,0,41,1,252,1,313,566
46008,"Provencher/Provencher"," 52B","Niverville",6,16,2,49,4,206,1,284,531
46008,"Provencher/Provencher"," 53","New Bothwell",6,9,1,24,4,229,0,273,463
46008,"Provencher/Provencher"," 54","Oak Island Settlement",2,19,0,26,1,127,5,180,297
46008,"Provencher/Provencher"," 55","Île des Chênes",8,29,0,70,6,211,1,325,605
46008,"Provencher/Provencher"," 56","Île des Chênes",12,28,1,58,1,162,1,263,430
46008,"Provencher/Provencher"," 57","Île des Chênes",7,39,0,77,1,222,2,348,593
46008,"Provencher/Provencher"," 58","Île des Chênes",2,33,0,54,1,144,0,234,430
46008,"Provencher/Provencher"," 59","Lorette",3,25,4,78,1,151,1,263,423
46008,"Provencher/Provencher"," 60A","Lorette",9,26,0,111,4,189,0,339,638
46008,"Provencher/Provencher"," 60B","Lorette",11,25,3,92,4,222,2,359,639
46008,"Provencher/Provencher"," 61","Lorette",14,19,3,76,1,101,1,215,384
46008,"Provencher/Provencher"," 62","Lorette",2,6,0,37,3,66,0,114,237
46008,"Provencher/Provencher"," 63","Lorette",Void/Supprimé,,,,,,,,
46008,"Provencher/Provencher"," 64","Lorette",3,6,0,45,0,94,0,148,259
46008,"Provencher/Provencher"," 65","Rosewood",11,15,0,71,3,165,0,265,499
46008,"Provencher/Provencher"," 66","Lorette",13,24,2,84,7,179,1,310,488
46008,"Provencher/Provencher"," 67A","Landmark",10,4,3,36,2,161,1,217,366
46008,"Provencher/Provencher"," 67B","Landmark",7,9,0,25,1,179,2,223,379
46008,"Provencher/Provencher"," 68","Taché",18,18,1,43,2,189,1,272,438
46008,"Provencher/Provencher"," 69","Linden",1,5,0,22,5,90,0,123,220
46008,"Provencher/Provencher"," 70","Ste. Anne",4,11,1,27,5,100,0,148,397
46008,"Provencher/Provencher"," 71","Ste. Anne",2,12,3,43,0,60,0,120,242
46008,"Provencher/Provencher"," 72","Ste. Anne",9,38,2,91,4,154,1,299,564
46008,"Provencher/Provencher"," 73","Ste. Anne",7,33,1,62,3,101,4,211,427
46008,"Provencher/Provencher"," 74","Ste. Anne",4,18,0,40,2,60,0,124,206
46008,"Provencher/Provencher"," 75A","Ste-Geneviève",9,22,0,74,3,130,0,238,429
46008,"Provencher/Provencher"," 75B","Ste-Geneviève",7,25,2,73,4,117,0,228,474
46008,"Provencher/Provencher"," 76","Paradise Village",2,25,0,97,0,238,2,364,472
46008,"Provencher/Provencher"," 77","Ste. Anne",15,16,1,71,1,146,1,251,401
46008,"Provencher/Provencher"," 78","Richer",10,18,0,59,4,161,2,254,580
46008,"Provencher/Provencher"," 79","Ross",7,7,1,46,1,90,0,152,286
46008,"Provencher/Provencher"," 80","Sperling",1,1,0,24,1,73,0,100,178
46008,"Provencher/Provencher"," 81","Rosenort",0,5,1,4,5,139,0,154,261
46008,"Provencher/Provencher"," 82","Rosenort",5,2,1,12,6,243,3,272,536
46008,"Provencher/Provencher"," 83","Aubigny",3,2,0,19,0,49,1,74,108
46008,"Provencher/Provencher"," 84","Morris",7,12,0,22,2,159,1,203,390
46008,"Provencher/Provencher"," 85","Lowe Farm",5,6,1,22,19,176,4,233,386
46008,"Provencher/Provencher"," 86","Morris",13,12,2,65,3,153,0,248,385
46008,"Provencher/Provencher"," 87","Morris",5,10,1,22,1,117,0,156,271
46008,"Provencher/Provencher"," 88","Morris",2,6,0,20,2,138,1,169,306
46008,"Provencher/Provencher"," 89","St. Jean Baptiste",5,3,0,20,1,59,1,89,167
46008,"Provencher/Provencher"," 90","St. Jean Baptiste",7,18,1,28,5,131,3,193,342
46008,"Provencher/Provencher"," 91A","Roseau River Reserve",2,8,0,26,1,6,0,43,262
46008,"Provencher/Provencher"," 91B","Roseau River Reserve",2,4,0,19,2,8,0,35,40
46008,"Provencher/Provencher"," 92","Letellier",5,23,2,37,2,107,1,177,315
46008,"Provencher/Provencher"," 93","Emerson",6,15,3,32,0,138,0,194,314
46008,"Provencher/Provencher"," 94","Emerson",7,7,0,28,2,143,0,187,260
46008,"Provencher/Provencher"," 95","Dominion City",5,9,0,25,0,219,0,258,495
46008,"Provencher/Provencher"," 96","Dufrost",7,9,1,15,0,66,0,98,145
46008,"Provencher/Provencher"," 97","Rat River Settlement",10,28,0,48,0,113,0,199,499
46008,"Provencher/Provencher"," 98","Otterburne",12,25,0,37,1,147,0,222,338
46008,"Provencher/Provencher"," 99","St-Pierre-Jolys",11,40,4,64,2,101,0,222,413
46008,"Provencher/Provencher"," 100","St-Pierre-Jolys",5,31,3,53,3,114,0,209,329
46008,"Provencher/Provencher"," 101","St. Malo",6,12,0,71,3,137,0,229,399
46008,"Provencher/Provencher"," 102","St. Malo",6,32,3,59,7,175,0,282,505
46008,"Provencher/Provencher"," 103","St. Malo",3,14,0,32,1,108,1,159,269
46008,"Provencher/Provencher"," 104","Ridgeville",5,3,0,17,2,99,0,126,203
46008,"Provencher/Provencher"," 105","Rosa",5,5,0,34,2,116,0,162,257
46008,"Provencher/Provencher"," 106","Stuartburn",7,2,0,17,1,141,3,171,273
46008,"Provencher/Provencher"," 107","Tolstoi",2,8,1,24,6,98,0,139,243
46008,"Provencher/Provencher"," 108","Vita",1,10,0,33,1,135,1,181,273
46008,"Provencher/Provencher"," 109","Vita",1,12,0,28,1,88,1,131,217
46008,"Provencher/Provencher"," 110","Zhoda",1,4,1,18,1,74,0,99,177
46008,"Provencher/Provencher"," 111","Pansy",9,3,2,9,1,113,1,138,209
46008,"Provencher/Provencher"," 112","Barkfield",5,9,3,10,8,231,1,267,375
46008,"Provencher/Provencher"," 113","Grunthal",9,10,2,17,6,277,1,322,646
46008,"Provencher/Provencher"," 114","Grunthal",1,5,1,12,2,142,1,164,282
46008,"Provencher/Provencher"," 115","Grunthal",3,4,0,16,4,225,0,252,386
46008,"Provencher/Provencher"," 116","Hochstadt",9,7,1,8,8,201,0,234,436
46008,"Provencher/Provencher"," 117","Kleefeld",13,9,0,22,6,315,0,365,587
46008,"Provencher/Provencher"," 118","Randolph",7,11,1,14,4,135,2,174,303
46008,"Provencher/Provencher"," 119","Mitchell",5,6,0,30,10,246,0,297,543
46008,"Provencher/Provencher"," 120","Mitchell",4,19,0,18,6,211,1,259,432
46008,"Provencher/Provencher"," 121","Hanover",1,7,0,13,6,196,0,223,366
46008,"Provencher/Provencher"," 122","Bristol",1,7,2,11,1,175,0,197,328
46008,"Provencher/Provencher"," 123","Sarto",10,4,0,22,3,161,1,201,346
46008,"Provencher/Provencher"," 124","Sarto",13,4,1,21,0,118,0,157,261
46008,"Provencher/Provencher"," 125","Friedensfeld",7,8,0,19,6,164,1,205,333
46008,"Provencher/Provencher"," 126A","Steinbach",12,7,0,30,3,211,0,263,574
46008,"Provencher/Provencher"," 126B","Steinbach",11,16,0,21,4,234,2,288,550
46008,"Provencher/Provencher"," 127","Blumenort",3,5,0,9,8,279,0,304,441
46008,"Provencher/Provencher"," 128","Blumenort",2,5,2,14,4,294,0,321,624
46008,"Provencher/Provencher"," 129","Giroux",10,12,2,54,3,141,0,222,365
46008,"Provencher/Provencher"," 130","La Broquerie",16,52,4,48,5,219,6,350,619
46008,"Provencher/Provencher"," 131","La Broquerie",11,68,2,62,3,173,4,323,583
46008,"Provencher/Provencher"," 132","Marchand",9,10,1,55,4,165,0,244,404
46008,"Provencher/Provencher"," 133A","Steinbach",8,19,2,21,3,157,2,212,450
46008,"Provencher/Provencher"," 133B","Steinbach",8,4,2,18,3,147,1,183,443
46008,"Provencher/Provencher"," 134","Steinbach",9,6,4,27,5,168,1,220,461
46008,"Provencher/Provencher"," 135","Steinbach",1,6,1,15,2,113,1,139,321
46008,"Provencher/Provencher"," 136","Steinbach",5,14,3,21,1,150,1,195,427
46008,"Provencher/Provencher"," 137","Steinbach",7,13,1,38,4,290,1,354,700
46008,"Provencher/Provencher"," 137-1","Steinbach",8,15,0,26,2,221,1,273,474
46008,"Provencher/Provencher"," 138","Steinbach",6,5,2,28,6,135,2,184,324
46008,"Provencher/Provencher"," 139","Steinbach",3,5,0,22,6,94,1,131,250
46008,"Provencher/Provencher"," 140","Steinbach",4,12,0,22,6,128,2,174,345
46008,"Provencher/Provencher"," 141","Steinbach",4,16,2,14,3,128,2,169,327
46008,"Provencher/Provencher"," 142","Steinbach",4,19,2,23,3,164,0,215,417
46008,"Provencher/Provencher"," 143","Steinbach",4,5,0,8,2,112,1,132,247
46008,"Provencher/Provencher"," 144","Steinbach",4,2,1,11,4,121,0,143,367
46008,"Provencher/Provencher"," 145","Steinbach",6,15,1,19,6,119,3,169,381
46008,"Provencher/Provencher"," 146","Steinbach",5,6,0,42,3,262,1,319,788
46008,"Provencher/Provencher"," 147","Steinbach",3,12,3,20,11,186,0,235,485
46008,"Provencher/Provencher"," 148","Steinbach",5,17,4,51,2,264,0,343,608
46008,"Provencher/Provencher"," 149","Woodridge",6,29,2,40,0,120,1,198,347
46008,"Provencher/Provencher"," 150","Sundown",4,6,0,15,3,78,0,106,180
46008,"Provencher/Provencher"," 151","Piney",4,9,0,17,0,98,0,128,252
46008,"Provencher/Provencher"," 152","Vassar",2,13,1,34,4,69,0,123,233
46008,"Provencher/Provencher"," 153","Sprague",1,4,0,21,1,121,3,151,248
46008,"Provencher/Provencher"," 154","Middleboro",3,8,0,18,2,78,0,109,193
46008,"Provencher/Provencher"," 500","Mobile poll/Bureau itinérant",0,11,0,7,1,35,4,58,105
46008,"Provencher/Provencher"," 501","Mobile poll/Bureau itinérant",3,4,0,1,1,43,4,56,151
46008,"Provencher/Provencher"," 502","Mobile poll/Bureau itinérant",1,3,0,4,2,60,0,70,130
46008,"Provencher/Provencher"," 503","Mobile poll/Bureau itinérant",0,6,0,14,2,26,1,49,73
46008,"Provencher/Provencher"," 504","Mobile poll/Bureau itinérant",2,7,2,15,3,36,0,65,131
46008,"Provencher/Provencher"," 505","Mobile poll/Bureau itinérant",0,28,2,19,4,33,4,90,193
46008,"Provencher/Provencher"," 506","Mobile poll/Bureau itinérant",1,10,0,7,6,194,4,222,347
46008,"Provencher/Provencher"," 507","Mobile poll/Bureau itinérant",1,4,1,9,3,58,0,76,150
46008,"Provencher/Provencher"," 508","Mobile poll/Bureau itinérant",0,35,1,27,0,37,1,101,193
46008,"Provencher/Provencher"," 600","Powerview--Pine Falls",4,6,0,15,0,118,0,143,
46008,"Provencher/Provencher"," 601","Pinawa--Lac du Bonnet",12,39,4,76,4,262,2,399,
46008,"Provencher/Provencher"," 602","Whitemouth--Reynolds",5,3,0,22,0,33,1,64,
46008,"Provencher/Provencher"," 603","Oakbank--Springfield",13,23,2,79,5,297,0,419,
46008,"Provencher/Provencher"," 604","Niverville--Ritchot",11,24,2,36,6,209,0,288,
46008,"Provencher/Provencher"," 605","Taché--Île des Chênes",9,46,3,89,11,203,1,362,
46008,"Provencher/Provencher"," 606","Ste. Anne",11,30,2,47,4,138,1,233,
46008,"Provencher/Provencher"," 607","Morris--Montcalm",6,12,0,16,3,143,0,180,
46008,"Provencher/Provencher"," 608","De Salaberry--Franklin",7,26,0,20,2,110,0,165,
46008,"Provencher/Provencher"," 609","Hanover--La Broquerie",8,25,0,21,7,236,0,297,
46008,"Provencher/Provencher"," 610","Steinbach",8,32,1,34,7,518,6,606,
46008,"Provencher/Provencher"," 611","Piney",0,9,0,9,2,42,0,62,
46008,"Provencher/Provencher",,Group 1/Groupe 1,5,23,0,9,3,37,5,82,130
46008,"Provencher/Provencher",,Group 2/Groupe 2,11,40,4,41,4,281,7,388,
