Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lysane Blanchette-Lamothe,Agop Evereklian,Nicolas Jolicoeur,Jonathan Lumer,Bernard Patry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 1","L'Île-Bizard",62,62,4,4,62,1,195,366
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 2","L'Île-Bizard",87,34,26,6,40,1,194,370
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 3","L'Île-Bizard",133,47,27,7,70,0,284,544
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 4","L'Île-Bizard",98,52,29,5,67,2,253,407
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 4-1","L'Île-Bizard",105,43,9,7,65,0,229,428
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 5","L'Île-Bizard",104,33,24,9,68,4,242,423
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 6","L'Île-Bizard",113,34,22,9,51,0,229,368
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 7","L'Île-Bizard",88,32,36,10,63,1,230,414
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 8","L'Île-Bizard",112,31,37,9,39,2,230,390
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 8-1","L'Île-Bizard",59,16,9,5,32,0,121,213
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 9","L'Île-Bizard",90,29,33,5,58,0,215,431
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 10","L'Île-Bizard",128,45,27,19,49,2,270,427
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 11","L'Île-Bizard",141,29,43,10,55,1,279,474
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 12A","L'Île-Bizard",98,43,16,11,80,1,249,430
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 12B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,25
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 13","L'Île-Bizard",96,39,33,7,71,3,249,418
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 14","L'Île-Bizard",123,70,20,4,79,1,297,509
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 15","L'Île-Bizard",120,31,22,7,51,1,232,394
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 16","L'Île-Bizard",108,31,23,5,53,1,221,457
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 17","L'Île-Bizard",114,21,34,14,41,2,226,490
