Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,France Bonsant,Gary Caldwell,Sandrine Gressard Bélanger,William Hogg,Jean Rousseau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24017,"Compton--Stanstead/Compton--Stanstead"," 1","Saint-Gérard",51,4,52,19,116,3,245,470
24017,"Compton--Stanstead/Compton--Stanstead"," 2","Weedon",56,3,40,11,83,2,195,478
24017,"Compton--Stanstead/Compton--Stanstead"," 3","Weedon",36,4,42,10,118,2,212,423
24017,"Compton--Stanstead/Compton--Stanstead"," 4","Weedon",43,8,21,10,84,7,173,338
24017,"Compton--Stanstead/Compton--Stanstead"," 5","Weedon",81,4,26,21,130,4,266,487
24017,"Compton--Stanstead/Compton--Stanstead"," 6","Lingwick",37,3,37,23,106,3,209,334
24017,"Compton--Stanstead/Compton--Stanstead"," 7","Hampden",50,7,20,12,57,1,147,297
24017,"Compton--Stanstead/Compton--Stanstead"," 8","Scotstown",54,4,21,24,74,1,178,331
24017,"Compton--Stanstead/Compton--Stanstead"," 9","Ditton",66,8,26,11,96,2,209,403
24017,"Compton--Stanstead/Compton--Stanstead"," 10","La Patrie",27,1,18,11,67,2,126,232
24017,"Compton--Stanstead/Compton--Stanstead"," 11","Chartierville",48,3,31,15,84,0,181,293
24017,"Compton--Stanstead/Compton--Stanstead"," 12","Dudswell",26,3,10,14,79,1,133,235
24017,"Compton--Stanstead/Compton--Stanstead"," 13","Dudswell",76,1,24,16,149,1,267,396
24017,"Compton--Stanstead/Compton--Stanstead"," 14","Dudswell",60,1,24,11,104,0,200,341
24017,"Compton--Stanstead/Compton--Stanstead"," 15","Dudswell",62,7,26,13,79,0,187,364
24017,"Compton--Stanstead/Compton--Stanstead"," 16","Bury",61,10,24,24,119,4,242,503
24017,"Compton--Stanstead/Compton--Stanstead"," 17","Bury",29,6,43,34,105,3,220,463
24017,"Compton--Stanstead/Compton--Stanstead"," 18","Westbury",63,4,21,19,75,2,184,376
24017,"Compton--Stanstead/Compton--Stanstead"," 19","Westbury",52,5,24,13,104,0,198,434
24017,"Compton--Stanstead/Compton--Stanstead"," 20","East Angus",61,4,27,4,62,1,159,411
24017,"Compton--Stanstead/Compton--Stanstead"," 21","East Angus",34,1,16,15,93,4,163,336
24017,"Compton--Stanstead/Compton--Stanstead"," 22","East Angus",39,2,18,8,53,4,124,335
24017,"Compton--Stanstead/Compton--Stanstead"," 23","East Angus",43,0,14,10,62,1,130,313
24017,"Compton--Stanstead/Compton--Stanstead"," 24","East Angus",49,2,13,8,80,1,153,424
24017,"Compton--Stanstead/Compton--Stanstead"," 25","East Angus",42,4,10,12,56,0,124,364
24017,"Compton--Stanstead/Compton--Stanstead"," 26","East Angus",47,3,15,7,87,0,159,356
24017,"Compton--Stanstead/Compton--Stanstead"," 27","East Angus",27,1,15,9,59,1,112,274
24017,"Compton--Stanstead/Compton--Stanstead"," 28","Ascot Corner",100,4,25,12,118,7,266,487
24017,"Compton--Stanstead/Compton--Stanstead"," 29","Ascot Corner",82,4,25,11,143,4,269,531
24017,"Compton--Stanstead/Compton--Stanstead"," 30","Ascot Corner",100,3,36,15,145,7,306,592
24017,"Compton--Stanstead/Compton--Stanstead"," 31","Ascot Corner",83,7,23,20,140,4,277,548
24017,"Compton--Stanstead/Compton--Stanstead"," 32","Stoke",86,7,24,12,143,6,278,450
24017,"Compton--Stanstead/Compton--Stanstead"," 33","Stoke",65,9,22,22,155,5,278,446
24017,"Compton--Stanstead/Compton--Stanstead"," 34","Stoke",50,3,22,6,97,2,180,313
24017,"Compton--Stanstead/Compton--Stanstead"," 35","Stoke",Void/Supprimé,,,,,,,
24017,"Compton--Stanstead/Compton--Stanstead"," 36","Stoke",55,9,4,7,111,2,188,342
24017,"Compton--Stanstead/Compton--Stanstead"," 37","Stoke",64,6,30,31,143,3,277,513
