Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adriane Carr,Jennifer Clarke,John Clarke,Hedy Fry,Michael Hill,Michael Huenefeld,Travis McCrea,Karen Shillington,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"Vancouver Centre/Vancouver-Centre"," 135","Vancouver",27,54,2,64,0,3,0,57,1,208,417
59029,"Vancouver Centre/Vancouver-Centre"," 135-1","Vancouver",25,64,1,63,0,0,0,32,0,185,346
59029,"Vancouver Centre/Vancouver-Centre"," 136","Vancouver",34,67,0,53,0,0,0,33,0,187,389
59029,"Vancouver Centre/Vancouver-Centre"," 137","Vancouver",39,56,1,57,0,1,0,31,0,185,356
59029,"Vancouver Centre/Vancouver-Centre"," 138","Vancouver",33,60,0,69,0,0,2,23,0,187,349
59029,"Vancouver Centre/Vancouver-Centre"," 139","Vancouver",40,58,0,43,1,2,0,44,0,188,323
59029,"Vancouver Centre/Vancouver-Centre"," 140","Vancouver",45,86,0,52,1,1,1,51,1,238,436
59029,"Vancouver Centre/Vancouver-Centre"," 141","Vancouver",40,73,0,51,1,0,1,55,0,221,417
59029,"Vancouver Centre/Vancouver-Centre"," 142","Vancouver",42,55,0,67,0,1,3,70,1,239,415
59029,"Vancouver Centre/Vancouver-Centre"," 143","Vancouver",48,61,2,79,0,0,0,86,0,276,445
59029,"Vancouver Centre/Vancouver-Centre"," 144","Vancouver",31,67,2,74,1,1,2,62,0,240,419
59029,"Vancouver Centre/Vancouver-Centre"," 145","Vancouver",56,68,0,83,1,2,0,70,2,282,567
59029,"Vancouver Centre/Vancouver-Centre"," 146","Vancouver",50,66,1,90,0,0,1,71,0,279,488
59029,"Vancouver Centre/Vancouver-Centre"," 147","Vancouver",31,44,0,61,0,1,1,46,0,184,364
59029,"Vancouver Centre/Vancouver-Centre"," 148","Vancouver",41,51,0,69,0,1,2,51,1,216,418
59029,"Vancouver Centre/Vancouver-Centre"," 149","Vancouver",30,77,2,77,0,4,1,52,0,243,399
59029,"Vancouver Centre/Vancouver-Centre"," 150","Vancouver",37,31,0,80,0,0,0,71,0,219,373
59029,"Vancouver Centre/Vancouver-Centre"," 151","Vancouver",46,43,2,80,0,1,3,87,1,263,523
59029,"Vancouver Centre/Vancouver-Centre"," 152","Vancouver",62,51,1,64,0,0,2,61,0,241,514
59029,"Vancouver Centre/Vancouver-Centre"," 153","Vancouver",38,44,0,62,0,1,1,71,2,219,436
59029,"Vancouver Centre/Vancouver-Centre"," 154","Vancouver",50,52,0,57,0,0,3,84,0,246,475
59029,"Vancouver Centre/Vancouver-Centre"," 155","Vancouver",39,56,1,87,0,1,2,74,2,262,496
59029,"Vancouver Centre/Vancouver-Centre"," 156","Vancouver",48,93,2,82,1,1,0,84,1,312,567
59029,"Vancouver Centre/Vancouver-Centre"," 157","Vancouver",59,50,3,69,0,0,1,67,1,250,484
59029,"Vancouver Centre/Vancouver-Centre"," 158","Vancouver",48,50,1,72,1,0,1,77,0,250,570
59029,"Vancouver Centre/Vancouver-Centre"," 159","Vancouver",37,49,1,53,0,1,1,70,0,212,436
59029,"Vancouver Centre/Vancouver-Centre"," 160","Vancouver",46,59,1,65,0,0,2,80,0,253,472
59029,"Vancouver Centre/Vancouver-Centre"," 161","Vancouver",62,77,1,90,0,2,1,89,1,323,556
59029,"Vancouver Centre/Vancouver-Centre"," 162","Vancouver",57,50,0,85,0,0,0,94,1,287,433
59029,"Vancouver Centre/Vancouver-Centre"," 163","Vancouver",64,52,2,58,0,0,2,87,0,265,369
59029,"Vancouver Centre/Vancouver-Centre"," 164","Vancouver",43,35,1,75,0,0,0,63,0,217,363
59029,"Vancouver Centre/Vancouver-Centre"," 165","Vancouver",33,57,1,55,0,1,1,39,0,187,355
59029,"Vancouver Centre/Vancouver-Centre"," 166","Vancouver",21,94,0,52,0,1,0,35,0,203,367
59029,"Vancouver Centre/Vancouver-Centre"," 167","Vancouver",18,56,2,63,0,1,0,48,0,188,362
59029,"Vancouver Centre/Vancouver-Centre"," 168","Vancouver",24,64,2,64,0,2,1,57,1,215,426
59029,"Vancouver Centre/Vancouver-Centre"," 169","Vancouver",48,65,3,71,0,0,1,57,0,245,539
59029,"Vancouver Centre/Vancouver-Centre"," 169-1","Vancouver",30,53,0,65,0,2,0,38,0,188,408
59029,"Vancouver Centre/Vancouver-Centre"," 170","Vancouver",29,32,0,59,0,0,1,71,0,192,392
59029,"Vancouver Centre/Vancouver-Centre"," 171","Vancouver",47,48,0,57,0,0,0,60,0,212,431
59029,"Vancouver Centre/Vancouver-Centre"," 172","Vancouver",36,44,3,54,0,0,1,55,0,193,409
59029,"Vancouver Centre/Vancouver-Centre"," 173","Vancouver",25,66,1,59,0,1,0,28,0,180,351
59029,"Vancouver Centre/Vancouver-Centre"," 174","Vancouver",41,100,3,75,0,1,0,56,0,276,542
59029,"Vancouver Centre/Vancouver-Centre"," 175","Vancouver",41,77,0,92,0,0,1,47,0,258,522
59029,"Vancouver Centre/Vancouver-Centre"," 176","Vancouver",36,61,0,52,0,2,0,48,0,199,422
59029,"Vancouver Centre/Vancouver-Centre"," 177","Vancouver",29,33,0,35,1,1,1,59,0,159,420
59029,"Vancouver Centre/Vancouver-Centre"," 178","Vancouver",21,22,1,36,0,1,0,38,0,119,248
59029,"Vancouver Centre/Vancouver-Centre"," 178-1","Vancouver",34,82,2,65,0,1,1,69,0,254,545
59029,"Vancouver Centre/Vancouver-Centre"," 179","Vancouver",48,49,1,69,0,1,0,58,0,226,404
59029,"Vancouver Centre/Vancouver-Centre"," 180","Vancouver",42,73,2,101,0,0,1,69,0,288,549
59029,"Vancouver Centre/Vancouver-Centre"," 181","Vancouver",41,53,2,71,0,1,1,63,0,232,424
