Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Armstrong,Jason Blanch,Jim Burrows,Jim Hnatiuk,Wendy Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 1","Fort Lawrence",59,6,8,1,11,0,85,162
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 2","Tyndal Road",92,11,20,1,33,2,159,291
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 2-1","Tyndal Road",85,16,20,0,38,0,159,332
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 3","Hastings",73,12,19,0,20,0,124,227
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 4","Brookdale",83,12,17,1,29,1,143,237
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 5","Hastings",93,19,17,0,42,3,174,332
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 6","West Amherst",113,20,37,2,39,0,211,411
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 7","Lower Cove--Joggins",180,9,23,1,40,0,253,459
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 8","Joggins",Void/Supprimé,,,,,,,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 9","River Hebert",131,6,31,1,36,5,210,378
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 10","Strathcona",105,13,17,2,28,0,165,247
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 11","Maccan",143,16,27,3,54,0,243,433
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 12","Nappan",119,11,18,0,35,0,183,365
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 13","Brookdale",89,9,14,3,36,1,152,237
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 14","Springhill Junction",41,0,4,0,12,0,57,129
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 15","Athol",54,5,12,0,9,0,80,167
