Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Garth Evans,Paul Forseth,Peter Julian,Carrie McLaren,Tyler Pierce,Joseph Theriault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 1","Burnaby",16,70,70,8,0,1,1,166,467
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 2","Burnaby",10,48,85,4,1,0,0,148,375
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 3","Burnaby",8,53,76,1,2,0,0,140,434
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 4","Burnaby",11,40,50,2,1,0,0,104,345
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 5","Burnaby",27,99,57,5,1,0,0,189,446
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 6","Burnaby",26,40,85,5,0,1,0,157,425
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 7","Burnaby",14,70,60,5,1,0,0,150,412
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 8","Burnaby",14,62,71,5,1,0,0,153,472
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 9","Burnaby",20,57,68,5,1,1,0,152,497
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 10","Burnaby",Void/Supprimé,,,,,,,,
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 11","Burnaby",14,72,101,3,0,0,0,190,427
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 12","Burnaby",21,47,101,10,1,1,0,181,475
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 13","Burnaby",14,40,85,9,0,0,1,149,414
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 14","Burnaby",Void/Supprimé,,,,,,,,
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 15","Burnaby",23,35,93,8,0,0,0,159,533
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 16","Burnaby",Void/Supprimé,,,,,,,,
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 17","Burnaby",Void/Supprimé,,,,,,,,
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 18","Burnaby",11,59,117,5,0,1,2,195,531
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 19","Burnaby",9,55,122,17,3,0,0,206,508
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 19-1","Burnaby",Merged with No. 19/Fusionné avec le nº 19,,,,,,,,46
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 20","Burnaby",Void/Supprimé,,,,,,,,
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 21","Burnaby",18,50,61,3,1,0,2,135,438
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 21-1","Burnaby",10,31,26,0,0,0,0,67,443
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 22A","Burnaby",6,21,23,0,1,0,0,51,264
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 22B","Burnaby",6,23,13,1,0,0,0,43,293
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 23","Burnaby",21,114,112,12,0,0,0,259,398
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 24","Burnaby",41,126,106,12,1,0,1,287,513
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 25","Burnaby",26,87,74,8,0,0,2,197,466
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 26","Burnaby",17,54,105,7,0,1,0,184,473
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 27","Burnaby",17,117,164,12,0,0,0,310,541
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 28","Burnaby",12,86,87,13,0,1,2,201,409
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 29","Burnaby",38,78,133,6,0,0,0,255,549
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 30","Burnaby",25,84,100,4,2,2,0,217,445
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 31","Burnaby",38,77,118,14,0,1,0,248,442
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 32","Burnaby",48,101,97,7,0,1,1,255,492
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 33","Burnaby",27,141,101,7,0,0,1,277,479
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 34","Burnaby",20,84,77,8,0,0,1,190,371
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 35","Burnaby",26,71,95,9,0,0,1,202,396
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 36","Burnaby",24,48,95,6,0,0,0,173,373
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 37","Burnaby",16,81,67,12,0,1,1,178,404
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 38","Burnaby",Void/Supprimé,,,,,,,,
59003,"Burnaby--New Westminster/Burnaby--New Westminster"," 38-1","Burnaby",16,84,64,11,0,0,0,175,331
