Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norris Barens,Dona Cadman,Bernadette Keenan,Kevin Pielak,Shinder Purewal,Jasbir Sandhu,Jamie Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Surrey North/Surrey-Nord"," 1","Surrey",5,33,8,2,10,51,4,0,113,309
59028,"Surrey North/Surrey-Nord"," 2","Surrey",2,32,15,1,8,45,4,1,108,269
59028,"Surrey North/Surrey-Nord"," 3","Surrey",4,56,16,0,20,57,2,2,157,359
59028,"Surrey North/Surrey-Nord"," 4","Surrey",4,66,8,0,18,62,1,0,159,443
59028,"Surrey North/Surrey-Nord"," 5","Surrey",0,91,12,2,20,66,7,0,198,459
59028,"Surrey North/Surrey-Nord"," 6","Surrey",1,70,11,1,24,84,4,0,195,485
59028,"Surrey North/Surrey-Nord"," 7","Surrey",0,58,11,3,8,44,1,0,125,331
59028,"Surrey North/Surrey-Nord"," 8","Surrey",2,50,10,1,32,52,1,3,151,323
59028,"Surrey North/Surrey-Nord"," 9","Surrey",1,51,4,1,32,83,0,1,173,359
59028,"Surrey North/Surrey-Nord"," 10","Surrey",1,49,6,0,15,91,4,0,166,399
59028,"Surrey North/Surrey-Nord"," 11","Surrey",1,65,11,1,38,99,0,2,217,507
59028,"Surrey North/Surrey-Nord"," 12","Surrey",0,73,9,3,31,91,11,2,220,457
59028,"Surrey North/Surrey-Nord"," 13","Surrey",2,64,1,7,27,81,0,0,182,400
59028,"Surrey North/Surrey-Nord"," 14A","Surrey",0,60,10,0,19,62,3,1,155,447
59028,"Surrey North/Surrey-Nord"," 14B","Surrey",1,54,8,2,14,53,4,3,139,382
59028,"Surrey North/Surrey-Nord"," 15A","Surrey",1,55,8,2,9,40,2,0,117,337
59028,"Surrey North/Surrey-Nord"," 15B","Surrey",0,47,2,0,7,30,0,0,86,279
59028,"Surrey North/Surrey-Nord"," 16","Surrey",1,36,4,0,12,40,2,2,97,317
59028,"Surrey North/Surrey-Nord"," 17A","Surrey",1,44,8,0,5,38,2,1,99,297
59028,"Surrey North/Surrey-Nord"," 17B","Surrey",0,31,5,2,4,34,0,0,76,278
59028,"Surrey North/Surrey-Nord"," 18A","Surrey",1,44,3,1,7,51,1,0,108,312
59028,"Surrey North/Surrey-Nord"," 18B","Surrey",1,39,14,2,11,58,4,0,129,352
59028,"Surrey North/Surrey-Nord"," 19","Surrey",0,80,10,10,18,70,4,2,194,345
59028,"Surrey North/Surrey-Nord"," 20","Surrey",0,44,8,1,13,89,3,0,158,377
59028,"Surrey North/Surrey-Nord"," 21","Surrey",2,68,8,3,19,60,3,1,164,323
59028,"Surrey North/Surrey-Nord"," 22A","Surrey",1,67,5,3,22,59,2,1,160,298
59028,"Surrey North/Surrey-Nord"," 22B","Surrey",0,49,8,1,12,52,1,0,123,282
59028,"Surrey North/Surrey-Nord"," 23","Surrey",0,88,10,4,20,99,3,3,227,428
59028,"Surrey North/Surrey-Nord"," 24A","Surrey",1,36,4,0,17,69,2,3,132,272
59028,"Surrey North/Surrey-Nord"," 24B","Surrey",0,81,5,0,11,62,3,0,162,293
59028,"Surrey North/Surrey-Nord"," 25","Surrey",1,136,11,2,25,101,3,2,281,573
59028,"Surrey North/Surrey-Nord"," 26","Surrey",0,100,8,0,6,82,8,2,206,379
59028,"Surrey North/Surrey-Nord"," 27","Surrey",1,91,13,1,24,100,4,1,235,412
59028,"Surrey North/Surrey-Nord"," 28","Surrey",3,83,3,0,20,59,8,0,176,369
59028,"Surrey North/Surrey-Nord"," 29","Surrey",1,96,8,5,12,70,2,0,194,433
59028,"Surrey North/Surrey-Nord"," 30","Surrey",0,61,7,2,5,75,3,0,153,289
59028,"Surrey North/Surrey-Nord"," 31","Surrey",2,69,8,1,17,104,2,1,204,555
59028,"Surrey North/Surrey-Nord"," 32","Surrey",0,111,11,3,22,81,3,1,232,474
59028,"Surrey North/Surrey-Nord"," 33","Surrey",0,55,3,2,9,73,1,1,144,334
59028,"Surrey North/Surrey-Nord"," 34","Surrey",2,61,3,0,16,65,2,1,150,342
59028,"Surrey North/Surrey-Nord"," 35","Surrey",1,120,6,3,22,66,3,1,222,432
59028,"Surrey North/Surrey-Nord"," 36","Surrey",2,119,10,0,12,84,0,2,229,420
59028,"Surrey North/Surrey-Nord"," 37","Surrey",3,93,5,2,10,96,6,0,215,439
59028,"Surrey North/Surrey-Nord"," 38","Surrey",4,129,9,6,18,99,6,2,273,516
59028,"Surrey North/Surrey-Nord"," 39","Surrey",2,98,10,4,12,95,3,1,225,409
59028,"Surrey North/Surrey-Nord"," 40","Surrey",1,133,9,1,10,96,4,0,254,434
59028,"Surrey North/Surrey-Nord"," 41","Surrey",Void/Supprimé,,,,,,,,,
59028,"Surrey North/Surrey-Nord"," 42","Surrey",4,86,6,3,15,60,4,0,178,478
59028,"Surrey North/Surrey-Nord"," 43A","Surrey",0,52,3,1,6,45,2,0,109,284
59028,"Surrey North/Surrey-Nord"," 43B","Surrey",0,40,3,0,13,33,1,0,90,292
59028,"Surrey North/Surrey-Nord"," 44","Surrey",3,68,8,4,26,94,2,0,205,444
59028,"Surrey North/Surrey-Nord"," 45","Surrey",3,85,11,7,8,101,3,1,219,476
59028,"Surrey North/Surrey-Nord"," 46","Surrey",0,69,13,1,11,84,2,2,182,411
59028,"Surrey North/Surrey-Nord"," 47","Surrey",2,86,7,1,11,101,3,2,213,524
59028,"Surrey North/Surrey-Nord"," 48","Surrey",1,87,6,5,22,88,10,0,219,430
59028,"Surrey North/Surrey-Nord"," 49","Surrey",2,71,6,1,22,86,5,0,193,442
59028,"Surrey North/Surrey-Nord"," 50A","Surrey",1,40,11,0,5,38,2,0,97,293
59028,"Surrey North/Surrey-Nord"," 50B","Surrey",2,53,6,1,7,47,0,3,119,302
59028,"Surrey North/Surrey-Nord"," 51","Surrey",5,50,5,2,5,50,3,0,120,293
59028,"Surrey North/Surrey-Nord"," 52","Surrey",0,108,10,2,10,83,2,0,215,518
59028,"Surrey North/Surrey-Nord"," 53","Surrey",3,57,7,1,6,70,5,1,150,370
59028,"Surrey North/Surrey-Nord"," 54","Surrey",2,59,11,0,10,71,4,1,158,361
59028,"Surrey North/Surrey-Nord"," 55","Surrey",1,48,4,0,8,38,1,3,103,276
59028,"Surrey North/Surrey-Nord"," 56","Surrey",0,46,4,1,2,37,1,0,91,309
59028,"Surrey North/Surrey-Nord"," 57","Surrey",1,40,1,1,4,36,1,0,84,268
59028,"Surrey North/Surrey-Nord"," 58","Surrey",1,101,9,0,4,69,0,0,184,446
59028,"Surrey North/Surrey-Nord"," 59A","Surrey",1,96,8,2,7,35,0,0,149,283
59028,"Surrey North/Surrey-Nord"," 59B","Surrey",4,60,5,0,13,44,5,3,134,308
59028,"Surrey North/Surrey-Nord"," 60","Surrey",1,85,6,1,14,70,2,4,183,399
59028,"Surrey North/Surrey-Nord"," 60-1A","Surrey",1,64,1,0,8,53,1,0,128,310
59028,"Surrey North/Surrey-Nord"," 60-1B","Surrey",1,62,5,1,10,37,0,2,118,317
59028,"Surrey North/Surrey-Nord"," 61","Surrey",4,131,10,3,14,55,0,0,217,421
59028,"Surrey North/Surrey-Nord"," 62","Surrey",2,95,6,1,31,69,3,0,207,408
59028,"Surrey North/Surrey-Nord"," 63","Surrey",1,67,14,1,41,56,1,2,183,484
59028,"Surrey North/Surrey-Nord"," 64A","Surrey",1,46,8,2,22,54,3,0,136,298
59028,"Surrey North/Surrey-Nord"," 64B","Surrey",0,57,6,0,33,57,1,0,154,277
59028,"Surrey North/Surrey-Nord"," 65","Surrey",2,89,9,2,22,66,2,0,192,296
59028,"Surrey North/Surrey-Nord"," 66","Surrey",1,73,4,1,24,72,1,1,177,337
59028,"Surrey North/Surrey-Nord"," 67","Surrey",0,75,9,2,11,86,2,4,189,398
59028,"Surrey North/Surrey-Nord"," 68","Surrey",0,99,3,0,24,96,1,2,225,486
59028,"Surrey North/Surrey-Nord"," 69","Surrey",1,114,7,0,24,90,7,0,243,541
59028,"Surrey North/Surrey-Nord"," 70","Surrey",4,63,7,2,5,71,6,2,160,329
59028,"Surrey North/Surrey-Nord"," 71","Surrey",3,71,14,2,21,85,6,0,202,381
59028,"Surrey North/Surrey-Nord"," 72","Surrey",0,87,9,1,21,93,4,0,215,363
59028,"Surrey North/Surrey-Nord"," 73","Surrey",1,50,12,1,22,93,2,0,181,368
59028,"Surrey North/Surrey-Nord"," 73-1","Surrey",1,53,8,0,23,95,2,3,185,423
59028,"Surrey North/Surrey-Nord"," 74","Surrey",2,77,6,0,62,92,0,2,241,537
59028,"Surrey North/Surrey-Nord"," 75","Surrey",0,55,2,0,67,99,0,3,226,488
59028,"Surrey North/Surrey-Nord"," 76","Surrey",1,52,5,1,61,81,2,1,204,548
59028,"Surrey North/Surrey-Nord"," 77","Surrey",1,60,4,0,64,98,3,1,231,496
59028,"Surrey North/Surrey-Nord"," 78","Surrey",2,95,18,1,45,66,6,1,234,443
59028,"Surrey North/Surrey-Nord"," 79","Surrey",1,49,3,1,82,82,2,4,224,462
