Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne R. Bennett,Gerry Byrne,Robin Blair Gosse,Shelley Senior,Trevor Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,1,Straitsview,3,95,0,29,27,1,155,196
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,2,Raleigh,3,69,1,16,16,0,105,214
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte, 2-1,Ship Cove,3,31,0,6,13,0,53,69
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,3,Griquet,0,39,1,4,17,0,61,135
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,4,St. Lunaire,0,147,1,15,60,0,223,486
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,5,Cook's Harbour,2,58,1,21,15,1,98,164
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte, 5-1,North Boat Harbour,0,14,0,3,2,0,19,31
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,6,St. Anthony,1,154,1,25,61,2,244,540
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,7,Great Brehat,0,37,0,1,10,0,48,57
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte, 7-1,St. Anthony Bight,0,36,1,7,30,0,74,118
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,8,St. Anthony,0,93,2,7,31,1,134,287
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,9,St. Anthony,5,63,0,18,31,0,117,274
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,10,St. Anthony,0,96,0,20,37,1,154,385
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,11,St. Anthony,1,115,0,23,51,1,191,467
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,12,Goose Cove East,4,82,0,7,19,0,112,129
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,13,Eddies Cove,1,66,0,21,23,1,112,174
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,14,Green Island Cove,0,76,0,14,9,0,99,154
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,15,Sandy Cove,2,71,1,12,13,0,99,201
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,16,Savage Cove,1,67,0,15,9,0,92,132
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,17,Flower's Cove,2,93,0,24,16,1,136,267
10003,Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,18,Deadmans Cove--Bear Cove,0,37,0,6,4,0,47,66
