Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kara Flannigan,Bryan Hayes,Skip Morrison,Terry Sheehan,Mike Taffarel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Sault Ste. Marie/Sault Ste. Marie"," 1","Montreal River Harbour",2,31,26,58,0,0,117,195
35092,"Sault Ste. Marie/Sault Ste. Marie"," 2","Searchmont",7,42,57,76,0,0,182,298
35092,"Sault Ste. Marie/Sault Ste. Marie"," 3","Jones Landing--Havilland",12,91,57,118,0,0,278,446
35092,"Sault Ste. Marie/Sault Ste. Marie"," 4","Karalash Corners",3,71,35,60,0,0,169,259
35092,"Sault Ste. Marie/Sault Ste. Marie"," 5","Goulais River",9,100,60,79,0,1,249,393
35092,"Sault Ste. Marie/Sault Ste. Marie"," 6","Goulais Bay 15A",0,51,46,68,0,0,165,269
35092,"Sault Ste. Marie/Sault Ste. Marie"," 7","Goulais River",8,114,87,88,0,0,297,508
35092,"Sault Ste. Marie/Sault Ste. Marie"," 8","Kirby's Corner",5,65,62,70,0,0,202,322
35092,"Sault Ste. Marie/Sault Ste. Marie"," 9","Heyden",7,41,76,61,2,1,188,445
35092,"Sault Ste. Marie/Sault Ste. Marie"," 10","Heyden--Island Lake",3,82,55,64,0,0,204,352
35092,"Sault Ste. Marie/Sault Ste. Marie"," 11","Heyden",5,67,50,55,0,2,179,323
35092,"Sault Ste. Marie/Sault Ste. Marie"," 12","Garden River 14",2,7,384,94,1,4,492,778
35092,"Sault Ste. Marie/Sault Ste. Marie"," 13","Sault Ste. Marie",8,79,30,74,0,1,192,315
35092,"Sault Ste. Marie/Sault Ste. Marie"," 14","Sault Ste. Marie",5,72,41,79,0,0,197,349
35092,"Sault Ste. Marie/Sault Ste. Marie"," 15","Sault Ste. Marie",3,96,42,95,0,1,237,363
35092,"Sault Ste. Marie/Sault Ste. Marie"," 16","Sault Ste. Marie",8,112,32,131,0,1,284,478
35092,"Sault Ste. Marie/Sault Ste. Marie"," 17","Sault Ste. Marie",3,86,40,113,0,0,242,377
35092,"Sault Ste. Marie/Sault Ste. Marie"," 18","Sault Ste. Marie",5,88,36,44,0,0,173,283
35092,"Sault Ste. Marie/Sault Ste. Marie"," 19","Sault Ste. Marie",4,83,51,92,0,2,232,355
35092,"Sault Ste. Marie/Sault Ste. Marie"," 20","Sault Ste. Marie",2,85,79,92,0,2,260,419
35092,"Sault Ste. Marie/Sault Ste. Marie"," 21","Sault Ste. Marie",1,68,40,113,0,3,225,325
35092,"Sault Ste. Marie/Sault Ste. Marie"," 22","Sault Ste. Marie",3,59,31,72,0,1,166,283
35092,"Sault Ste. Marie/Sault Ste. Marie"," 23","Sault Ste. Marie",5,94,53,165,0,3,320,515
35092,"Sault Ste. Marie/Sault Ste. Marie"," 24","Sault Ste. Marie",1,116,42,155,0,2,316,482
35092,"Sault Ste. Marie/Sault Ste. Marie"," 25","Sault Ste. Marie",4,84,35,129,0,0,252,407
35092,"Sault Ste. Marie/Sault Ste. Marie"," 26","Sault Ste. Marie",5,83,43,99,0,4,234,412
35092,"Sault Ste. Marie/Sault Ste. Marie"," 27","Sault Ste. Marie",4,75,33,133,2,1,248,365
35092,"Sault Ste. Marie/Sault Ste. Marie"," 28","Sault Ste. Marie",5,59,39,126,1,0,230,384
35092,"Sault Ste. Marie/Sault Ste. Marie"," 29","Sault Ste. Marie",7,46,59,106,2,0,220,388
35092,"Sault Ste. Marie/Sault Ste. Marie"," 30","Sault Ste. Marie",2,71,55,115,0,4,247,506
35092,"Sault Ste. Marie/Sault Ste. Marie"," 31","Sault Ste. Marie",4,68,68,118,0,2,260,454
35092,"Sault Ste. Marie/Sault Ste. Marie"," 32","Sault Ste. Marie",2,75,63,133,1,1,275,414
35092,"Sault Ste. Marie/Sault Ste. Marie"," 33","Sault Ste. Marie",8,71,49,110,2,0,240,403
35092,"Sault Ste. Marie/Sault Ste. Marie"," 34","Sault Ste. Marie",4,88,33,150,0,0,275,403
35092,"Sault Ste. Marie/Sault Ste. Marie"," 35","Sault Ste. Marie",5,108,25,114,0,1,253,396
35092,"Sault Ste. Marie/Sault Ste. Marie"," 36","Sault Ste. Marie",6,92,48,102,0,2,250,367
35092,"Sault Ste. Marie/Sault Ste. Marie"," 37","Sault Ste. Marie",6,80,55,108,1,0,250,440
35092,"Sault Ste. Marie/Sault Ste. Marie"," 38","Sault Ste. Marie",1,66,78,86,0,0,231,408
35092,"Sault Ste. Marie/Sault Ste. Marie"," 39","Sault Ste. Marie",5,86,47,138,0,1,277,422
35092,"Sault Ste. Marie/Sault Ste. Marie"," 40","Prince",7,147,77,129,0,0,360,547
35092,"Sault Ste. Marie/Sault Ste. Marie"," 41","Prince",8,87,33,75,0,0,203,304
35092,"Sault Ste. Marie/Sault Ste. Marie"," 42","Sault Ste. Marie",5,110,23,89,0,0,227,377
35092,"Sault Ste. Marie/Sault Ste. Marie"," 43","Sault Ste. Marie",2,104,35,118,0,1,260,425
35092,"Sault Ste. Marie/Sault Ste. Marie"," 44","Sault Ste. Marie",2,78,90,108,0,1,279,464
35092,"Sault Ste. Marie/Sault Ste. Marie"," 45","Sault Ste. Marie",4,70,73,135,3,4,289,447
35092,"Sault Ste. Marie/Sault Ste. Marie"," 46","Sault Ste. Marie",6,54,61,70,2,1,194,410
35092,"Sault Ste. Marie/Sault Ste. Marie"," 47","Sault Ste. Marie",3,62,49,128,1,1,244,461
35092,"Sault Ste. Marie/Sault Ste. Marie"," 48","Sault Ste. Marie",4,45,54,77,0,0,180,358
35092,"Sault Ste. Marie/Sault Ste. Marie"," 49","Sault Ste. Marie",0,54,53,82,1,4,194,374
35092,"Sault Ste. Marie/Sault Ste. Marie"," 50","Sault Ste. Marie",4,46,53,97,0,1,201,439
35092,"Sault Ste. Marie/Sault Ste. Marie"," 51","Sault Ste. Marie",4,22,47,66,0,0,139,455
35092,"Sault Ste. Marie/Sault Ste. Marie"," 52","Sault Ste. Marie",3,91,58,149,2,2,305,487
35092,"Sault Ste. Marie/Sault Ste. Marie"," 53","Sault Ste. Marie",3,63,56,125,0,0,247,433
35092,"Sault Ste. Marie/Sault Ste. Marie"," 54","Sault Ste. Marie",4,104,43,137,2,5,295,468
35092,"Sault Ste. Marie/Sault Ste. Marie"," 55","Sault Ste. Marie",3,39,53,117,0,2,214,362
35092,"Sault Ste. Marie/Sault Ste. Marie"," 56","Sault Ste. Marie",4,53,58,117,1,0,233,390
35092,"Sault Ste. Marie/Sault Ste. Marie"," 57","Sault Ste. Marie",6,45,61,115,1,1,229,436
35092,"Sault Ste. Marie/Sault Ste. Marie"," 58","Sault Ste. Marie",2,45,45,90,0,3,185,339
35092,"Sault Ste. Marie/Sault Ste. Marie"," 59","Sault Ste. Marie",5,85,42,100,1,0,233,385
35092,"Sault Ste. Marie/Sault Ste. Marie"," 60","Sault Ste. Marie",8,63,36,113,0,0,220,418
35092,"Sault Ste. Marie/Sault Ste. Marie"," 61","Sault Ste. Marie",4,52,50,100,1,0,207,389
35092,"Sault Ste. Marie/Sault Ste. Marie"," 62","Sault Ste. Marie",12,57,48,136,1,1,255,390
35092,"Sault Ste. Marie/Sault Ste. Marie"," 63","Sault Ste. Marie",4,89,27,112,0,0,232,342
35092,"Sault Ste. Marie/Sault Ste. Marie"," 64","Sault Ste. Marie",4,79,29,126,0,2,240,372
35092,"Sault Ste. Marie/Sault Ste. Marie"," 65","Sault Ste. Marie",1,52,34,82,1,2,172,279
35092,"Sault Ste. Marie/Sault Ste. Marie"," 66","Sault Ste. Marie",8,107,20,103,0,0,238,381
35092,"Sault Ste. Marie/Sault Ste. Marie"," 67","Sault Ste. Marie",3,130,17,119,0,0,269,470
35092,"Sault Ste. Marie/Sault Ste. Marie"," 68","Sault Ste. Marie",6,61,35,104,0,1,207,366
35092,"Sault Ste. Marie/Sault Ste. Marie"," 69","Sault Ste. Marie",6,89,63,118,2,1,279,553
35092,"Sault Ste. Marie/Sault Ste. Marie"," 70","Rankin Location 15D",3,10,217,78,0,0,308,489
35092,"Sault Ste. Marie/Sault Ste. Marie"," 71","Sault Ste. Marie",9,96,68,106,0,0,279,442
35092,"Sault Ste. Marie/Sault Ste. Marie"," 72","Sault Ste. Marie",6,71,102,95,0,0,274,447
35092,"Sault Ste. Marie/Sault Ste. Marie"," 73","Sault Ste. Marie",5,85,29,105,1,0,225,428
35092,"Sault Ste. Marie/Sault Ste. Marie"," 74","Sault Ste. Marie",8,83,27,112,2,2,234,371
35092,"Sault Ste. Marie/Sault Ste. Marie"," 75","Sault Ste. Marie",5,79,53,95,0,1,233,426
35092,"Sault Ste. Marie/Sault Ste. Marie"," 76","Sault Ste. Marie",4,30,60,101,0,1,196,435
35092,"Sault Ste. Marie/Sault Ste. Marie"," 77","Sault Ste. Marie",4,66,51,106,0,1,228,372
35092,"Sault Ste. Marie/Sault Ste. Marie"," 78","Sault Ste. Marie",6,52,46,86,1,0,191,352
35092,"Sault Ste. Marie/Sault Ste. Marie"," 79","Sault Ste. Marie",5,83,55,126,0,1,270,450
35092,"Sault Ste. Marie/Sault Ste. Marie"," 80","Sault Ste. Marie",4,73,59,79,0,0,215,372
35092,"Sault Ste. Marie/Sault Ste. Marie"," 81","Sault Ste. Marie",7,71,85,125,0,2,290,454
35092,"Sault Ste. Marie/Sault Ste. Marie"," 82","Sault Ste. Marie",6,93,64,129,1,2,295,449
35092,"Sault Ste. Marie/Sault Ste. Marie"," 83","Sault Ste. Marie",9,84,48,130,0,2,273,444
35092,"Sault Ste. Marie/Sault Ste. Marie"," 84","Sault Ste. Marie",7,62,65,106,1,0,241,436
35092,"Sault Ste. Marie/Sault Ste. Marie"," 85","Sault Ste. Marie",4,90,50,118,1,0,263,424
35092,"Sault Ste. Marie/Sault Ste. Marie"," 86","Sault Ste. Marie",4,102,53,122,0,2,283,425
35092,"Sault Ste. Marie/Sault Ste. Marie"," 87","Sault Ste. Marie",1,62,65,126,0,0,254,404
35092,"Sault Ste. Marie/Sault Ste. Marie"," 88","Sault Ste. Marie",5,114,53,141,0,0,313,478
35092,"Sault Ste. Marie/Sault Ste. Marie"," 89","Sault Ste. Marie",3,86,18,107,0,0,214,368
35092,"Sault Ste. Marie/Sault Ste. Marie"," 90","Sault Ste. Marie",5,60,35,59,0,1,160,316
