Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dustan Hlady,Perry Juttla,Tom Lukiwski,Shawn Setyo,Robert Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 1","Elstow",94,94,294,12,1,1,496,805
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 2","Blucher No. 343",45,30,142,10,1,0,228,320
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 3","Blucher No. 343",50,38,131,6,0,0,225,286
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 4","Blucher No. 343",9,8,51,4,2,0,74,114
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 5","Bradwell",32,30,103,6,2,0,173,240
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 6","Blucher No. 343",74,86,210,14,3,1,388,589
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 7","Colonsay",80,54,135,7,2,0,278,465
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 8","Viscount",54,56,157,7,2,1,277,482
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 9","Plunkett",26,20,64,1,0,0,111,185
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 10","Lanigan",39,17,161,1,2,2,222,425
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 11","Leroy",39,15,150,5,0,0,209,326
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 12","Leroy",39,28,111,2,1,0,181,288
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 13","Jansen",34,25,132,3,0,0,194,285
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 14","Drake",22,28,138,2,0,1,191,286
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 15","Guernsey",28,15,124,3,0,0,170,307
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 16","Zelma",60,24,171,8,0,0,263,403
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 17","Allan Hills",16,16,51,3,1,0,87,130
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 18","Dundurn",53,67,234,6,3,0,363,568
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 19","Dundurn",23,31,101,9,0,0,164,356
