Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Jamieson,Jenny Kwan,James Low,Peter Marcus,D. Alex Millar,Wes Regan,Shawn Vulliez,Edward Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Vancouver East/Vancouver-Est"," 1","Vancouver",0,96,20,1,3,32,0,81,0,233,432
59035,"Vancouver East/Vancouver-Est"," 2","Vancouver",0,57,8,0,1,24,0,77,0,167,427
59035,"Vancouver East/Vancouver-Est"," 3","Vancouver",1,124,21,4,0,17,0,47,1,215,423
59035,"Vancouver East/Vancouver-Est"," 4","Vancouver",1,46,10,1,2,9,0,39,0,108,435
59035,"Vancouver East/Vancouver-Est"," 5","Vancouver",0,57,7,1,0,8,0,36,1,110,401
59035,"Vancouver East/Vancouver-Est"," 6","Vancouver",1,67,12,0,0,8,3,36,2,129,437
59035,"Vancouver East/Vancouver-Est"," 7","Vancouver",3,72,25,1,2,11,0,26,8,148,406
59035,"Vancouver East/Vancouver-Est"," 8","Vancouver",0,37,10,1,0,5,0,27,0,80,447
59035,"Vancouver East/Vancouver-Est"," 9","Vancouver",3,92,21,1,0,6,1,22,3,149,386
59035,"Vancouver East/Vancouver-Est"," 10","Vancouver",1,60,10,1,0,7,0,30,1,110,319
59035,"Vancouver East/Vancouver-Est"," 11","Vancouver",1,78,11,2,0,20,0,34,2,148,359
59035,"Vancouver East/Vancouver-Est"," 12","Vancouver",1,105,19,0,0,31,0,45,0,201,427
59035,"Vancouver East/Vancouver-Est"," 13","Vancouver",0,134,12,2,1,45,3,37,2,236,464
59035,"Vancouver East/Vancouver-Est"," 14","Vancouver",0,89,17,2,0,18,1,37,0,164,304
59035,"Vancouver East/Vancouver-Est"," 15","Vancouver",0,75,15,0,1,27,0,55,1,174,412
