Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Cannings,Connie Denesiuk,Brian Gray,Marshall Neufeld,Samantha Troy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 1","Nakusp",73,66,1,43,11,2,196,393
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 2","Nakusp",49,42,0,44,12,0,147,324
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 3","Nakusp",46,55,0,61,10,1,173,338
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 4","Nakusp",67,58,0,68,10,0,203,378
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 5","Brouse",84,46,1,83,16,1,231,437
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 6","Hills",98,25,2,36,9,0,170,386
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 7","New Denver",73,31,0,32,9,0,145,288
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 8","Silverton",73,25,1,30,8,0,137,315
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 9","Burton",90,71,4,94,20,0,279,454
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 10","Slocan",257,71,0,37,15,1,381,540
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 11","Vallican",89,13,0,10,12,0,124,237
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 12","Appledale",178,30,1,16,16,0,241,403
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 13","Vallican",137,33,0,15,8,2,195,341
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 14","Winlaw",110,37,0,12,12,0,171,288
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 15","Deer Park",87,59,1,34,11,0,192,359
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 16","Pass Creek",84,51,0,29,14,1,179,394
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 17","Robson",112,56,3,46,10,0,227,370
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 18","Robson",92,72,2,41,15,0,222,352
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 19","Raspberry",107,51,1,36,5,0,200,362
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 20","Grand Forks",72,34,1,59,14,1,181,351
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 21","Grand Forks",72,51,1,84,12,1,221,419
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 22","Grand Forks",52,50,2,76,11,1,192,411
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 23","Grand Forks",74,50,0,50,8,0,182,439
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 24","Grand Forks",54,40,0,43,8,0,145,335
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 25","Grand Forks",48,27,1,43,3,0,122,287
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 26","Grand Forks",82,64,2,50,12,0,210,386
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 27","Grand Forks",49,52,1,60,10,1,173,384
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 28","Grand Forks",46,28,0,40,14,0,128,277
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 29","Grand Forks",60,42,0,35,2,0,139,334
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 30","Big White",19,51,1,26,7,0,104,186
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 31","Naramata",138,49,1,47,8,0,243,358
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 32","Naramata",129,78,0,32,11,0,250,397
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 33","Naramata",95,70,0,74,7,0,246,388
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 34","Naramata",92,68,1,87,11,0,259,392
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 35","Penticton 1",47,48,1,53,2,1,152,266
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 36","Penticton 1",33,38,0,61,2,0,134,307
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 37","Penticton 1",16,31,0,49,3,0,99,252
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 38","Penticton 1",127,73,0,63,14,0,277,607
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 39","Penticton 1",79,79,0,79,8,0,245,432
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 40","Penticton 1",88,56,1,86,6,0,237,437
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 41","Penticton",67,70,0,27,10,1,175,378
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 42","Penticton",52,89,0,48,8,0,197,400
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 43","Penticton",46,68,1,76,1,0,192,381
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 44","Penticton",44,76,1,25,5,2,153,361
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 45","Penticton",64,62,3,52,4,0,185,470
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 46","Penticton",68,61,2,42,7,0,180,401
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 47","Penticton",117,78,0,41,13,0,249,462
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 48","Penticton",71,59,2,47,7,1,187,417
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 49","Penticton",65,84,2,39,5,2,197,341
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 50","Penticton",54,59,1,67,9,0,190,325
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 51","Penticton",21,37,2,33,3,0,96,215
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 52","Penticton",61,47,0,62,6,0,176,363
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 53","Penticton",50,53,1,38,8,1,151,374
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 54","Penticton",80,59,0,67,5,1,212,382
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 55","Penticton",79,78,1,48,12,0,218,415
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 56","Penticton",63,72,2,35,9,0,181,401
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 57","Penticton",92,67,0,55,5,0,219,365
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 58","Penticton",82,72,0,56,12,0,222,389
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 59","Penticton",56,44,1,49,2,1,153,425
