Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jasvir Deol,Peter Downing,Ralph McLean,Allen K.W. Paley,Naomi Rankin,Amarjeet Sohi,Colin Stubbs,Tim Uppal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 1","Edmonton",23,4,5,4,0,57,10,116,0,219,400
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 2","Edmonton",18,1,3,3,0,79,1,78,3,186,320
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 3","Edmonton",24,1,5,4,0,85,5,138,1,263,417
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 4","Edmonton",19,2,2,2,1,69,0,30,1,126,345
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 5","Edmonton",33,1,8,4,0,68,2,79,2,197,343
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 6","Edmonton",34,2,10,3,1,78,4,99,4,235,407
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 7","Edmonton",32,1,7,3,0,59,0,87,0,189,391
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 8","Edmonton",45,3,10,6,0,99,4,91,1,259,445
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 9","Edmonton",23,1,6,2,0,78,0,76,1,187,328
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 10","Edmonton",23,3,10,2,0,96,5,164,0,303,519
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 11","Edmonton",15,0,8,0,1,113,2,99,0,238,402
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 12","Edmonton",25,0,7,1,1,70,2,79,1,186,371
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 13","Edmonton",31,2,13,2,1,121,5,127,1,303,463
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 14","Edmonton",24,2,8,3,0,105,0,115,1,258,479
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 15","Edmonton",25,0,7,1,0,91,4,97,1,226,416
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 16","Edmonton",29,0,2,0,0,100,2,74,1,208,336
48017,"Edmonton Mill Woods/Edmonton Mill Woods"," 17","Edmonton",23,3,2,3,0,89,2,86,0,208,366
