Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Qais Hamidi,Fang Hu,Suzanne Lachance,Hoang Mai,Alexandra Mendès,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 1","Saint-Lambert",17,12,45,67,137,2,280,442
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 2","Saint-Lambert",12,5,40,82,121,2,262,408
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 3","Saint-Lambert",10,10,46,65,115,3,249,406
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 4","Saint-Lambert",13,1,34,79,75,4,206,391
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 5","Saint-Lambert",20,10,29,72,101,1,233,399
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 6","Saint-Lambert",23,4,29,58,96,4,214,371
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 7","Saint-Lambert",15,3,24,63,108,3,216,348
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 8","Saint-Lambert",20,6,26,67,85,1,205,334
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 9","Saint-Lambert",20,9,28,83,97,3,240,379
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 10","Saint-Lambert",17,6,20,51,90,0,184,390
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 11","Saint-Lambert",13,8,29,63,111,1,225,404
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 12","Saint-Lambert",12,4,34,34,77,1,162,413
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 13A","Saint-Lambert",11,5,28,38,89,5,176,453
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 13B","Mobile poll/Bureau itinérant",7,3,9,10,60,7,96,101
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 14","Saint-Lambert",27,6,29,58,97,2,219,465
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 15A","Saint-Lambert",14,11,65,74,133,2,299,515
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 15B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22B,,,,,,,83
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 16A","Saint-Lambert",15,8,34,42,69,0,168,295
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 16B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22B,,,,,,,30
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 16C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°13B,,,,,,,139
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 17","Saint-Lambert",16,5,51,45,86,1,204,493
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 18","Saint-Lambert",35,7,38,71,150,8,309,513
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 19","Saint-Lambert",20,6,38,60,108,2,234,421
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 20","Saint-Lambert",14,6,43,55,109,2,229,424
