Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lon Borgerson,Randy Hoback,Gordon Kirkby,Byron Tenkink,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Prince Albert /Prince Albert "," 131","Flett's Springs",21,136,20,2,0,179,313
47006,"Prince Albert /Prince Albert "," 132","Melfort",52,115,27,7,0,201,393
47006,"Prince Albert /Prince Albert "," 133","Melfort",61,204,46,8,1,320,628
47006,"Prince Albert /Prince Albert "," 134","Melfort",63,142,34,5,0,244,423
47006,"Prince Albert /Prince Albert "," 135A","Melfort",44,154,44,5,0,247,435
47006,"Prince Albert /Prince Albert "," 135B","Melfort",55,163,36,6,0,260,487
47006,"Prince Albert /Prince Albert "," 136","Melfort",65,244,75,11,0,395,793
47006,"Prince Albert /Prince Albert "," 137","Melfort",38,177,27,8,1,251,470
47006,"Prince Albert /Prince Albert "," 138","Melfort",43,175,28,0,0,246,417
47006,"Prince Albert /Prince Albert "," 139","Star City",25,180,23,2,1,231,384
47006,"Prince Albert /Prince Albert "," 140","Star City",25,149,23,4,0,201,328
47006,"Prince Albert /Prince Albert "," 141","Tisdale",11,91,13,7,0,122,192
47006,"Prince Albert /Prince Albert "," 142A","Tisdale",28,192,40,8,0,268,553
47006,"Prince Albert /Prince Albert "," 142B","Tisdale",47,145,22,9,1,224,503
47006,"Prince Albert /Prince Albert "," 143","Tisdale",28,99,19,5,1,152,257
47006,"Prince Albert /Prince Albert "," 144","Tisdale",25,114,25,4,2,170,313
47006,"Prince Albert /Prince Albert "," 145","Tisdale",17,72,18,1,0,108,229
47006,"Prince Albert /Prince Albert "," 146","Tisdale",22,74,18,2,1,117,218
47006,"Prince Albert /Prince Albert "," 147","Tisdale",26,93,31,1,0,151,279
47006,"Prince Albert /Prince Albert "," 148","Tisdale",12,86,15,3,1,117,193
47006,"Prince Albert /Prince Albert "," 149","Tisdale",27,139,15,2,0,183,297
47006,"Prince Albert /Prince Albert "," 150","Zenon Park",36,79,29,4,3,151,237
47006,"Prince Albert /Prince Albert "," 151","Arborfield",15,294,34,9,1,353,510
47006,"Prince Albert /Prince Albert "," 152","Sylvania",10,105,14,4,1,134,236
47006,"Prince Albert /Prince Albert "," 500","Mobile poll/Bureau itinérant",20,28,13,5,0,66,169
47006,"Prince Albert /Prince Albert "," 501A","Mobile poll/Bureau itinérant",30,73,28,1,2,134,121
47006,"Prince Albert /Prince Albert "," 501B","Prince Albert",Merged with No./Fusionné avec le n°69,,,,,,18
47006,"Prince Albert /Prince Albert "," 502","Mobile poll/Bureau itinérant",30,26,17,0,1,74,114
47006,"Prince Albert /Prince Albert "," 503","Mobile poll/Bureau itinérant",20,24,13,0,2,59,149
47006,"Prince Albert /Prince Albert "," 504","Mobile poll/Bureau itinérant",14,33,7,3,2,59,121
47006,"Prince Albert /Prince Albert "," 505","Mobile poll/Bureau itinérant",12,28,14,0,1,55,95
47006,"Prince Albert /Prince Albert "," 600","Carrot River",25,188,21,7,0,241,
47006,"Prince Albert /Prince Albert "," 601","Nipawin",113,446,85,9,1,654,
47006,"Prince Albert /Prince Albert "," 602","Smeaton",43,106,20,4,1,174,
47006,"Prince Albert /Prince Albert "," 603","Buckland",72,172,42,6,0,292,
47006,"Prince Albert /Prince Albert "," 604","Prince Albert",335,269,185,26,0,815,
47006,"Prince Albert /Prince Albert "," 605","Prince Albert",224,167,97,11,0,499,
47006,"Prince Albert /Prince Albert "," 606","Prince Albert",208,173,91,7,3,482,
47006,"Prince Albert /Prince Albert "," 607","Prince Albert",297,445,158,15,0,915,
47006,"Prince Albert /Prince Albert "," 608","Shellbrook",65,185,38,6,0,294,
47006,"Prince Albert /Prince Albert "," 609","Birson",66,152,21,6,2,247,
47006,"Prince Albert /Prince Albert "," 610","Birch Hills",71,154,29,8,0,262,
47006,"Prince Albert /Prince Albert "," 611","Invergordon",45,90,20,2,0,157,
47006,"Prince Albert /Prince Albert "," 612","Melfort",187,619,89,18,0,913,
47006,"Prince Albert /Prince Albert "," 613","Tisdale",99,350,70,5,0,524,
47006,"Prince Albert /Prince Albert ",,"Group 1/Groupe 1",40,20,146,4,9,219,218
47006,"Prince Albert /Prince Albert ",,"Group 2/Groupe 2",441,594,269,22,12,1338,
