Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Lois Brown,Yvonne Kelly,Vanessa Long,Kyle Peterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Newmarket--Aurora/Newmarket--Aurora"," 1","Newmarket",5,97,26,4,94,0,226,387
35065,"Newmarket--Aurora/Newmarket--Aurora"," 2","Newmarket",1,111,24,10,127,1,274,431
35065,"Newmarket--Aurora/Newmarket--Aurora"," 3","Newmarket",4,93,34,7,81,0,219,428
35065,"Newmarket--Aurora/Newmarket--Aurora"," 4","East Gwillimbury",3,116,11,10,94,1,235,364
35065,"Newmarket--Aurora/Newmarket--Aurora"," 5","Newmarket",0,132,11,9,89,2,243,389
35065,"Newmarket--Aurora/Newmarket--Aurora"," 6","East Gwillimbury",0,71,11,2,63,2,149,262
35065,"Newmarket--Aurora/Newmarket--Aurora"," 7","Newmarket",4,105,8,3,69,0,189,336
35065,"Newmarket--Aurora/Newmarket--Aurora"," 8","Newmarket",1,150,17,4,89,2,263,440
35065,"Newmarket--Aurora/Newmarket--Aurora"," 9","Newmarket",3,89,42,11,82,2,229,431
35065,"Newmarket--Aurora/Newmarket--Aurora"," 10","Newmarket",1,91,21,3,103,0,219,347
35065,"Newmarket--Aurora/Newmarket--Aurora"," 11","Newmarket",2,99,20,7,88,2,218,392
35065,"Newmarket--Aurora/Newmarket--Aurora"," 12","Newmarket",9,114,21,8,120,1,273,417
35065,"Newmarket--Aurora/Newmarket--Aurora"," 13","Newmarket",2,88,17,4,116,0,227,369
35065,"Newmarket--Aurora/Newmarket--Aurora"," 14","Newmarket",0,66,12,1,66,0,145,262
35065,"Newmarket--Aurora/Newmarket--Aurora"," 15","Newmarket",4,70,14,6,93,3,190,294
35065,"Newmarket--Aurora/Newmarket--Aurora"," 16","East Gwillimbury",3,66,17,4,82,0,172,284
35065,"Newmarket--Aurora/Newmarket--Aurora"," 17","Newmarket",3,108,21,1,87,0,220,420
35065,"Newmarket--Aurora/Newmarket--Aurora"," 18","Newmarket",1,85,13,6,114,1,220,384
35065,"Newmarket--Aurora/Newmarket--Aurora"," 19","Newmarket",2,116,11,5,130,2,266,468
35065,"Newmarket--Aurora/Newmarket--Aurora"," 20","Newmarket",6,110,25,6,108,1,256,424
35065,"Newmarket--Aurora/Newmarket--Aurora"," 21A","East Gwillimbury",2,81,14,8,95,3,203,375
35065,"Newmarket--Aurora/Newmarket--Aurora"," 21B","East Gwillimbury",2,105,13,0,89,0,209,369
35065,"Newmarket--Aurora/Newmarket--Aurora"," 22","East Gwillimbury",5,143,31,2,116,0,297,484
35065,"Newmarket--Aurora/Newmarket--Aurora"," 23","Newmarket",5,76,18,6,99,1,205,446
35065,"Newmarket--Aurora/Newmarket--Aurora"," 24","Newmarket",4,63,17,3,77,0,164,361
35065,"Newmarket--Aurora/Newmarket--Aurora"," 25","Newmarket",7,102,23,7,111,0,250,497
35065,"Newmarket--Aurora/Newmarket--Aurora"," 26","Newmarket",6,99,24,2,96,0,227,447
35065,"Newmarket--Aurora/Newmarket--Aurora"," 27","Newmarket",3,101,32,7,89,1,233,425
35065,"Newmarket--Aurora/Newmarket--Aurora"," 28","Newmarket",5,110,14,6,97,0,232,421
35065,"Newmarket--Aurora/Newmarket--Aurora"," 29","Newmarket",3,111,32,3,103,1,253,444
35065,"Newmarket--Aurora/Newmarket--Aurora"," 30","Newmarket",6,90,40,4,97,1,238,437
35065,"Newmarket--Aurora/Newmarket--Aurora"," 31","Newmarket",2,97,35,9,112,0,255,504
35065,"Newmarket--Aurora/Newmarket--Aurora"," 32","Newmarket",2,122,25,2,117,3,271,488
35065,"Newmarket--Aurora/Newmarket--Aurora"," 33","Newmarket",7,77,39,10,84,2,219,405
35065,"Newmarket--Aurora/Newmarket--Aurora"," 34","Newmarket",4,76,25,10,99,0,214,415
35065,"Newmarket--Aurora/Newmarket--Aurora"," 35","Newmarket",4,38,29,9,71,2,153,353
35065,"Newmarket--Aurora/Newmarket--Aurora"," 36","Newmarket",7,55,29,9,81,2,183,384
35065,"Newmarket--Aurora/Newmarket--Aurora"," 37","Newmarket",4,45,25,4,62,0,140,353
35065,"Newmarket--Aurora/Newmarket--Aurora"," 38","Newmarket",8,89,23,12,77,2,211,449
35065,"Newmarket--Aurora/Newmarket--Aurora"," 39","Newmarket",2,50,16,12,62,0,142,324
35065,"Newmarket--Aurora/Newmarket--Aurora"," 40","Newmarket",4,48,22,8,100,2,184,420
35065,"Newmarket--Aurora/Newmarket--Aurora"," 41","Newmarket",2,47,22,9,92,1,173,374
35065,"Newmarket--Aurora/Newmarket--Aurora"," 42","Newmarket",4,67,16,10,101,0,198,379
35065,"Newmarket--Aurora/Newmarket--Aurora"," 43","Newmarket",5,108,25,6,111,1,256,489
35065,"Newmarket--Aurora/Newmarket--Aurora"," 44","Newmarket",3,72,26,9,87,1,198,405
35065,"Newmarket--Aurora/Newmarket--Aurora"," 45","Newmarket",3,77,25,6,103,1,215,452
35065,"Newmarket--Aurora/Newmarket--Aurora"," 46","Newmarket",4,115,14,9,112,0,254,416
35065,"Newmarket--Aurora/Newmarket--Aurora"," 47","Newmarket",3,105,25,9,96,0,238,397
35065,"Newmarket--Aurora/Newmarket--Aurora"," 48","Newmarket",1,77,33,5,121,1,238,435
35065,"Newmarket--Aurora/Newmarket--Aurora"," 49","Newmarket",2,137,32,9,109,0,289,477
35065,"Newmarket--Aurora/Newmarket--Aurora"," 50","Newmarket",4,93,25,5,82,0,209,379
35065,"Newmarket--Aurora/Newmarket--Aurora"," 51","Newmarket",4,115,26,8,119,0,272,458
35065,"Newmarket--Aurora/Newmarket--Aurora"," 52","Newmarket",4,80,20,3,58,1,166,326
35065,"Newmarket--Aurora/Newmarket--Aurora"," 53","Newmarket",7,69,18,4,91,1,190,420
35065,"Newmarket--Aurora/Newmarket--Aurora"," 54","Newmarket",3,73,17,4,77,0,174,390
35065,"Newmarket--Aurora/Newmarket--Aurora"," 55","Newmarket",7,123,15,6,126,0,277,520
35065,"Newmarket--Aurora/Newmarket--Aurora"," 56A","Newmarket",7,85,16,1,92,1,202,445
35065,"Newmarket--Aurora/Newmarket--Aurora"," 56B","Newmarket",7,132,14,3,96,3,255,548
35065,"Newmarket--Aurora/Newmarket--Aurora"," 57","Newmarket",4,113,19,9,113,0,258,515
35065,"Newmarket--Aurora/Newmarket--Aurora"," 58A","Newmarket",3,60,12,1,46,2,124,334
35065,"Newmarket--Aurora/Newmarket--Aurora"," 58B","Newmarket",1,77,14,1,62,1,156,312
35065,"Newmarket--Aurora/Newmarket--Aurora"," 59","Newmarket",4,45,15,9,76,0,149,309
35065,"Newmarket--Aurora/Newmarket--Aurora"," 60","Newmarket",5,87,19,7,87,0,205,353
35065,"Newmarket--Aurora/Newmarket--Aurora"," 61","Newmarket",2,108,21,5,129,0,265,450
35065,"Newmarket--Aurora/Newmarket--Aurora"," 62","Newmarket",4,101,19,8,96,0,228,406
35065,"Newmarket--Aurora/Newmarket--Aurora"," 63","Newmarket",1,91,22,5,88,0,207,397
35065,"Newmarket--Aurora/Newmarket--Aurora"," 64","Newmarket",4,42,12,4,51,0,113,282
35065,"Newmarket--Aurora/Newmarket--Aurora"," 65","Newmarket",1,52,19,7,62,2,143,286
35065,"Newmarket--Aurora/Newmarket--Aurora"," 66","Newmarket",1,64,27,8,84,2,186,380
35065,"Newmarket--Aurora/Newmarket--Aurora"," 67","Newmarket",1,39,22,5,63,0,130,297
35065,"Newmarket--Aurora/Newmarket--Aurora"," 68","Newmarket",6,97,14,5,98,0,220,377
35065,"Newmarket--Aurora/Newmarket--Aurora"," 69","Newmarket",4,95,12,4,92,0,207,361
35065,"Newmarket--Aurora/Newmarket--Aurora"," 70","Newmarket",2,115,28,4,120,1,270,483
35065,"Newmarket--Aurora/Newmarket--Aurora"," 71","Newmarket",6,116,16,7,133,2,280,489
35065,"Newmarket--Aurora/Newmarket--Aurora"," 72","Newmarket",0,83,31,9,114,0,237,398
35065,"Newmarket--Aurora/Newmarket--Aurora"," 73","Newmarket",1,86,4,3,64,0,158,288
35065,"Newmarket--Aurora/Newmarket--Aurora"," 74","Newmarket",1,63,16,4,82,0,166,311
35065,"Newmarket--Aurora/Newmarket--Aurora"," 75","Newmarket",2,74,21,3,101,0,201,439
35065,"Newmarket--Aurora/Newmarket--Aurora"," 76","Newmarket",1,101,16,4,115,2,239,497
35065,"Newmarket--Aurora/Newmarket--Aurora"," 77","Newmarket",4,87,20,7,118,2,238,509
35065,"Newmarket--Aurora/Newmarket--Aurora"," 78A","Newmarket",0,75,8,6,83,0,172,286
35065,"Newmarket--Aurora/Newmarket--Aurora"," 78B","Newmarket",0,77,7,2,84,0,170,316
