Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Blaney,Brenda Sayers,Peter Schwarzhoff,Laura Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59037,"North Island--Powell River/North Island--Powell River"," 1","Oweekeno",19,3,7,0,0,29,42
59037,"North Island--Powell River/North Island--Powell River"," 2","Dawsons Landing",2,1,0,4,0,7,12
59037,"North Island--Powell River/North Island--Powell River"," 3","Quatsino",4,9,4,6,0,23,28
59037,"North Island--Powell River/North Island--Powell River"," 4A","Coal Harbour",21,3,13,24,0,61,117
59037,"North Island--Powell River/North Island--Powell River"," 4B","Coal Harbour",90,4,3,1,0,98,148
59037,"North Island--Powell River/North Island--Powell River"," 5","Holberg",8,13,4,9,0,34,50
59037,"North Island--Powell River/North Island--Powell River"," 6","Winter Harbour",2,2,3,0,0,7,16
59037,"North Island--Powell River/North Island--Powell River"," 7","Port Alice",53,25,63,40,0,181,293
59037,"North Island--Powell River/North Island--Powell River"," 8","Port Alice",71,16,60,50,0,197,290
59037,"North Island--Powell River/North Island--Powell River"," 9","Port McNeill",45,12,53,31,0,141,374
59037,"North Island--Powell River/North Island--Powell River"," 10","Port McNeill",49,5,34,36,0,124,263
59037,"North Island--Powell River/North Island--Powell River"," 11","Port McNeill",37,5,56,39,0,137,283
59037,"North Island--Powell River/North Island--Powell River"," 12","Port McNeill",36,9,52,27,1,125,299
59037,"North Island--Powell River/North Island--Powell River"," 13A","Port McNeill 22",41,6,40,32,0,119,270
59037,"North Island--Powell River/North Island--Powell River"," 13B","Port McNeill 22",42,4,29,29,0,104,229
59037,"North Island--Powell River/North Island--Powell River"," 14A","Port McNeill",33,9,42,36,0,120,242
59037,"North Island--Powell River/North Island--Powell River"," 14B","Port McNeill",33,7,31,23,0,94,208
59037,"North Island--Powell River/North Island--Powell River"," 15","Kingcome Inlet",23,1,1,1,0,26,44
59037,"North Island--Powell River/North Island--Powell River"," 16","Minstrel Island",3,0,3,5,1,12,11
59037,"North Island--Powell River/North Island--Powell River"," 17","Sointula",130,21,24,27,0,202,288
59037,"North Island--Powell River/North Island--Powell River"," 18","Sointula",107,20,24,29,0,180,274
59037,"North Island--Powell River/North Island--Powell River"," 19A","Echo Bay",5,1,0,0,0,6,19
59037,"North Island--Powell River/North Island--Powell River"," 19B","Echo Bay",14,1,0,0,0,15,15
59037,"North Island--Powell River/North Island--Powell River"," 20","Blind Channel/Stuart Island",5,1,3,0,0,9,15
59037,"North Island--Powell River/North Island--Powell River"," 21","Sayward A",24,10,16,17,0,67,121
59037,"North Island--Powell River/North Island--Powell River"," 22A","Sayward",71,23,43,54,0,191,261
59037,"North Island--Powell River/North Island--Powell River"," 22B","Sayward",69,8,26,44,0,147,250
59037,"North Island--Powell River/North Island--Powell River"," 23","Woss",31,5,47,31,1,115,160
59037,"North Island--Powell River/North Island--Powell River"," 24","Kyuquot",57,8,5,4,0,74,95
59037,"North Island--Powell River/North Island--Powell River"," 25","Zeballos",58,16,18,11,1,104,146
59037,"North Island--Powell River/North Island--Powell River"," 26","Tahsis",73,21,49,20,1,164,237
59037,"North Island--Powell River/North Island--Powell River"," 27","Tsa Xana 18",60,1,0,0,1,62,94
59037,"North Island--Powell River/North Island--Powell River"," 28","Gold River",50,8,33,33,0,124,288
59037,"North Island--Powell River/North Island--Powell River"," 29","Gold River",62,13,65,29,0,169,367
59037,"North Island--Powell River/North Island--Powell River"," 30","Gold River",39,15,62,26,0,142,291
59037,"North Island--Powell River/North Island--Powell River"," 31","Campbell River 11",79,17,68,30,2,196,403
59037,"North Island--Powell River/North Island--Powell River"," 32","Campbell River",68,17,57,60,1,203,416
59037,"North Island--Powell River/North Island--Powell River"," 33","Campbell River",74,21,72,41,1,209,426
59037,"North Island--Powell River/North Island--Powell River"," 34","Campbell River",69,14,79,91,0,253,456
59037,"North Island--Powell River/North Island--Powell River"," 35","Campbell River",81,22,82,62,1,248,462
59037,"North Island--Powell River/North Island--Powell River"," 36A","Campbell River",58,3,29,18,0,108,244
59037,"North Island--Powell River/North Island--Powell River"," 36B","Campbell River",46,12,11,21,0,90,230
59037,"North Island--Powell River/North Island--Powell River"," 37","Campbell River",108,15,59,28,4,214,420
59037,"North Island--Powell River/North Island--Powell River"," 38","Campbell River",62,16,78,36,1,193,400
59037,"North Island--Powell River/North Island--Powell River"," 39","Campbell River",67,20,55,45,0,187,379
59037,"North Island--Powell River/North Island--Powell River"," 40A","Campbell River",46,8,29,40,0,123,241
59037,"North Island--Powell River/North Island--Powell River"," 40B","Campbell River",41,6,40,48,0,135,258
59037,"North Island--Powell River/North Island--Powell River"," 41A","Strathcona D (Oyster Bay - Buttle Lake)",42,11,38,22,0,113,277
59037,"North Island--Powell River/North Island--Powell River"," 41B","Strathcona D (Oyster Bay - Buttle Lake)",35,6,34,25,0,100,209
59037,"North Island--Powell River/North Island--Powell River"," 42","Campbell River",74,11,53,76,0,214,398
59037,"North Island--Powell River/North Island--Powell River"," 43","Campbell River",101,17,82,91,0,291,469
59037,"North Island--Powell River/North Island--Powell River"," 44A","Campbell River",48,23,53,28,0,152,246
59037,"North Island--Powell River/North Island--Powell River"," 44B","Campbell River",34,8,47,28,0,117,220
59037,"North Island--Powell River/North Island--Powell River"," 45","Campbell River",83,13,76,83,0,255,419
59037,"North Island--Powell River/North Island--Powell River"," 46","Quadra Island",154,41,25,32,2,254,404
59037,"North Island--Powell River/North Island--Powell River"," 47A","Quadra Island",132,12,29,17,0,190,228
59037,"North Island--Powell River/North Island--Powell River"," 47B","Quadra Island",132,12,29,17,0,190,254
59037,"North Island--Powell River/North Island--Powell River"," 48","Qhathiaski Cove",153,26,28,41,1,249,351
59037,"North Island--Powell River/North Island--Powell River"," 49","Qhathiaski Cove",159,25,54,28,0,266,369
59037,"North Island--Powell River/North Island--Powell River"," 50","Quadra Island",160,28,50,20,0,258,356
59037,"North Island--Powell River/North Island--Powell River"," 51","Cape Mudge",46,44,27,7,0,124,154
59037,"North Island--Powell River/North Island--Powell River"," 52","Surge Narrows/Read Island",33,12,5,4,0,54,55
59037,"North Island--Powell River/North Island--Powell River"," 53","Cortes Island",6,1,2,2,0,11,477
59037,"North Island--Powell River/North Island--Powell River"," 54","Cortes Island",220,23,35,17,0,295,436
59037,"North Island--Powell River/North Island--Powell River"," 55","Lang Bay",91,24,45,45,1,206,311
59037,"North Island--Powell River/North Island--Powell River"," 56","Brew Bay",79,20,52,39,0,190,324
59037,"North Island--Powell River/North Island--Powell River"," 57A","Saltery Bay",73,23,32,28,0,156,236
59037,"North Island--Powell River/North Island--Powell River"," 57B","Saltery Bay",49,13,43,22,0,127,222
59037,"North Island--Powell River/North Island--Powell River"," 58","Brew Bay",117,20,62,44,1,244,411
59037,"North Island--Powell River/North Island--Powell River"," 59A","Lund",86,29,38,15,1,169,250
59037,"North Island--Powell River/North Island--Powell River"," 59B","Lund",90,16,34,27,2,169,246
59037,"North Island--Powell River/North Island--Powell River"," 60","Oyster River",89,25,49,48,1,212,354
59037,"North Island--Powell River/North Island--Powell River"," 61","Oyster River",68,28,46,58,0,200,344
59037,"North Island--Powell River/North Island--Powell River"," 62","Oyster River",57,18,47,55,0,177,334
59037,"North Island--Powell River/North Island--Powell River"," 63","Black Creek",69,10,37,58,0,174,313
59037,"North Island--Powell River/North Island--Powell River"," 64","Black Creek",86,22,51,75,1,235,438
59037,"North Island--Powell River/North Island--Powell River"," 65","Saratoga Beach",65,16,71,80,0,232,408
59037,"North Island--Powell River/North Island--Powell River"," 66","Saratoga Beach",78,21,60,65,0,224,432
59037,"North Island--Powell River/North Island--Powell River"," 67A","Campbell River",46,13,49,38,0,146,269
59037,"North Island--Powell River/North Island--Powell River"," 67B","Campbell River",28,8,34,34,0,104,217
59037,"North Island--Powell River/North Island--Powell River"," 68A","Campbell River",49,8,45,30,0,132,285
59037,"North Island--Powell River/North Island--Powell River"," 68B","Campbell River",57,9,42,36,0,144,235
59037,"North Island--Powell River/North Island--Powell River"," 69","Campbell River",71,25,81,68,0,245,448
59037,"North Island--Powell River/North Island--Powell River"," 70","Campbell River",68,5,67,52,1,193,346
59037,"North Island--Powell River/North Island--Powell River"," 71A","Campbell River",50,4,58,42,0,154,254
59037,"North Island--Powell River/North Island--Powell River"," 71B","Campbell River",37,1,53,41,1,133,225
59037,"North Island--Powell River/North Island--Powell River"," 72","Campbell River",35,13,72,70,1,191,304
59037,"North Island--Powell River/North Island--Powell River"," 73A","Campbell River",69,10,46,38,0,163,288
59037,"North Island--Powell River/North Island--Powell River"," 73B","Campbell River",42,4,37,30,1,114,221
59037,"North Island--Powell River/North Island--Powell River"," 74A","Campbell River",38,11,37,30,0,116,266
