Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chantal Breton,Bien Gras Gagné,Louis Gagnon,Bernard Généreux,François Lapointe,Marie-Josée Normand,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 1","L'Isle-Verte",5,3,27,43,42,76,1,197,322
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 2","L'Isle-Verte",4,0,29,41,57,51,0,182,363
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 3","L'Isle-Verte",8,1,43,49,60,66,10,237,395
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 4","Notre-Dame-des-Sept-Douleurs",0,0,4,1,8,8,0,21,38
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 5","Cacouna",4,0,35,37,46,44,2,168,304
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 6","Cacouna",1,2,30,30,39,33,3,138,272
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 7","Cacouna",2,1,40,34,31,36,1,145,306
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 8","Cacouna",4,0,34,34,49,34,1,156,337
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 9","Cacouna",5,1,33,33,33,19,5,129,295
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 10","Saint-Arsène",3,1,36,36,46,58,1,181,337
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 11","Saint-Arsène",1,1,42,41,41,51,2,179,283
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 12","Saint-Arsène",1,0,29,36,33,38,5,142,295
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 13","Saint-Épiphane",4,0,44,33,40,52,4,177,358
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 14","Saint-Épiphane",2,2,22,26,33,47,2,134,291
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 15","Saint-Paul-de-la-Croix",1,0,26,25,39,64,0,155,269
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 16","Saint-François-Xavier-de-Viger",6,0,18,18,12,23,2,79,176
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 17","Saint-Hubert-de-Rivière-du-Loup",2,1,37,33,40,82,4,199,365
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 18","Saint-Hubert-de-Rivière-du-Loup",4,2,35,46,31,48,7,173,298
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 19","Saint-Hubert-de-Rivière-du-Loup",2,0,33,36,42,65,2,180,316
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 20","Saint-Cyprien",3,3,32,28,39,54,5,164,287
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 21","Saint-Cyprien",2,0,43,15,38,62,6,166,267
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 22","Saint-Cyprien",5,0,49,25,36,40,7,162,274
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 23","Saint-Modeste",3,2,43,10,33,40,4,135,245
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 24","Saint-Modeste",5,1,31,35,56,54,2,184,292
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 25","Saint-Modeste",2,2,51,23,28,52,3,161,308
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 26","Rivière-du-Loup",8,0,60,48,39,60,5,220,427
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 27","Rivière-du-Loup",4,1,47,62,43,48,5,210,450
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 28","Rivière-du-Loup",5,3,44,47,48,57,7,211,410
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 29","Rivière-du-Loup",7,1,56,41,54,60,5,224,443
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 30","Rivière-du-Loup",1,1,56,25,23,41,2,149,304
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 31","Rivière-du-Loup",1,0,34,28,25,24,0,112,263
