Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Adler,Hal Berman,Constantine Kritsonis,Michael Levitt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35118,"York Centre/York-Centre"," 1","North York",106,10,1,81,2,200,551
35118,"York Centre/York-Centre"," 2A","North York",101,11,1,37,0,150,400
35118,"York Centre/York-Centre"," 2B","North York",23,8,2,17,0,50,128
35118,"York Centre/York-Centre"," 3","North York",107,13,2,38,1,161,394
35118,"York Centre/York-Centre"," 4","North York",115,6,4,49,0,174,389
35118,"York Centre/York-Centre"," 5","North York",126,6,2,42,0,176,432
35118,"York Centre/York-Centre"," 6","North York",89,11,4,42,0,146,383
35118,"York Centre/York-Centre"," 7","North York",57,10,1,49,0,117,311
35118,"York Centre/York-Centre"," 8A","North York",106,10,1,53,2,172,431
35118,"York Centre/York-Centre"," 8B","North York",Merged with No./Fusionné avec le n°414,,,,,,177
35118,"York Centre/York-Centre"," 9A","North York",83,29,5,88,2,207,418
35118,"York Centre/York-Centre"," 9B","North York",Merged with No./Fusionné avec le n°413,,,,,,141
35118,"York Centre/York-Centre"," 10","North York",95,4,1,43,1,144,368
35118,"York Centre/York-Centre"," 11A","North York",36,8,2,40,0,86,177
35118,"York Centre/York-Centre"," 11B","North York",Merged with No./Fusionné avec le n°417,,,,,,264
35118,"York Centre/York-Centre"," 11-1","North York",54,9,5,68,2,138,235
35118,"York Centre/York-Centre"," 12","North York",102,8,0,66,2,178,350
35118,"York Centre/York-Centre"," 12-1A","North York",Merged with No./Fusionné avec le n°429,,,,,,254
35118,"York Centre/York-Centre"," 12-1B","North York",68,19,7,86,0,180,176
35118,"York Centre/York-Centre"," 13","North York",103,12,2,81,0,198,402
35118,"York Centre/York-Centre"," 14","North York",82,13,6,87,0,188,378
35118,"York Centre/York-Centre"," 15A","North York",101,9,2,61,0,173,448
35118,"York Centre/York-Centre"," 15B","North York",Merged with No./Fusionné avec le n°12-1B,,,,,,136
35118,"York Centre/York-Centre"," 15C","North York",Merged with No./Fusionné avec le n°430,,,,,,207
35118,"York Centre/York-Centre"," 16","North York",81,16,8,94,4,203,537
35118,"York Centre/York-Centre"," 17","North York",115,12,10,112,1,250,537
35118,"York Centre/York-Centre"," 18","North York",98,22,3,104,3,230,455
35118,"York Centre/York-Centre"," 19","North York",100,9,1,108,3,221,487
35118,"York Centre/York-Centre"," 20","North York",150,20,3,71,0,244,465
35118,"York Centre/York-Centre"," 21","North York",141,9,7,104,3,264,577
35118,"York Centre/York-Centre"," 22","North York",108,12,3,80,0,203,447
35118,"York Centre/York-Centre"," 23","North York",69,9,3,93,3,177,443
35118,"York Centre/York-Centre"," 24","North York",62,10,8,96,1,177,413
35118,"York Centre/York-Centre"," 25","North York",99,12,3,63,1,178,362
35118,"York Centre/York-Centre"," 26","North York",64,23,2,80,2,171,388
35118,"York Centre/York-Centre"," 27","North York",42,8,2,83,1,136,331
35118,"York Centre/York-Centre"," 28","North York",48,7,3,71,0,129,361
35118,"York Centre/York-Centre"," 29","North York",5,1,0,3,0,9,40
35118,"York Centre/York-Centre"," 30","North York",92,12,3,94,0,201,387
35118,"York Centre/York-Centre"," 31A","North York",43,17,3,83,2,148,299
35118,"York Centre/York-Centre"," 31B","North York",44,20,5,80,4,153,300
35118,"York Centre/York-Centre"," 32","North York",107,23,8,109,0,247,491
35118,"York Centre/York-Centre"," 33","North York",81,15,9,112,1,218,535
35118,"York Centre/York-Centre"," 34A","North York",99,14,4,66,1,184,387
35118,"York Centre/York-Centre"," 34B","North York",Merged with No./Fusionné avec le n°437,,,,,,143
35118,"York Centre/York-Centre"," 35","North York",112,12,2,101,0,227,445
35118,"York Centre/York-Centre"," 36","North York",98,14,4,59,0,175,383
35118,"York Centre/York-Centre"," 37","North York",73,10,0,56,0,139,365
35118,"York Centre/York-Centre"," 38","North York",97,14,7,85,1,204,452
35118,"York Centre/York-Centre"," 39","North York",74,6,1,70,0,151,339
35118,"York Centre/York-Centre"," 40A","North York",87,10,1,75,0,173,357
35118,"York Centre/York-Centre"," 40B","North York",Merged with No./Fusionné avec le n°444,,,,,,114
35118,"York Centre/York-Centre"," 40-1","North York",76,17,8,85,2,188,369
35118,"York Centre/York-Centre"," 41","North York",141,11,2,54,0,208,494
35118,"York Centre/York-Centre"," 42","North York",120,15,3,59,1,198,429
35118,"York Centre/York-Centre"," 43","North York",54,19,3,99,2,177,384
35118,"York Centre/York-Centre"," 44","North York",143,2,2,47,2,196,479
35118,"York Centre/York-Centre"," 45","North York",164,3,3,52,1,223,410
35118,"York Centre/York-Centre"," 46","North York",185,4,3,63,1,256,459
35118,"York Centre/York-Centre"," 47","North York",150,13,6,86,2,257,490
35118,"York Centre/York-Centre"," 48","North York",173,13,2,86,1,275,471
35118,"York Centre/York-Centre"," 49","North York",99,14,3,83,1,200,460
35118,"York Centre/York-Centre"," 50","North York",111,10,3,70,0,194,426
35118,"York Centre/York-Centre"," 51","North York",92,22,6,149,0,269,521
35118,"York Centre/York-Centre"," 52","North York",132,8,4,82,0,226,464
35118,"York Centre/York-Centre"," 53","North York",128,7,1,91,0,227,508
35118,"York Centre/York-Centre"," 54","North York",95,6,1,50,1,153,383
35118,"York Centre/York-Centre"," 55","North York",105,6,0,30,0,141,390
35118,"York Centre/York-Centre"," 56","North York",101,7,3,54,0,165,402
35118,"York Centre/York-Centre"," 57","North York",54,9,2,57,2,124,384
35118,"York Centre/York-Centre"," 58","North York",105,5,1,40,1,152,404
35118,"York Centre/York-Centre"," 59","North York",58,9,2,95,2,166,371
35118,"York Centre/York-Centre"," 60","North York",99,17,4,56,0,176,425
35118,"York Centre/York-Centre"," 61","North York",57,11,2,91,1,162,376
35118,"York Centre/York-Centre"," 62","North York",5,2,0,5,0,12,58
35118,"York Centre/York-Centre"," 63A","North York",67,26,2,168,3,266,444
35118,"York Centre/York-Centre"," 63B","North York",92,11,1,125,2,231,462
