Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janice Best,David Clement,Pam Damoff,Adnan Shahbaz,Effie Triantafilopoulos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 1","Oakville",15,5,108,2,72,1,203,379
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 2","Oakville",11,1,119,3,99,0,233,437
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 3","Oakville",16,2,120,2,83,3,226,451
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 4","Oakville",23,7,117,7,134,1,289,524
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 5","Oakville",13,3,132,1,68,0,217,417
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 6","Oakville",8,5,139,1,103,1,257,489
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 7","Oakville",27,2,95,3,57,1,185,431
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 8","Oakville",10,3,98,2,38,2,153,322
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 9","Oakville",5,4,72,4,60,1,146,305
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 10A","Oakville",12,1,75,1,83,2,174,426
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 10B","Oakville",10,3,80,0,64,1,158,378
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 10C","Oakville",10,0,88,0,73,4,175,356
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 10D","Oakville",13,1,77,0,68,1,160,344
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 10E","Oakville",10,1,84,4,65,4,168,378
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 11","Oakville",15,2,106,6,91,1,221,466
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 12","Oakville",13,3,97,4,76,1,194,400
