Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keith Ashfield,Mary Lou Babineau,Matt DeCourcey,Sharon Scott-Levesque,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 1","Maugerville",54,27,61,9,1,152,277
13003,"Fredericton/Fredericton"," 2","Burpees Corner",46,27,74,18,2,167,292
13003,"Fredericton/Fredericton"," 3","Burpees Corner",43,22,73,20,0,158,259
13003,"Fredericton/Fredericton"," 4","Sheffield",119,13,79,19,2,232,342
13003,"Fredericton/Fredericton"," 5","Sheffield",77,14,85,14,0,190,288
13003,"Fredericton/Fredericton"," 6","Douglas Harbour",103,28,153,17,1,302,410
13003,"Fredericton/Fredericton"," 7","Sheffield",73,35,113,18,1,240,384
13003,"Fredericton/Fredericton"," 8","Maugerville",109,24,86,20,1,240,419
13003,"Fredericton/Fredericton"," 9","St. Marys",85,25,132,18,3,263,478
13003,"Fredericton/Fredericton"," 10","Fredericton",52,31,107,17,2,209,317
13003,"Fredericton/Fredericton"," 11","Fredericton",55,21,76,20,3,175,305
13003,"Fredericton/Fredericton"," 12","Fredericton",55,24,83,20,1,183,409
13003,"Fredericton/Fredericton"," 13","Fredericton",79,42,91,35,0,247,449
13003,"Fredericton/Fredericton"," 14","Fredericton",55,39,94,21,1,210,447
13003,"Fredericton/Fredericton"," 15","Maugerville",88,37,113,31,1,270,434
13003,"Fredericton/Fredericton"," 16","Fredericton",67,35,98,34,3,237,459
13003,"Fredericton/Fredericton"," 17","Fredericton",66,22,99,28,0,215,401
13003,"Fredericton/Fredericton"," 18","Fredericton",69,16,84,29,3,201,380
13003,"Fredericton/Fredericton"," 19","Fredericton",101,31,95,18,0,245,418
13003,"Fredericton/Fredericton"," 20","Fredericton",34,41,116,27,1,219,401
13003,"Fredericton/Fredericton"," 21","Fredericton",81,41,138,32,0,292,470
13003,"Fredericton/Fredericton"," 22","Fredericton",73,24,96,25,0,218,463
13003,"Fredericton/Fredericton"," 23","Fredericton",67,31,111,30,0,239,435
13003,"Fredericton/Fredericton"," 24","Fredericton",50,38,94,18,2,202,414
13003,"Fredericton/Fredericton"," 25","Devon 30",16,25,119,23,0,183,453
13003,"Fredericton/Fredericton"," 26","Fredericton",11,37,120,15,0,183,413
13003,"Fredericton/Fredericton"," 27","Fredericton",44,38,85,22,0,189,379
13003,"Fredericton/Fredericton"," 28","Fredericton",42,25,97,23,1,188,424
13003,"Fredericton/Fredericton"," 29","Fredericton",63,24,113,15,1,216,405
13003,"Fredericton/Fredericton"," 30","Fredericton",28,23,75,19,2,147,447
13003,"Fredericton/Fredericton"," 31","Fredericton",58,25,102,20,0,205,390
13003,"Fredericton/Fredericton"," 32","Fredericton",46,42,116,28,1,233,389
13003,"Fredericton/Fredericton"," 33","Fredericton",43,27,100,21,0,191,405
13003,"Fredericton/Fredericton"," 34","Fredericton",57,32,116,10,1,216,377
13003,"Fredericton/Fredericton"," 35","Fredericton",61,29,93,18,0,201,387
13003,"Fredericton/Fredericton"," 36","Fredericton",56,15,95,13,0,179,363
13003,"Fredericton/Fredericton"," 37","Fredericton",55,26,115,16,0,212,393
13003,"Fredericton/Fredericton"," 38","Fredericton",46,29,99,30,0,204,401
13003,"Fredericton/Fredericton"," 39","Fredericton",63,15,108,15,1,202,352
13003,"Fredericton/Fredericton"," 40","Fredericton",70,36,116,20,0,242,438
13003,"Fredericton/Fredericton"," 41","Fredericton",40,27,93,25,1,186,427
13003,"Fredericton/Fredericton"," 42","Fredericton",71,19,53,11,2,156,441
13003,"Fredericton/Fredericton"," 43","Fredericton",59,29,139,16,0,243,557
13003,"Fredericton/Fredericton"," 44","Fredericton",37,28,104,23,0,192,425
13003,"Fredericton/Fredericton"," 45","Fredericton",41,17,82,15,2,157,297
13003,"Fredericton/Fredericton"," 46","Fredericton",64,23,100,30,0,217,405
13003,"Fredericton/Fredericton"," 47","Fredericton",49,30,127,20,0,226,441
13003,"Fredericton/Fredericton"," 48","Fredericton",81,20,112,15,1,229,498
13003,"Fredericton/Fredericton"," 49","Fredericton",65,21,84,23,0,193,413
13003,"Fredericton/Fredericton"," 50A","Fredericton",84,26,128,30,1,269,443
13003,"Fredericton/Fredericton"," 50B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,49
13003,"Fredericton/Fredericton"," 51","Fredericton",46,21,79,16,0,162,308
13003,"Fredericton/Fredericton"," 52","Fredericton",50,21,92,11,0,174,330
13003,"Fredericton/Fredericton"," 53","Fredericton",80,43,112,17,0,252,419
13003,"Fredericton/Fredericton"," 54","Fredericton",60,26,116,24,0,226,426
13003,"Fredericton/Fredericton"," 55","Fredericton",60,21,107,19,1,208,439
13003,"Fredericton/Fredericton"," 56","Fredericton",74,21,116,14,1,226,422
13003,"Fredericton/Fredericton"," 57","Fredericton",35,55,118,25,2,235,459
13003,"Fredericton/Fredericton"," 58","Fredericton",31,54,127,20,0,232,454
13003,"Fredericton/Fredericton"," 59","Fredericton",62,30,100,19,1,212,412
13003,"Fredericton/Fredericton"," 60","Fredericton",29,48,100,16,1,194,415
13003,"Fredericton/Fredericton"," 61","Fredericton",13,27,56,15,1,112,345
13003,"Fredericton/Fredericton"," 62","Fredericton",34,32,136,41,2,245,517
13003,"Fredericton/Fredericton"," 63","Fredericton",21,39,131,24,2,217,431
13003,"Fredericton/Fredericton"," 64","Fredericton",27,37,141,42,1,248,487
13003,"Fredericton/Fredericton"," 65","Fredericton",45,24,97,13,1,180,367
13003,"Fredericton/Fredericton"," 66","Fredericton",13,46,92,16,0,167,399
13003,"Fredericton/Fredericton"," 67","Fredericton",19,52,78,22,0,171,391
13003,"Fredericton/Fredericton"," 68","Fredericton",21,42,92,21,1,177,450
13003,"Fredericton/Fredericton"," 69","Fredericton",10,42,95,17,0,164,386
13003,"Fredericton/Fredericton"," 70","Fredericton",22,64,122,32,0,240,431
13003,"Fredericton/Fredericton"," 71","Fredericton",21,47,109,18,0,195,394
13003,"Fredericton/Fredericton"," 72","Fredericton",48,40,138,14,2,242,411
13003,"Fredericton/Fredericton"," 73","Fredericton",45,24,120,14,1,204,445
13003,"Fredericton/Fredericton"," 74","Fredericton",29,50,108,25,1,213,437
13003,"Fredericton/Fredericton"," 75","Fredericton",36,30,118,21,0,205,429
13003,"Fredericton/Fredericton"," 76","Fredericton",24,38,117,22,0,201,517
13003,"Fredericton/Fredericton"," 77","Fredericton",24,34,117,11,0,186,418
13003,"Fredericton/Fredericton"," 78","Fredericton",34,47,114,21,0,216,418
13003,"Fredericton/Fredericton"," 79","Fredericton",43,46,89,5,0,183,408
13003,"Fredericton/Fredericton"," 80","Fredericton",61,42,126,16,0,245,423
13003,"Fredericton/Fredericton"," 81","Fredericton",40,20,92,21,0,173,412
13003,"Fredericton/Fredericton"," 82A","Fredericton",20,36,77,34,1,168,383
