Political affiliation/Appartenance politique,N.L. Valid Votes/Votes valides T.-N.-L.,P.E.I. Valid Votes/Votes valides Î.-P.-É.,N.S. Valid Votes/Votes valides N.-É.,N.B. Valid Votes/Votes valides N.-B.,Que. Valid Votes/Votes valides Qc,Ont. Valid Votes/Votes valides Ont.,Man. Valid Votes/Votes valides Man.,Sask. Valid Votes/Votes valides Sask.,Alta. Valid Votes/Votes valides Alb.,B.C. Valid Votes/Votes valides C.-B.,Y.T. Valid Votes/Votes valides Yn,N.W.T. Valid Votes/Votes valides T.N.-O.,Nun. Valid Votes/Votes valides Nt
"Alliance of the North/Alliance du Nord",0,0,0,0,136,0,0,0,0,0,0,0,0
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",0,0,0,0,0,1499,0,0,0,200,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,821144,0,0,0,0,0,0,0,0
"Canada Party/Parti Canada",0,0,0,0,0,0,0,271,0,0,0,0,0
"Canadian Action Party/Parti action canadienne",0,0,0,0,0,401,0,0,0,0,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,295,0,0,679,7791,2021,0,2786,1660,0,0,0
"Communist Party of Canada/Parti communiste du Canada",140,0,151,0,545,1571,135,0,486,1365,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",26469,16900,93697,112070,709164,2293393,224527,267937,1150101,708010,4928,3481,2956
"Democratic Advancement Party of Canada/Parti pour l'Avancement de la Démocratie au Canada",0,0,0,0,0,0,0,0,1187,0,0,0,0
"Forces et Démocratie/Forces et Démocratie",84,0,0,0,8059,131,0,0,0,0,0,0,0
"Green Party of Canada/Le Parti Vert du Canada",2772,5281,17630,20551,95395,185992,18944,11527,48742,194847,533,537,182
"Liberal Party of Canada/Parti libéral du Canada",165418,51002,324816,227764,1515673,2929393,268280,131681,473416,829816,10887,9172,5619
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,242,0,3197,15086,1137,528,9401,7184,0,0,0
"Marijuana Party/Parti Marijuana",0,0,0,0,0,1033,0,0,279,245,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,130,0,3008,3112,0,0,808,1780,0,0,0
"New Democratic Party/Nouveau Parti démocratique",54120,14006,85468,81105,1075366,1085916,81960,138574,224800,615156,3943,5783,3171
"Party for Accountability, Competency and Transparency/Parti pour la Responsabilisation, la Compétence et la Transparence",0,0,0,0,0,91,0,0,0,0,0,0,0
"Pirate Party of Canada/Parti Pirate du Canada",0,0,0,0,0,121,0,0,513,274,0,0,0
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,0,0,0,2781,0,0,957,738,0,0,0
"Rhinoceros Party/Parti Rhinocéros",0,0,184,0,5683,352,0,301,743,0,0,0,0
"Seniors Party of Canada/Parti des aînés du Canada",0,0,0,0,0,157,0,0,0,0,0,0,0
"The Bridge Party of Canada/Parti pour nouer des liens entre Canadiens",0,0,0,0,0,122,0,0,0,0,0,0,0
"United Party of Canada/Parti Uni du Canada",0,0,0,0,0,57,0,0,0,0,0,0,0
"Independent/Indépendant",0,0,1310,296,3335,11572,3499,1076,16422,3099,0,0,0
"No Affiliation/Aucune appartenance",7501,0,0,0,103,1001,0,0,0,402,0,0,0
