Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Amos,Colin Griffiths,Louis Lang,Nicolas Lepage,Pascal Médieu,Mathieu Ravignat,Benjamin Woodman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 1","Lac-Rapide",1,0,0,0,0,3,0,1,5,105
24057,"Pontiac/Pontiac"," 2","Grand-Remous",58,1,1,24,0,18,5,3,110,320
24057,"Pontiac/Pontiac"," 3","Grand-Remous",52,3,1,15,1,19,14,2,107,291
24057,"Pontiac/Pontiac"," 4","Grand-Remous",85,2,1,28,1,32,13,3,165,376
24057,"Pontiac/Pontiac"," 5","Lytton",48,1,0,10,0,11,7,0,77,206
24057,"Pontiac/Pontiac"," 6","Bois-Franc",91,2,0,42,1,40,38,3,217,356
24057,"Pontiac/Pontiac"," 7","Aumond",57,0,0,30,0,24,14,3,128,302
24057,"Pontiac/Pontiac"," 8","Aumond",85,2,0,26,1,27,11,1,153,297
24057,"Pontiac/Pontiac"," 9","Egan-Sud",81,0,0,39,1,28,10,1,160,389
24057,"Pontiac/Pontiac"," 10","Montcerf",100,1,2,29,2,55,10,3,202,383
24057,"Pontiac/Pontiac"," 11","Maniwaki",71,0,0,13,1,11,5,1,102,310
24057,"Pontiac/Pontiac"," 12","Maniwaki",72,1,0,10,1,16,7,2,109,318
24057,"Pontiac/Pontiac"," 13","Maniwaki",45,0,1,12,0,16,8,0,82,303
24057,"Pontiac/Pontiac"," 14","Maniwaki",40,0,0,5,0,12,5,1,63,243
24057,"Pontiac/Pontiac"," 15","Maniwaki",33,2,2,10,0,30,1,3,81,277
24057,"Pontiac/Pontiac"," 16","Kitigan Zibi",193,2,2,0,1,59,6,4,267,979
24057,"Pontiac/Pontiac"," 17","Déléage",78,2,0,16,0,32,15,2,145,371
24057,"Pontiac/Pontiac"," 18","Déléage",68,3,0,13,1,39,17,5,146,346
24057,"Pontiac/Pontiac"," 19","Déléage",61,1,1,17,2,13,11,2,108,281
24057,"Pontiac/Pontiac"," 20","Déléage",61,1,1,17,2,13,11,2,108,291
24057,"Pontiac/Pontiac"," 21","Déléage",75,0,4,20,0,33,14,1,147,323
24057,"Pontiac/Pontiac"," 22","Maniwaki",45,4,0,18,0,26,4,1,98,320
24057,"Pontiac/Pontiac"," 23","Maniwaki",70,0,0,18,1,29,16,0,134,322
24057,"Pontiac/Pontiac"," 24","Maniwaki",42,1,0,18,0,29,8,1,99,314
24057,"Pontiac/Pontiac"," 25","Maniwaki",52,2,1,13,0,16,9,0,93,295
24057,"Pontiac/Pontiac"," 26","Maniwaki",58,2,0,6,2,15,5,0,88,424
24057,"Pontiac/Pontiac"," 27","Maniwaki",39,1,0,13,0,29,8,4,94,284
24057,"Pontiac/Pontiac"," 28","Sainte-Thérèse-de-la-Gatineau",118,2,0,45,1,34,26,8,234,430
