Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William MacDonald Alexander,Rita Ann Fromholt,Fahed Khalid,Andrew Kucy,Lynn MacWilliam,Martin Shields,Frans VandeStroet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Bow River/Bow River"," 1","Linden",10,2,0,2,3,138,2,0,157,323
48003,"Bow River/Bow River"," 2","Linden",15,2,0,2,5,162,1,0,187,492
48003,"Bow River/Bow River"," 3","Linden",4,1,0,0,0,65,0,0,70,257
48003,"Bow River/Bow River"," 4","Acme",42,6,3,3,6,184,1,0,245,375
48003,"Bow River/Bow River"," 5","Acme",40,10,0,1,5,146,0,0,202,342
48003,"Bow River/Bow River"," 6","Swalwell",9,7,1,1,4,135,2,0,159,408
48003,"Bow River/Bow River"," 7","Swalwell",16,3,0,3,12,239,2,0,275,384
48003,"Bow River/Bow River"," 8","Carbon",18,6,0,1,6,222,2,0,255,366
48003,"Bow River/Bow River"," 9","Beiseker",16,2,1,6,7,166,1,1,200,308
48003,"Bow River/Bow River"," 10","Beiseker",29,8,0,2,8,133,0,0,180,300
48003,"Bow River/Bow River"," 11","Beiseker",40,9,2,4,7,120,0,1,183,272
48003,"Bow River/Bow River"," 12","Irricana",40,13,1,1,22,211,0,0,288,439
48003,"Bow River/Bow River"," 13","Irricana",60,20,0,8,17,242,0,2,349,494
48003,"Bow River/Bow River"," 14","Irricana",18,8,0,5,10,199,0,0,240,461
48003,"Bow River/Bow River"," 15","Keoma",24,5,1,5,12,234,0,1,282,408
48003,"Bow River/Bow River"," 16","Dalroy",30,4,0,4,6,188,2,0,234,316
48003,"Bow River/Bow River"," 17","Conrich",195,4,2,4,17,249,3,2,476,659
48003,"Bow River/Bow River"," 18","Chestermere",25,3,3,1,10,275,5,2,324,445
48003,"Bow River/Bow River"," 19","Chestermere",52,2,0,0,10,167,0,1,232,490
48003,"Bow River/Bow River"," 20A","Chestermere",77,3,1,2,18,172,2,0,275,543
48003,"Bow River/Bow River"," 20B","Chestermere",76,6,1,2,10,217,1,1,314,556
48003,"Bow River/Bow River"," 21","Chestermere",48,6,1,0,3,169,0,0,227,410
48003,"Bow River/Bow River"," 22","Chestermere",45,2,0,3,6,166,0,0,222,455
48003,"Bow River/Bow River"," 23","Chestermere",60,2,0,0,4,134,0,0,200,446
48003,"Bow River/Bow River"," 24","Chestermere",35,2,0,2,8,163,0,1,211,385
48003,"Bow River/Bow River"," 25","Chestermere",49,5,0,3,13,195,1,0,266,471
48003,"Bow River/Bow River"," 26","Chestermere",33,2,0,2,8,204,0,0,249,416
48003,"Bow River/Bow River"," 27","Chestermere",79,5,0,3,14,218,1,0,320,635
48003,"Bow River/Bow River"," 28","Rocky View No. 44",50,1,0,1,10,146,0,0,208,374
48003,"Bow River/Bow River"," 29","Chestermere",89,1,0,3,7,144,0,1,245,461
48003,"Bow River/Bow River"," 30","Chestermere",77,3,0,1,8,129,1,1,220,465
48003,"Bow River/Bow River"," 31","Chestermere",60,7,0,3,19,209,1,1,300,562
48003,"Bow River/Bow River"," 32","Chestermere",53,2,0,0,6,137,0,0,198,375
48003,"Bow River/Bow River"," 33","Chestermere",33,3,0,1,13,187,0,0,237,425
48003,"Bow River/Bow River"," 34","Chestermere",34,3,1,1,9,170,0,0,218,407
48003,"Bow River/Bow River"," 35","Chestermere",59,6,0,5,9,184,4,0,267,463
48003,"Bow River/Bow River"," 36","Chestermere",53,5,0,1,4,185,3,0,251,426
48003,"Bow River/Bow River"," 37","Chestermere",49,4,0,0,10,182,2,1,248,442
48003,"Bow River/Bow River"," 38","Chestermere",52,3,0,0,8,134,0,1,198,428
48003,"Bow River/Bow River"," 39","Chestermere",75,3,0,3,6,198,0,4,289,528
48003,"Bow River/Bow River"," 40A","Chestermere",65,3,0,9,14,256,2,1,350,595
48003,"Bow River/Bow River"," 40B","Chestermere",80,2,0,6,3,238,1,0,330,599
48003,"Bow River/Bow River"," 41","Rocky View No. 44",42,5,0,1,12,143,1,0,204,399
48003,"Bow River/Bow River"," 42","Rocky View No. 44",37,3,0,3,12,199,2,2,258,453
48003,"Bow River/Bow River"," 43","Chestermere",48,3,0,0,5,220,1,0,277,464
48003,"Bow River/Bow River"," 44","Chestermere",48,3,0,2,3,168,1,0,225,369
48003,"Bow River/Bow River"," 45","Chestermere",42,4,0,1,6,179,0,0,232,430
48003,"Bow River/Bow River"," 46","Rockyford",8,3,0,1,6,96,1,1,116,180
48003,"Bow River/Bow River"," 47","Strathmore",30,4,0,1,8,303,2,0,348,644
48003,"Bow River/Bow River"," 48","Namaka",29,4,0,6,6,280,0,0,325,576
48003,"Bow River/Bow River"," 49","Strathmore",42,2,0,3,12,337,2,1,399,789
48003,"Bow River/Bow River"," 50","Strathmore",35,2,0,4,13,168,2,0,224,371
48003,"Bow River/Bow River"," 51","Strathmore",30,4,0,2,10,128,2,1,177,452
48003,"Bow River/Bow River"," 52","Strathmore",32,8,0,1,8,154,0,0,203,371
48003,"Bow River/Bow River"," 53","Strathmore",34,2,0,5,4,136,0,0,181,396
48003,"Bow River/Bow River"," 54","Strathmore",36,3,0,6,8,171,2,4,230,446
48003,"Bow River/Bow River"," 55","Strathmore",41,5,0,0,11,134,2,2,195,463
48003,"Bow River/Bow River"," 56","Strathmore",41,3,0,0,10,145,1,0,200,470
48003,"Bow River/Bow River"," 57","Strathmore",37,10,0,4,11,116,1,1,180,393
48003,"Bow River/Bow River"," 58","Strathmore",25,1,0,4,7,129,0,1,167,358
48003,"Bow River/Bow River"," 59","Strathmore",33,5,0,1,19,188,1,0,247,460
48003,"Bow River/Bow River"," 60","Strathmore",37,5,1,7,18,224,1,1,294,551
48003,"Bow River/Bow River"," 61","Rockyford",22,2,1,0,3,144,1,0,173,310
48003,"Bow River/Bow River"," 62","Rockyford",21,12,1,2,11,158,0,0,205,391
48003,"Bow River/Bow River"," 63","Kneehill County",7,3,0,2,8,55,0,0,75,182
48003,"Bow River/Bow River"," 64","Drumheller--Nacmine",6,2,0,1,1,32,0,0,42,107
48003,"Bow River/Bow River"," 65","Dalum",19,4,0,1,4,151,4,0,183,255
48003,"Bow River/Bow River"," 66","Standard",23,2,0,1,6,186,2,2,222,309
48003,"Bow River/Bow River"," 67","Chancellor",7,1,0,0,3,152,1,0,164,265
48003,"Bow River/Bow River"," 68","Hussar",3,1,0,2,3,123,1,0,133,319
48003,"Bow River/Bow River"," 69","Hussar",15,2,0,2,5,132,0,0,156,323
48003,"Bow River/Bow River"," 70","Gleichen",34,13,0,3,36,136,1,0,223,440
48003,"Bow River/Bow River"," 71","Hussar",7,4,0,1,6,109,6,1,134,309
48003,"Bow River/Bow River"," 72","Siksika",1,0,0,0,5,0,0,0,6,32
48003,"Bow River/Bow River"," 73A","Siksika",18,2,0,0,38,4,0,0,62,400
48003,"Bow River/Bow River"," 73B","Siksika",16,0,0,1,35,6,0,0,58,450
48003,"Bow River/Bow River"," 73C","Siksika",23,4,0,0,38,5,0,0,70,413
48003,"Bow River/Bow River"," 74","Siksika",98,7,1,1,211,13,1,0,332,398
48003,"Bow River/Bow River"," 75","Siksika",81,8,4,1,258,14,0,2,368,310
48003,"Bow River/Bow River"," 76","Carseland",36,4,0,4,10,216,1,0,271,397
48003,"Bow River/Bow River"," 77","Carseland",40,4,2,10,19,250,1,2,328,495
48003,"Bow River/Bow River"," 78","Langdon",38,4,0,9,3,156,0,1,211,413
48003,"Bow River/Bow River"," 79","Langdon",31,2,0,11,10,181,1,0,236,376
48003,"Bow River/Bow River"," 80","Langdon",55,8,1,3,8,222,0,0,297,455
48003,"Bow River/Bow River"," 81","Langdon",39,4,0,11,3,207,0,0,264,431
48003,"Bow River/Bow River"," 82","Langdon",31,3,0,13,4,153,0,0,204,321
48003,"Bow River/Bow River"," 83","Langdon",58,7,0,21,22,312,2,0,422,645
48003,"Bow River/Bow River"," 84","Langdon",33,8,0,6,3,204,1,2,257,384
48003,"Bow River/Bow River"," 85","Langdon",28,2,0,10,10,136,0,0,186,322
48003,"Bow River/Bow River"," 86","Langdon",14,1,0,2,3,67,1,0,88,129
48003,"Bow River/Bow River"," 87","Langdon",47,9,0,15,10,294,1,0,376,615
48003,"Bow River/Bow River"," 88","Langdon",5,4,0,2,3,108,0,0,122,195
48003,"Bow River/Bow River"," 89","Indus",51,8,0,4,14,216,0,2,295,551
48003,"Bow River/Bow River"," 90","Indus",22,7,1,1,8,221,0,0,260,390
48003,"Bow River/Bow River"," 91","Mossleight",13,1,0,1,8,156,4,0,183,274
48003,"Bow River/Bow River"," 92","Arrowwood",13,3,0,0,1,199,2,0,218,419
48003,"Bow River/Bow River"," 93","Brant",18,3,0,2,5,142,1,0,171,362
48003,"Bow River/Bow River"," 94","Vulcan",31,8,0,2,9,181,0,0,231,431
48003,"Bow River/Bow River"," 95","Vulcan",33,10,0,3,7,168,0,0,221,345
48003,"Bow River/Bow River"," 96","Vulcan",18,3,0,2,10,167,0,1,201,390
48003,"Bow River/Bow River"," 97","Vulcan",19,6,0,0,14,180,1,0,220,508
48003,"Bow River/Bow River"," 98","Vulcan",13,4,0,0,12,176,0,1,206,399
48003,"Bow River/Bow River"," 99","Milo",12,3,0,1,7,189,0,0,212,378
48003,"Bow River/Bow River"," 100","Cassils",8,4,1,3,1,139,0,0,156,301
48003,"Bow River/Bow River"," 101","Bassano",10,2,0,0,2,131,0,0,145,390
48003,"Bow River/Bow River"," 102","Bassano",19,6,0,0,9,158,0,0,192,347
48003,"Bow River/Bow River"," 103","Bassano",20,2,0,1,9,109,0,0,141,296
48003,"Bow River/Bow River"," 104","Bassano",26,4,1,1,9,111,2,0,154,337
48003,"Bow River/Bow River"," 105","Gem",3,1,0,0,1,148,0,0,153,286
48003,"Bow River/Bow River"," 106","Rosemary",13,3,0,0,16,190,0,1,223,347
48003,"Bow River/Bow River"," 107","Rosemary",5,3,0,2,4,159,0,1,174,244
48003,"Bow River/Bow River"," 108","Duchess",9,4,0,3,6,239,4,0,265,431
48003,"Bow River/Bow River"," 109","Duchess",4,4,0,2,2,229,1,0,242,402
48003,"Bow River/Bow River"," 110","Duchess",7,1,0,0,5,190,5,0,208,360
48003,"Bow River/Bow River"," 111","Duchess",6,3,1,1,5,135,0,0,151,341
48003,"Bow River/Bow River"," 112A","Brooks",14,1,0,1,3,184,0,1,204,364
48003,"Bow River/Bow River"," 112B","Brooks",7,1,0,2,6,164,0,0,180,354
48003,"Bow River/Bow River"," 113","Brooks",24,3,0,0,14,298,1,0,340,644
48003,"Bow River/Bow River"," 114","Brooks",11,4,0,3,8,116,1,1,144,320
48003,"Bow River/Bow River"," 115","Brooks",51,3,1,0,5,116,0,2,178,395
48003,"Bow River/Bow River"," 116","Brooks",20,3,2,3,4,116,1,0,149,411
48003,"Bow River/Bow River"," 117","Brooks",38,3,0,3,7,120,0,1,172,349
48003,"Bow River/Bow River"," 118","Brooks",29,0,0,1,8,92,0,0,130,362
48003,"Bow River/Bow River"," 119","Brooks",35,3,0,2,10,119,0,1,170,400
48003,"Bow River/Bow River"," 120","Brooks",24,1,0,1,9,90,0,0,125,321
48003,"Bow River/Bow River"," 121","Brooks",24,3,2,1,11,182,1,1,225,486
48003,"Bow River/Bow River"," 122","Brooks",35,2,0,0,13,45,1,0,96,325
48003,"Bow River/Bow River"," 123","Brooks",27,5,2,0,4,127,0,3,168,429
48003,"Bow River/Bow River"," 124","Brooks",28,3,0,2,7,150,0,0,190,439
48003,"Bow River/Bow River"," 125","Brooks",23,3,0,1,11,139,1,1,179,378
48003,"Bow River/Bow River"," 126","Brooks",18,1,1,1,4,128,2,0,155,310
48003,"Bow River/Bow River"," 127","Brooks",6,2,0,2,2,166,0,0,178,366
48003,"Bow River/Bow River"," 128","Brooks",17,3,0,5,5,202,2,0,234,412
48003,"Bow River/Bow River"," 129","Brooks",30,3,0,3,7,150,1,0,194,452
48003,"Bow River/Bow River"," 130","Brooks",37,5,0,3,13,176,1,0,235,436
48003,"Bow River/Bow River"," 131","Brooks",22,6,0,1,10,167,1,0,207,432
48003,"Bow River/Bow River"," 132","Brooks",29,2,0,1,7,98,1,0,138,390
48003,"Bow River/Bow River"," 133","Brooks",28,3,0,1,3,139,2,0,176,410
48003,"Bow River/Bow River"," 134","Brooks",32,5,0,1,6,93,2,1,140,346
48003,"Bow River/Bow River"," 135","Tilley",15,3,1,1,7,217,3,0,247,437
48003,"Bow River/Bow River"," 136","Tilley",6,2,0,1,1,143,1,0,154,294
48003,"Bow River/Bow River"," 137","Rainier",7,0,0,3,4,203,1,0,218,391
48003,"Bow River/Bow River"," 138","Lomond",10,3,0,1,11,210,2,0,237,468
48003,"Bow River/Bow River"," 139","Champion",14,1,0,0,5,103,2,3,128,223
48003,"Bow River/Bow River"," 140","Champion",23,4,0,1,11,160,2,0,201,312
48003,"Bow River/Bow River"," 141","Carmangay",20,5,0,2,8,173,2,0,210,413
48003,"Bow River/Bow River"," 142","Enchant",12,3,0,1,2,203,5,0,226,469
48003,"Bow River/Bow River"," 143","Grantham",7,2,0,4,2,178,4,0,197,304
48003,"Bow River/Bow River"," 144","Vauxhall",29,8,1,4,16,211,4,1,274,508
48003,"Bow River/Bow River"," 145","Vauxhall",11,2,0,1,4,90,0,1,109,177
48003,"Bow River/Bow River"," 146A","Retlaw",6,2,0,0,0,81,1,0,90,298
48003,"Bow River/Bow River"," 146B","Vauxhall",Merged with No./Fusionné avec le n°145,,,,,,,,,92
48003,"Bow River/Bow River"," 147","Hays",10,2,0,7,2,189,4,0,214,335
48003,"Bow River/Bow River"," 148","Rolling Hills",17,4,0,3,6,181,1,1,213,364
48003,"Bow River/Bow River"," 149","Purple Springs",7,1,1,4,2,141,4,1,161,474
48003,"Bow River/Bow River"," 150","Purple Springs",5,1,0,1,0,93,4,0,104,341
48003,"Bow River/Bow River"," 151","Taber 14",5,4,0,3,5,187,3,1,208,412
48003,"Bow River/Bow River"," 152","Taber",16,5,1,2,9,242,2,0,277,534
48003,"Bow River/Bow River"," 153","Taber",26,5,0,0,11,159,0,0,201,428
48003,"Bow River/Bow River"," 154","Taber",26,7,0,3,20,189,2,0,247,466
48003,"Bow River/Bow River"," 155","Taber",17,0,0,3,13,201,0,1,235,441
48003,"Bow River/Bow River"," 156","Taber",26,1,0,3,12,137,0,1,180,417
48003,"Bow River/Bow River"," 157","Taber",20,1,0,2,9,140,0,1,173,422
48003,"Bow River/Bow River"," 158","Taber",35,8,2,3,14,141,1,0,204,440
48003,"Bow River/Bow River"," 159","Taber",20,5,0,2,18,131,6,1,183,389
48003,"Bow River/Bow River"," 160","Taber",22,3,1,5,8,241,1,2,283,503
48003,"Bow River/Bow River"," 161","Taber",13,5,1,4,8,141,6,0,178,409
48003,"Bow River/Bow River"," 162","Barnwell",19,4,0,3,5,201,2,0,234,386
48003,"Bow River/Bow River"," 163","Barnwell",18,1,0,0,0,83,6,0,108,235
