Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,France Duhamel,Brian Jenkins,Barek Kaddouri,Anthony Mavros,Eva Nassif,José Núñez Melo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24078,"Vimy/Vimy"," 1","Laval",35,1,32,14,133,2,6,223,436
24078,"Vimy/Vimy"," 2","Laval",79,1,63,39,102,1,1,286,480
24078,"Vimy/Vimy"," 3","Laval",84,0,54,35,122,3,2,300,464
24078,"Vimy/Vimy"," 4","Laval",95,1,50,23,94,4,1,268,434
24078,"Vimy/Vimy"," 5","Laval",40,1,49,42,113,3,4,252,439
24078,"Vimy/Vimy"," 6","Laval",33,0,27,15,60,3,1,139,332
24078,"Vimy/Vimy"," 7","Laval",43,1,48,17,81,9,1,200,422
24078,"Vimy/Vimy"," 8","Laval",73,0,61,27,68,8,1,238,424
24078,"Vimy/Vimy"," 9","Laval",70,1,54,24,84,4,5,242,430
24078,"Vimy/Vimy"," 10","Laval",50,1,58,16,64,9,6,204,421
24078,"Vimy/Vimy"," 11","Laval",28,1,45,14,55,8,2,153,372
24078,"Vimy/Vimy"," 12","Laval",67,3,66,15,95,3,12,261,466
24078,"Vimy/Vimy"," 13","Laval",65,3,63,22,89,10,5,257,457
24078,"Vimy/Vimy"," 14","Laval",57,2,35,13,91,12,0,210,473
24078,"Vimy/Vimy"," 15","Laval",39,0,49,25,102,7,7,229,408
24078,"Vimy/Vimy"," 16","Laval",45,0,63,22,76,12,7,225,511
24078,"Vimy/Vimy"," 17","Laval",45,2,44,19,81,5,4,200,401
24078,"Vimy/Vimy"," 18","Laval",45,2,28,21,108,9,4,217,368
24078,"Vimy/Vimy"," 19","Laval",55,1,42,24,95,5,8,230,381
24078,"Vimy/Vimy"," 20","Laval",30,0,40,21,104,5,0,200,418
24078,"Vimy/Vimy"," 21","Laval",30,0,32,27,120,2,2,213,425
24078,"Vimy/Vimy"," 22","Laval",26,0,49,11,95,5,6,192,412
24078,"Vimy/Vimy"," 23","Laval",45,0,46,16,85,9,6,207,404
24078,"Vimy/Vimy"," 24","Laval",27,1,35,24,72,5,1,165,371
24078,"Vimy/Vimy"," 25","Laval",26,1,21,17,64,6,0,135,328
24078,"Vimy/Vimy"," 26","Laval",54,5,37,26,90,5,4,221,381
24078,"Vimy/Vimy"," 27","Laval",37,1,55,13,58,5,6,175,498
24078,"Vimy/Vimy"," 28","Laval",41,0,44,29,69,5,2,190,460
24078,"Vimy/Vimy"," 29","Laval",42,1,44,23,82,4,7,203,501
24078,"Vimy/Vimy"," 30","Laval",14,2,32,4,32,6,7,97,219
24078,"Vimy/Vimy"," 31","Laval",28,1,73,12,57,3,6,180,402
24078,"Vimy/Vimy"," 32","Laval",75,2,36,35,137,8,3,296,527
24078,"Vimy/Vimy"," 33","Laval",32,1,29,12,69,7,3,153,394
24078,"Vimy/Vimy"," 34","Laval",33,0,19,17,54,1,4,128,355
24078,"Vimy/Vimy"," 35","Laval",43,0,28,18,64,5,1,159,334
24078,"Vimy/Vimy"," 36","Laval",29,1,14,34,115,3,4,200,445
24078,"Vimy/Vimy"," 37","Laval",49,1,39,17,71,4,3,184,385
24078,"Vimy/Vimy"," 38","Laval",64,0,33,20,101,8,4,230,444
24078,"Vimy/Vimy"," 39","Laval",51,0,31,16,81,4,8,191,431
24078,"Vimy/Vimy"," 40","Laval",36,2,37,18,95,3,4,195,492
24078,"Vimy/Vimy"," 41","Laval",63,1,23,14,122,6,0,229,488
24078,"Vimy/Vimy"," 42","Laval",44,2,34,20,73,3,0,176,416
24078,"Vimy/Vimy"," 43","Laval",46,1,47,12,52,2,3,163,420
24078,"Vimy/Vimy"," 44","Laval",42,2,44,17,53,7,5,170,417
24078,"Vimy/Vimy"," 45","Laval",25,0,41,17,103,2,3,191,450
24078,"Vimy/Vimy"," 46","Laval",43,4,62,40,117,10,4,280,496
24078,"Vimy/Vimy"," 47","Laval",43,2,38,34,85,2,4,208,414
24078,"Vimy/Vimy"," 48","Laval",61,1,42,38,121,4,6,273,455
24078,"Vimy/Vimy"," 49","Laval",48,1,30,34,103,4,6,226,451
24078,"Vimy/Vimy"," 50","Laval",44,1,42,58,115,7,5,272,424
24078,"Vimy/Vimy"," 51","Laval",33,0,39,22,85,3,6,188,400
24078,"Vimy/Vimy"," 52","Laval",44,0,45,25,158,8,3,283,445
24078,"Vimy/Vimy"," 53","Laval",41,0,28,16,74,7,3,169,464
24078,"Vimy/Vimy"," 54","Laval",67,0,35,34,177,6,9,328,521
24078,"Vimy/Vimy"," 55","Laval",22,0,31,16,100,4,4,177,323
24078,"Vimy/Vimy"," 56","Laval",59,2,41,32,125,6,2,267,485
24078,"Vimy/Vimy"," 57","Laval",42,2,28,31,110,8,3,224,383
24078,"Vimy/Vimy"," 58","Laval",48,4,46,42,109,8,2,259,448
24078,"Vimy/Vimy"," 59","Laval",74,2,49,39,117,4,1,286,445
24078,"Vimy/Vimy"," 60","Laval",43,0,40,50,109,5,3,250,461
24078,"Vimy/Vimy"," 61","Laval",59,1,24,25,166,3,7,285,510
24078,"Vimy/Vimy"," 62","Laval",22,1,40,14,115,5,4,201,419
24078,"Vimy/Vimy"," 63","Laval",35,1,42,14,63,5,3,163,461
24078,"Vimy/Vimy"," 64","Laval",45,0,35,14,57,8,1,160,401
24078,"Vimy/Vimy"," 65","Laval",62,1,45,11,65,2,6,192,433
24078,"Vimy/Vimy"," 66","Laval",50,2,55,8,63,5,3,186,446
24078,"Vimy/Vimy"," 67","Laval",63,0,48,16,70,8,6,211,417
24078,"Vimy/Vimy"," 68","Laval",41,0,31,21,89,7,4,193,403
24078,"Vimy/Vimy"," 69","Laval",65,0,51,18,76,9,7,226,526
24078,"Vimy/Vimy"," 70","Laval",58,2,40,16,95,5,5,221,534
24078,"Vimy/Vimy"," 71","Laval",40,0,64,17,84,6,6,217,425
24078,"Vimy/Vimy"," 72","Laval",66,0,46,17,103,5,2,239,496
24078,"Vimy/Vimy"," 73","Laval",54,1,50,25,61,3,2,196,428
24078,"Vimy/Vimy"," 74","Laval",30,1,25,29,77,5,0,167,432
24078,"Vimy/Vimy"," 75","Laval",47,0,46,17,57,6,0,173,368
24078,"Vimy/Vimy"," 76","Laval",61,2,44,28,74,5,4,218,369
24078,"Vimy/Vimy"," 77","Laval",37,2,36,23,68,5,3,174,365
24078,"Vimy/Vimy"," 78","Laval",68,0,38,19,63,5,0,193,410
24078,"Vimy/Vimy"," 79","Laval",50,0,53,19,74,3,4,203,419
24078,"Vimy/Vimy"," 80","Laval",31,1,32,18,106,4,2,194,355
24078,"Vimy/Vimy"," 81","Laval",34,1,29,24,67,4,1,160,424
24078,"Vimy/Vimy"," 82","Laval",36,0,23,7,58,3,3,130,363
