Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valérie Assouline,Frank Baylis,Lysane Blanchette-Lamothe,Natalie Laplante,Abraham Weizfeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 600","Saint-Raphaël-de-l'Île-Bizard",185,523,263,87,11,11,1080,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 601","Saint-Raphaël-de-l'Île-Bizard",194,474,239,72,17,3,999,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 602","Pierrefonds",186,587,188,42,5,7,1015,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 603","Pierrefonds",164,590,256,32,13,11,1066,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 604","Pierrefonds",131,432,151,20,14,4,752,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 605","Roxboro",163,509,253,57,20,8,1010,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 606","Montréal",182,516,280,32,12,4,1026,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 607","Pierrefonds",117,414,100,11,13,4,659,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 608","Montréal",135,397,116,4,6,1,659,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 609","Dollard-des-Ormeaux",291,502,97,7,9,1,907,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 610","Dollard-des-Ormeaux",300,501,99,5,15,1,921,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 611","Dollard-des-Ormeaux",466,438,88,6,4,11,1013,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 612","Dollard-des-Ormeaux",197,589,136,12,13,6,953,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 613","Dollard-des-Ormeaux",202,590,112,11,16,4,935,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard",,"Group 1/Groupe 1",19,60,22,1,3,8,113,98
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard",,"Group 2/Groupe 2",598,890,410,31,27,26,1982,
