Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Anabusi,Mini Batra,Chris Jewell,Lisa Raitt,Azim Rizvee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Milton/Milton"," 1","Milton",23,7,5,98,97,0,230,482
35057,"Milton/Milton"," 2","Milton",35,1,3,118,121,1,279,529
35057,"Milton/Milton"," 3","Milton",33,7,4,137,109,3,293,520
35057,"Milton/Milton"," 4","Milton",29,6,6,103,119,1,264,479
35057,"Milton/Milton"," 5","Milton",37,1,3,73,89,0,203,432
35057,"Milton/Milton"," 6","Milton",29,4,2,80,109,3,227,510
35057,"Milton/Milton"," 7","Milton",Merged with No./Fusionné avec le n°5,,,,,,,53
35057,"Milton/Milton"," 8A","Milton",18,1,4,54,61,0,138,255
35057,"Milton/Milton"," 8B","Milton",24,4,3,66,61,1,159,318
35057,"Milton/Milton"," 9","Milton",24,0,1,83,63,1,172,356
35057,"Milton/Milton"," 10","Milton",14,4,2,47,63,2,132,353
35057,"Milton/Milton"," 11","Milton",21,4,1,91,107,0,224,502
35057,"Milton/Milton"," 12A","Milton",20,1,3,57,67,2,150,292
35057,"Milton/Milton"," 12B","Milton",21,3,1,75,81,1,182,313
35057,"Milton/Milton"," 13","Milton",19,2,5,79,57,0,162,378
35057,"Milton/Milton"," 14A","Milton",39,5,1,117,151,1,314,553
35057,"Milton/Milton"," 14B","Milton",24,3,0,68,110,2,207,404
35057,"Milton/Milton"," 15","Milton",33,2,3,111,101,1,251,452
35057,"Milton/Milton"," 16","Milton",27,7,2,92,81,0,209,380
35057,"Milton/Milton"," 17","Milton",30,5,1,130,97,1,264,500
35057,"Milton/Milton"," 18","Milton",15,7,0,96,84,0,202,394
35057,"Milton/Milton"," 19","Milton",20,1,5,96,69,0,191,397
35057,"Milton/Milton"," 20A","Milton",19,3,2,79,65,0,168,293
35057,"Milton/Milton"," 20B","Milton",10,1,0,81,64,2,158,289
35057,"Milton/Milton"," 21","Milton",23,4,2,100,99,2,230,470
35057,"Milton/Milton"," 22","Milton",17,3,3,66,81,2,172,377
35057,"Milton/Milton"," 23","Milton",29,4,2,79,88,2,204,417
35057,"Milton/Milton"," 24","Milton",18,1,2,98,74,0,193,404
35057,"Milton/Milton"," 25","Milton",22,5,3,95,97,0,222,436
35057,"Milton/Milton"," 26","Milton",13,4,3,85,96,0,201,443
35057,"Milton/Milton"," 27","Milton",16,1,6,93,105,0,221,428
35057,"Milton/Milton"," 28","Milton",20,8,0,158,135,3,324,526
35057,"Milton/Milton"," 29","Milton",33,4,0,131,78,0,246,419
35057,"Milton/Milton"," 30","Milton",32,16,2,131,114,5,300,476
35057,"Milton/Milton"," 31","Milton",27,13,4,141,89,1,275,442
35057,"Milton/Milton"," 32","Milton",28,4,4,129,66,3,234,419
35057,"Milton/Milton"," 33","Milton",34,8,5,101,85,1,234,416
35057,"Milton/Milton"," 34","Milton",16,2,2,63,37,0,120,268
35057,"Milton/Milton"," 35","Milton",28,10,10,158,110,2,318,528
35057,"Milton/Milton"," 36","Milton",30,9,3,152,66,2,262,440
35057,"Milton/Milton"," 37","Milton",22,2,1,106,83,0,214,383
35057,"Milton/Milton"," 38","Milton",34,13,2,165,126,2,342,574
35057,"Milton/Milton"," 39","Milton",17,5,1,104,67,0,194,344
35057,"Milton/Milton"," 40","Milton",25,5,3,122,68,0,223,416
35057,"Milton/Milton"," 41","Milton",27,5,3,129,120,0,284,490
35057,"Milton/Milton"," 42","Milton",26,0,4,122,79,0,231,387
35057,"Milton/Milton"," 43","Milton",24,8,3,85,48,1,169,323
35057,"Milton/Milton"," 44","Milton",29,10,8,80,67,1,195,489
35057,"Milton/Milton"," 45","Milton",43,6,5,103,97,0,254,459
35057,"Milton/Milton"," 46","Milton",17,3,3,82,47,0,152,276
35057,"Milton/Milton"," 47","Milton",19,5,2,73,41,0,140,321
35057,"Milton/Milton"," 48","Milton",25,3,0,113,71,0,212,379
35057,"Milton/Milton"," 49","Milton",43,8,2,158,83,0,294,469
35057,"Milton/Milton"," 50","Milton",39,7,1,136,78,0,261,445
35057,"Milton/Milton"," 51","Milton",23,12,2,163,105,0,305,485
35057,"Milton/Milton"," 52","Milton",22,4,1,138,99,0,264,474
35057,"Milton/Milton"," 53","Milton",9,12,2,123,84,0,230,429
35057,"Milton/Milton"," 54","Milton",23,2,2,62,82,0,171,328
35057,"Milton/Milton"," 55","Milton",22,1,1,93,127,1,245,467
35057,"Milton/Milton"," 56","Milton",22,3,5,127,143,3,303,517
35057,"Milton/Milton"," 57","Milton",25,8,4,136,105,1,279,467
35057,"Milton/Milton"," 58","Milton",23,5,1,105,109,1,244,468
35057,"Milton/Milton"," 59","Milton",22,3,4,100,117,0,246,492
35057,"Milton/Milton"," 60","Milton",14,2,1,84,82,1,184,349
35057,"Milton/Milton"," 61","Milton",23,6,1,123,88,2,243,428
35057,"Milton/Milton"," 62","Milton",15,4,3,111,107,0,240,423
35057,"Milton/Milton"," 63","Milton",11,0,2,143,83,0,239,440
35057,"Milton/Milton"," 64A","Milton",5,0,0,58,78,0,141,272
35057,"Milton/Milton"," 64B","Milton",18,1,1,62,64,0,146,302
35057,"Milton/Milton"," 65","Milton",22,0,1,91,111,3,228,468
35057,"Milton/Milton"," 66","Milton",37,6,1,112,110,1,267,476
35057,"Milton/Milton"," 67","Milton",18,5,3,114,106,5,251,457
35057,"Milton/Milton"," 68","Milton",45,6,5,99,80,0,235,415
35057,"Milton/Milton"," 69","Milton",30,4,4,86,77,0,201,369
35057,"Milton/Milton"," 70","Milton",26,6,0,94,86,0,212,388
35057,"Milton/Milton"," 71","Milton",29,1,1,75,93,5,204,407
35057,"Milton/Milton"," 72","Milton",24,1,3,128,77,1,234,389
35057,"Milton/Milton"," 73","Milton",20,5,3,100,100,0,228,453
35057,"Milton/Milton"," 74","Milton",14,3,1,122,102,1,243,411
35057,"Milton/Milton"," 75","Milton",31,4,3,155,126,0,319,530
35057,"Milton/Milton"," 76","Milton",29,11,4,120,108,0,272,480
35057,"Milton/Milton"," 77","Milton",35,5,1,94,105,0,240,461
35057,"Milton/Milton"," 78","Milton",40,2,1,101,96,3,243,470
35057,"Milton/Milton"," 79","Milton",43,7,0,138,75,3,266,471
35057,"Milton/Milton"," 80","Milton",24,6,4,94,86,0,214,420
35057,"Milton/Milton"," 81","Milton",24,5,0,85,95,0,209,436
35057,"Milton/Milton"," 82","Milton",31,6,1,114,101,1,254,519
35057,"Milton/Milton"," 83","Milton",24,6,4,84,109,0,227,431
35057,"Milton/Milton"," 84A","Milton",16,2,0,53,64,2,137,247
35057,"Milton/Milton"," 84B","Milton",27,2,4,52,72,2,159,319
35057,"Milton/Milton"," 85","Milton",27,6,0,108,97,1,239,410
35057,"Milton/Milton"," 86","Milton",15,2,2,94,106,0,219,469
35057,"Milton/Milton"," 87","Milton",30,4,1,110,79,1,225,433
35057,"Milton/Milton"," 88","Milton",25,4,0,86,74,0,189,380
35057,"Milton/Milton"," 89","Milton",33,6,1,119,73,0,232,404
35057,"Milton/Milton"," 90","Milton",40,8,4,146,114,2,314,509
35057,"Milton/Milton"," 91","Milton",19,13,2,144,83,0,261,427
35057,"Milton/Milton"," 92","Milton",16,6,0,112,76,0,210,380
35057,"Milton/Milton"," 93","Milton",23,6,0,119,70,0,218,460
35057,"Milton/Milton"," 94","Milton",28,7,1,99,70,0,205,409
35057,"Milton/Milton"," 95","Milton",30,10,1,113,86,1,241,422
35057,"Milton/Milton"," 96","Milton",27,17,7,112,64,2,229,428
35057,"Milton/Milton"," 97","Milton",18,10,5,64,63,0,160,330
