Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elizabeth Abbott,Julie Dabrusin,Benjamin Dichter,John Richardson,Craig Scott,Chris Tolley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35109,"Toronto--Danforth/Toronto--Danforth"," 56","East York",1,103,32,5,66,4,1,212,423
35109,"Toronto--Danforth/Toronto--Danforth"," 57","Toronto",0,107,18,9,73,10,1,218,417
35109,"Toronto--Danforth/Toronto--Danforth"," 58","East York",1,96,18,6,82,14,0,217,365
35109,"Toronto--Danforth/Toronto--Danforth"," 59","Toronto",2,93,13,2,77,10,0,197,386
35109,"Toronto--Danforth/Toronto--Danforth"," 60","Toronto",1,79,23,3,75,9,2,192,386
35109,"Toronto--Danforth/Toronto--Danforth"," 61","Toronto",1,87,26,2,77,8,1,202,377
35109,"Toronto--Danforth/Toronto--Danforth"," 62","Toronto",2,103,15,1,63,14,1,199,419
35109,"Toronto--Danforth/Toronto--Danforth"," 63","East York",1,91,42,5,47,7,0,193,398
35109,"Toronto--Danforth/Toronto--Danforth"," 64","East York",0,99,35,5,78,1,2,220,381
35109,"Toronto--Danforth/Toronto--Danforth"," 65","East York",0,62,16,7,38,4,0,127,298
35109,"Toronto--Danforth/Toronto--Danforth"," 66","East York",0,98,21,11,66,5,0,201,366
35109,"Toronto--Danforth/Toronto--Danforth"," 67","Toronto",0,108,21,6,78,15,2,230,428
35109,"Toronto--Danforth/Toronto--Danforth"," 68","Toronto",2,74,9,6,85,4,1,181,389
35109,"Toronto--Danforth/Toronto--Danforth"," 69","Toronto",0,87,18,3,98,11,3,220,442
35109,"Toronto--Danforth/Toronto--Danforth"," 70","Toronto",5,91,18,1,62,7,5,189,497
35109,"Toronto--Danforth/Toronto--Danforth"," 71","Toronto",0,64,11,2,76,8,1,162,303
35109,"Toronto--Danforth/Toronto--Danforth"," 72","Toronto",0,91,18,5,79,11,2,206,389
