Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yumi Yow Mei Ang,Gisèle DesRoches,Martin Leclerc,Manon Perreault,Luc Thériault,Louis-Charles Thouin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 1","Saint-Liguori",3,20,69,0,64,69,5,230,383
24050,"Montcalm/Montcalm"," 2","Saint-Liguori",5,14,51,4,67,75,8,224,355
24050,"Montcalm/Montcalm"," 3","Saint-Liguori",6,4,62,5,101,67,8,253,409
24050,"Montcalm/Montcalm"," 4","Saint-Liguori",4,25,48,8,73,67,7,232,369
24050,"Montcalm/Montcalm"," 5","Saint-Jacques",6,13,48,3,53,57,5,185,387
24050,"Montcalm/Montcalm"," 6","Saint-Jacques",4,9,43,6,48,41,2,153,322
24050,"Montcalm/Montcalm"," 7","Saint-Jacques",8,13,36,2,55,39,5,158,350
24050,"Montcalm/Montcalm"," 8","Saint-Jacques",2,10,39,4,47,61,5,168,338
24050,"Montcalm/Montcalm"," 9","Saint-Jacques",2,18,44,4,50,40,4,162,358
24050,"Montcalm/Montcalm"," 10","Saint-Jacques",5,19,39,5,45,44,1,158,293
24050,"Montcalm/Montcalm"," 11","Saint-Jacques",3,8,38,6,56,36,1,148,296
24050,"Montcalm/Montcalm"," 12","Saint-Jacques",3,9,41,5,54,44,4,160,337
24050,"Montcalm/Montcalm"," 13","Saint-Jacques",3,14,32,3,44,37,1,134,262
24050,"Montcalm/Montcalm"," 14","Saint-Jacques",7,14,37,2,74,32,4,170,279
24050,"Montcalm/Montcalm"," 15","Sainte-Marie-Salomé",5,19,48,15,75,36,4,202,308
24050,"Montcalm/Montcalm"," 16","Sainte-Marie-Salomé",1,8,41,10,65,51,5,181,262
24050,"Montcalm/Montcalm"," 17","Sainte-Marie-Salomé",6,25,55,17,111,48,2,264,408
24050,"Montcalm/Montcalm"," 18","L'Épiphanie",4,27,64,0,126,78,9,308,553
24050,"Montcalm/Montcalm"," 19","L'Épiphanie",3,31,45,2,106,54,1,242,481
24050,"Montcalm/Montcalm"," 20","L'Épiphanie",3,10,33,2,70,59,4,181,411
24050,"Montcalm/Montcalm"," 21","L'Épiphanie",11,9,49,0,98,48,6,221,376
24050,"Montcalm/Montcalm"," 22","L'Épiphanie",2,26,44,0,93,37,9,211,414
24050,"Montcalm/Montcalm"," 23","L'Épiphanie",4,10,37,0,87,47,3,188,405
24050,"Montcalm/Montcalm"," 24","L'Épiphanie",7,10,33,0,88,31,5,174,325
24050,"Montcalm/Montcalm"," 25","L'Épiphanie",7,18,33,5,75,31,3,172,351
24050,"Montcalm/Montcalm"," 26","L'Épiphanie",3,12,40,2,65,59,6,187,448
24050,"Montcalm/Montcalm"," 27","L'Épiphanie",4,28,33,2,83,74,6,230,428
24050,"Montcalm/Montcalm"," 28","L'Épiphanie",4,16,71,1,116,83,5,296,559
24050,"Montcalm/Montcalm"," 29","L'Épiphanie",5,3,20,2,74,36,4,144,399
24050,"Montcalm/Montcalm"," 30","L'Épiphanie",4,15,33,1,57,36,6,152,364
24050,"Montcalm/Montcalm"," 31","L'Épiphanie",7,8,63,4,90,44,5,221,419
24050,"Montcalm/Montcalm"," 32","L'Épiphanie",4,10,38,1,78,48,4,183,379
24050,"Montcalm/Montcalm"," 33","L'Épiphanie",0,23,44,0,74,32,4,177,356
24050,"Montcalm/Montcalm"," 34","Saint-Roch-de-l'Achigan",4,20,57,2,92,46,0,221,396
24050,"Montcalm/Montcalm"," 35","Saint-Roch-de-l'Achigan",1,10,33,4,73,38,2,161,352
24050,"Montcalm/Montcalm"," 36","Saint-Roch-de-l'Achigan",3,17,40,1,65,45,0,171,402
24050,"Montcalm/Montcalm"," 37","Saint-Roch-de-l'Achigan",1,14,43,3,62,41,1,165,375
24050,"Montcalm/Montcalm"," 38","Saint-Roch-de-l'Achigan",4,11,34,4,61,52,2,168,307
24050,"Montcalm/Montcalm"," 39","Saint-Roch-Ouest",4,16,65,5,70,51,5,216,415
24050,"Montcalm/Montcalm"," 40","Saint-Roch-de-l'Achigan",3,11,30,2,56,39,2,143,338
24050,"Montcalm/Montcalm"," 41","Saint-Roch-de-l'Achigan",0,5,32,0,63,30,0,130,259
24050,"Montcalm/Montcalm"," 42","Saint-Roch-Ouest",4,17,39,2,28,47,2,139,242
24050,"Montcalm/Montcalm"," 43","Saint-Roch-de-l'Achigan",4,20,57,1,81,55,7,225,403
