Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Parm Gill,Harinderpal Hundal,Ruby Sahota,Martin Singh,Pauline Thornham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35010,"Brampton North/Brampton-Nord"," 1","Brampton",40,1,104,29,0,4,178,371
35010,"Brampton North/Brampton-Nord"," 2","Brampton",42,0,106,22,4,1,175,373
35010,"Brampton North/Brampton-Nord"," 3","Brampton",30,2,104,42,1,0,179,353
35010,"Brampton North/Brampton-Nord"," 4","Brampton",28,0,118,39,3,6,194,450
35010,"Brampton North/Brampton-Nord"," 5","Brampton",48,3,102,32,4,3,192,425
35010,"Brampton North/Brampton-Nord"," 6","Brampton",39,0,115,75,2,1,232,477
35010,"Brampton North/Brampton-Nord"," 7","Brampton",34,0,83,20,5,1,143,360
35010,"Brampton North/Brampton-Nord"," 8","Brampton",46,0,88,10,0,1,145,349
35010,"Brampton North/Brampton-Nord"," 9","Brampton",57,1,123,24,1,4,210,503
35010,"Brampton North/Brampton-Nord"," 10","Brampton",35,1,122,24,1,3,186,392
35010,"Brampton North/Brampton-Nord"," 11","Brampton",51,1,85,41,3,4,185,395
35010,"Brampton North/Brampton-Nord"," 12","Brampton",46,0,98,38,3,3,188,370
35010,"Brampton North/Brampton-Nord"," 13","Brampton",28,0,92,28,3,3,154,345
35010,"Brampton North/Brampton-Nord"," 14","Brampton",24,0,96,31,2,1,154,395
35010,"Brampton North/Brampton-Nord"," 15","Brampton",34,0,108,37,2,2,183,378
35010,"Brampton North/Brampton-Nord"," 16","Brampton",42,0,87,56,2,2,189,405
35010,"Brampton North/Brampton-Nord"," 17","Brampton",51,2,128,33,4,3,221,410
35010,"Brampton North/Brampton-Nord"," 18","Brampton",47,0,102,47,0,2,198,414
35010,"Brampton North/Brampton-Nord"," 19","Brampton",66,0,98,24,2,11,201,411
35010,"Brampton North/Brampton-Nord"," 20","Brampton",45,2,110,60,2,3,222,469
35010,"Brampton North/Brampton-Nord"," 21","Brampton",28,0,76,35,1,1,141,317
35010,"Brampton North/Brampton-Nord"," 22","Brampton",70,0,73,12,3,0,158,357
35010,"Brampton North/Brampton-Nord"," 23","Brampton",68,0,103,27,4,0,202,378
35010,"Brampton North/Brampton-Nord"," 24","Brampton",74,0,85,37,8,4,208,379
35010,"Brampton North/Brampton-Nord"," 25","Brampton",82,0,119,30,7,0,238,409
35010,"Brampton North/Brampton-Nord"," 26","Brampton",59,0,90,28,4,1,182,354
35010,"Brampton North/Brampton-Nord"," 27","Brampton",86,1,124,36,5,0,252,445
35010,"Brampton North/Brampton-Nord"," 28","Brampton",98,1,136,39,12,1,287,456
35010,"Brampton North/Brampton-Nord"," 29","Brampton",48,1,95,41,2,0,187,414
35010,"Brampton North/Brampton-Nord"," 30","Brampton",85,0,122,41,7,0,255,455
35010,"Brampton North/Brampton-Nord"," 31","Brampton",98,1,127,36,11,1,274,485
35010,"Brampton North/Brampton-Nord"," 32","Brampton",98,1,114,19,8,2,242,421
35010,"Brampton North/Brampton-Nord"," 33","Brampton",81,1,105,26,16,0,229,404
35010,"Brampton North/Brampton-Nord"," 34","Brampton",73,1,84,23,5,0,186,337
35010,"Brampton North/Brampton-Nord"," 35","Brampton",88,0,128,20,4,3,243,457
35010,"Brampton North/Brampton-Nord"," 36","Brampton",86,2,119,56,10,1,274,511
35010,"Brampton North/Brampton-Nord"," 37","Brampton",96,0,100,39,6,4,245,457
35010,"Brampton North/Brampton-Nord"," 38","Brampton",70,0,91,30,8,1,200,391
35010,"Brampton North/Brampton-Nord"," 39","Brampton",80,1,92,22,8,2,205,386
35010,"Brampton North/Brampton-Nord"," 40","Brampton",64,0,86,24,2,0,176,357
35010,"Brampton North/Brampton-Nord"," 41","Brampton",44,0,71,24,4,1,144,319
35010,"Brampton North/Brampton-Nord"," 42","Brampton",102,0,145,27,9,0,283,493
35010,"Brampton North/Brampton-Nord"," 43","Brampton",128,0,117,42,6,3,296,517
35010,"Brampton North/Brampton-Nord"," 44","Brampton",66,1,94,15,4,0,180,374
35010,"Brampton North/Brampton-Nord"," 45","Brampton",46,1,80,28,1,1,157,344
35010,"Brampton North/Brampton-Nord"," 46","Brampton",61,1,93,21,7,3,186,419
35010,"Brampton North/Brampton-Nord"," 47","Brampton",55,1,80,48,2,3,189,393
35010,"Brampton North/Brampton-Nord"," 48","Brampton",52,0,112,53,1,9,227,473
35010,"Brampton North/Brampton-Nord"," 49","Brampton",50,1,123,43,3,3,223,508
35010,"Brampton North/Brampton-Nord"," 50","Brampton",63,1,118,62,4,0,248,532
35010,"Brampton North/Brampton-Nord"," 51","Brampton",43,2,125,52,1,3,226,453
35010,"Brampton North/Brampton-Nord"," 52","Brampton",73,0,115,38,6,2,234,510
35010,"Brampton North/Brampton-Nord"," 53","Brampton",49,0,89,38,3,0,179,458
35010,"Brampton North/Brampton-Nord"," 54","Brampton",46,1,84,27,1,2,161,356
35010,"Brampton North/Brampton-Nord"," 55","Brampton",41,0,98,36,1,1,177,489
35010,"Brampton North/Brampton-Nord"," 56","Brampton",26,0,63,23,1,0,113,316
35010,"Brampton North/Brampton-Nord"," 57","Brampton",43,0,125,60,4,3,235,519
35010,"Brampton North/Brampton-Nord"," 58","Brampton",52,0,94,32,6,2,186,410
35010,"Brampton North/Brampton-Nord"," 59","Brampton",42,0,128,49,3,0,222,442
35010,"Brampton North/Brampton-Nord"," 60","Brampton",41,2,113,48,2,0,206,464
35010,"Brampton North/Brampton-Nord"," 61","Brampton",35,1,108,58,2,3,207,490
35010,"Brampton North/Brampton-Nord"," 62","Brampton",51,0,133,46,1,0,231,559
35010,"Brampton North/Brampton-Nord"," 63","Brampton",59,1,139,43,1,1,244,486
35010,"Brampton North/Brampton-Nord"," 64","Brampton",41,0,79,37,4,0,161,422
35010,"Brampton North/Brampton-Nord"," 65","Brampton",32,0,81,28,0,2,143,298
35010,"Brampton North/Brampton-Nord"," 66","Brampton",22,0,77,56,2,1,158,344
35010,"Brampton North/Brampton-Nord"," 67","Brampton",40,0,83,43,2,1,169,409
35010,"Brampton North/Brampton-Nord"," 68","Brampton",66,1,155,46,1,3,272,530
35010,"Brampton North/Brampton-Nord"," 69","Brampton",64,2,166,35,3,1,271,539
35010,"Brampton North/Brampton-Nord"," 70","Brampton",32,1,131,27,0,0,191,471
35010,"Brampton North/Brampton-Nord"," 71","Brampton",33,2,75,16,4,2,132,350
35010,"Brampton North/Brampton-Nord"," 72","Brampton",36,1,81,26,2,0,146,367
35010,"Brampton North/Brampton-Nord"," 73","Brampton",Merged with No./Fusionné avec le n°74,,,,,,,74
35010,"Brampton North/Brampton-Nord"," 74","Brampton",35,0,49,16,1,1,102,97
35010,"Brampton North/Brampton-Nord"," 75","Brampton",Merged with No./Fusionné avec le n°74,,,,,,,64
35010,"Brampton North/Brampton-Nord"," 76","Brampton",46,0,96,26,2,0,170,453
35010,"Brampton North/Brampton-Nord"," 77","Brampton",86,0,94,16,6,0,202,477
35010,"Brampton North/Brampton-Nord"," 78A","Brampton",65,0,96,31,6,1,199,442
35010,"Brampton North/Brampton-Nord"," 78B","Brampton",59,1,91,19,1,0,171,401
35010,"Brampton North/Brampton-Nord"," 78C","Brampton",50,0,107,36,0,0,193,446
35010,"Brampton North/Brampton-Nord"," 79","Brampton",93,1,117,14,8,3,236,539
35010,"Brampton North/Brampton-Nord"," 80","Brampton",89,0,85,13,6,1,194,418
35010,"Brampton North/Brampton-Nord"," 81","Brampton",128,0,111,20,5,1,265,473
35010,"Brampton North/Brampton-Nord"," 82","Brampton",104,0,108,12,3,1,228,444
35010,"Brampton North/Brampton-Nord"," 83","Brampton",109,0,103,25,9,1,247,418
35010,"Brampton North/Brampton-Nord"," 84","Brampton",67,0,79,20,3,1,170,306
35010,"Brampton North/Brampton-Nord"," 85","Brampton",99,1,84,22,4,0,210,432
35010,"Brampton North/Brampton-Nord"," 86","Brampton",98,0,100,30,3,2,233,447
35010,"Brampton North/Brampton-Nord"," 87","Brampton",98,0,114,33,6,0,251,446
35010,"Brampton North/Brampton-Nord"," 88","Brampton",93,1,123,12,6,3,238,417
35010,"Brampton North/Brampton-Nord"," 89","Brampton",73,2,148,33,4,4,264,602
35010,"Brampton North/Brampton-Nord"," 90","Brampton",67,0,74,12,0,0,153,320
35010,"Brampton North/Brampton-Nord"," 91","Brampton",74,0,60,24,3,0,161,331
35010,"Brampton North/Brampton-Nord"," 92","Brampton",74,0,102,20,5,1,202,400
35010,"Brampton North/Brampton-Nord"," 93","Brampton",21,0,63,29,2,0,115,340
35010,"Brampton North/Brampton-Nord"," 94","Brampton",73,0,100,27,4,3,207,523
35010,"Brampton North/Brampton-Nord"," 95","Brampton",51,0,79,38,2,2,172,462
35010,"Brampton North/Brampton-Nord"," 96","Brampton",56,1,131,47,1,2,238,547
