Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike DiLivio,Jennifer Stebbing,David Sweet,David Allan Urquhart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 50","Flamborough",25,116,122,12,0,275,475
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 51","Flamborough",22,99,123,9,0,253,447
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 52","Flamborough",15,112,96,8,0,231,399
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 53","Flamborough",27,73,106,7,2,215,406
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 54","Flamborough",13,68,80,6,0,167,348
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 55","Flamborough",33,132,94,10,1,270,468
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 56","Flamborough",21,109,141,9,2,282,495
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 57","Flamborough",18,64,83,5,0,170,339
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 58","Flamborough",23,52,88,5,1,169,299
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 59","Flamborough",17,88,119,4,1,229,364
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 60","Flamborough",31,60,80,6,1,178,357
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 61","Dundas",35,86,83,17,1,222,369
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 62","Flamborough",36,132,115,18,1,302,448
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 63","Flamborough",23,72,121,9,0,225,348
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 64","Flamborough",39,105,165,12,0,321,478
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 65","Flamborough",17,89,84,9,1,200,311
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 66","Flamborough",19,96,88,18,2,223,315
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 67","Flamborough",35,109,145,19,1,309,507
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 68","Flamborough",28,127,122,18,0,295,439
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 69","Flamborough",26,113,144,9,2,294,454
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 70","Flamborough",20,85,162,7,1,275,452
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 71","Flamborough",33,81,151,9,0,274,474
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 72","Ancaster",37,105,145,7,0,294,468
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 73","Ancaster",15,66,146,15,2,244,463
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 74","Flamborough",23,72,126,11,1,233,394
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 75","Flamborough",19,66,106,8,0,199,350
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 76","Flamborough",33,60,119,7,0,219,419
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 77","Flamborough",36,61,116,8,1,222,367
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 78","Ancaster",43,90,161,19,1,314,482
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 79","Ancaster",24,106,142,14,1,287,428
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 80","Ancaster",21,88,180,11,0,300,445
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 81","Ancaster",21,82,156,9,1,269,464
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 82","Glanbrook",34,101,75,11,0,221,382
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 83","Glanbrook",12,70,47,0,0,129,442
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 84","Glanbrook",17,55,61,1,0,134,372
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 85","Glanbrook",39,65,73,11,0,188,434
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 86","Glanbrook",37,125,107,9,2,280,506
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 87","Hamilton ",30,133,113,10,2,288,504
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 88","Hamilton ",41,135,92,11,0,279,513
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 89A","Hamilton",22,75,53,0,0,150,279
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 89B","Hamilton",22,69,61,5,1,158,299
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 90","Hamilton ",59,89,108,8,4,268,376
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 91","Hamilton ",38,104,82,9,1,234,339
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 92","Hamilton ",46,139,97,10,2,294,499
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 93","Hamilton ",32,75,72,9,2,190,342
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 94","Hamilton ",43,92,74,8,0,217,370
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 95","Hamilton ",34,93,81,7,1,216,311
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 96","Hamilton ",39,86,73,10,1,209,336
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 97","Hamilton ",39,81,63,0,2,185,345
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 98","Hamilton ",58,77,51,7,1,194,378
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 99","Hamilton ",60,121,72,5,0,258,500
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 100","Hamilton ",44,93,60,10,0,207,419
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 101","Hamilton ",35,73,43,4,0,155,361
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 102","Hamilton ",36,109,112,10,0,267,540
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 103","Hamilton ",48,113,58,5,1,225,427
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 104","Hamilton ",27,89,84,4,0,204,386
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 105","Stoney Creek",42,94,64,8,1,209,385
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 106","Stoney Creek",42,81,88,11,0,222,397
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 107","Stoney Creek",32,76,55,4,1,168,346
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 108","Stoney Creek",52,109,114,19,0,294,489
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 109","Stoney Creek",55,88,97,4,2,246,436
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 110","Stoney Creek",55,74,100,8,0,237,461
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 111A","Stoney Creek",30,67,64,4,1,166,288
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 111B","Stoney Creek",28,75,78,3,1,185,307
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 112","Stoney Creek",43,81,90,2,1,217,394
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 113A","Stoney Creek",38,67,44,2,0,151,359
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 113B","Stoney Creek",48,76,45,6,0,175,348
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 114","Stoney Creek",51,145,112,6,0,314,518
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 115","Stoney Creek",26,56,58,3,1,144,269
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 116","Stoney Creek",28,79,62,5,0,174,335
