Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Moe Comuzzi,Christy Radbourne,John Rafferty,Don Rusnak,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 50","Fort Frances",54,6,63,90,0,213,421
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 51","Devlin",121,10,107,98,2,338,525
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 52","Manitou Rapids 11",1,1,72,21,0,95,148
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 53","Neguaguon Lake 25D",1,1,71,26,0,99,97
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 54","Mokomon",35,8,42,61,0,146,289
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 55","Thunder Bay, Unorganized",35,20,39,65,0,159,267
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56","Oliver Paipoonge",54,19,56,93,1,223,417
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 57","Millar",59,15,53,75,0,202,387
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 58","Millar",55,10,47,85,2,199,326
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59","Oliver",41,18,38,84,1,182,356
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 60","Murillo",43,6,33,80,3,165,274
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 61","Paipoonge",50,11,42,94,1,198,318
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 62","Paipoonge",82,11,53,78,1,225,377
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 63","Paipoonge",99,15,43,110,4,271,402
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 64","Paipoonge",102,8,38,89,0,237,386
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 65","Thunder Bay",84,10,40,139,0,273,416
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 66","Thunder Bay",72,12,31,148,0,263,505
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 67","Thunder Bay",83,11,51,135,0,280,509
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 68","Thunder Bay",51,16,51,135,1,254,439
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 69","Thunder Bay",64,13,53,126,0,256,443
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 70","Thunder Bay",29,13,22,52,1,117,287
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 71","Thunder Bay",23,11,26,83,0,143,294
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 72","Thunder Bay",47,11,88,146,0,292,562
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 73","Thunder Bay",20,3,91,96,1,211,461
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 74","Thunder Bay",26,12,32,85,3,158,301
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 75","Thunder Bay",31,10,35,53,0,129,287
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 76","Thunder Bay",13,9,41,134,3,200,343
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 77","Thunder Bay",37,12,42,116,1,208,392
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 78","Thunder Bay",34,7,59,116,0,216,385
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 79","Thunder Bay",30,12,56,110,1,209,380
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 80","Thunder Bay",43,15,91,145,1,295,563
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 81A","Thunder Bay",42,11,64,109,1,227,441
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 81B","Thunder Bay",14,6,19,42,1,82,82
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 82","Thunder Bay",48,19,73,156,0,296,525
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 83","Thunder Bay",30,24,83,105,0,242,503
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 84","Thunder Bay",23,21,65,111,0,220,473
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 85","Thunder Bay",19,12,89,113,2,235,518
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 86","Thunder Bay",12,9,72,94,0,187,438
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 87","Thunder Bay",26,27,66,108,2,229,490
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 88","Thunder Bay",24,11,52,113,0,200,436
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 89","Thunder Bay",26,12,51,104,0,193,397
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 90","Thunder Bay",18,22,60,77,3,180,378
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 91","Thunder Bay",22,4,66,101,0,193,425
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 92","Thunder Bay",18,11,63,50,0,142,362
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 93","Thunder Bay",23,14,69,94,0,200,338
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 94","Thunder Bay",24,13,86,86,1,210,374
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 95","Thunder Bay",22,12,60,89,2,185,365
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 96","Thunder Bay",34,11,60,97,2,204,380
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 97","Thunder Bay",23,9,52,98,1,183,394
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 98","Thunder Bay",42,16,69,152,1,280,458
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 99","Thunder Bay",13,8,76,99,1,197,532
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 100","Thunder Bay",17,7,65,57,5,151,326
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 101","Thunder Bay",22,10,76,83,1,192,350
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 102","Thunder Bay",21,17,55,78,0,171,345
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 103","Thunder Bay",19,4,61,88,0,172,357
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 104","Thunder Bay",37,13,40,105,0,195,386
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 105","Thunder Bay",28,9,49,71,1,158,319
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 106","Thunder Bay",50,13,102,134,2,301,542
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 107","Thunder Bay",28,6,38,102,1,175,282
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 108","Thunder Bay",32,10,47,123,0,212,349
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 109","Thunder Bay",25,7,59,54,2,147,274
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 110","Thunder Bay",33,9,64,140,0,246,419
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 111","Thunder Bay",35,12,55,104,0,206,426
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 112","Thunder Bay",16,11,61,90,0,178,383
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 113","Thunder Bay",40,9,55,119,0,223,445
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 114","Thunder Bay",28,9,49,79,1,166,345
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 115","Thunder Bay",57,8,32,127,3,227,362
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 116","Thunder Bay",56,6,37,80,0,179,389
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 117","Thunder Bay",33,11,47,151,0,242,393
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 118","Thunder Bay",66,3,43,102,0,214,363
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 119","Thunder Bay",42,6,60,129,0,237,430
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 120","Thunder Bay",34,14,66,131,2,247,448
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 121","Thunder Bay",34,10,32,88,0,164,271
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 122","Thunder Bay",63,10,67,159,1,300,493
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 123","Thunder Bay",18,10,57,102,0,187,319
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 124","Thunder Bay",21,8,32,63,0,124,260
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 125","Thunder Bay",19,14,56,84,0,173,351
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 126","Thunder Bay",36,13,82,111,4,246,432
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 127","Thunder Bay",16,17,45,79,0,157,322
