Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Angers,Guy J. Bellavance,Philippe Boily,Françoise Boivin,Guy Dostaler,Steven MacKinnon,Pierre Soublière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Gatineau/Gatineau"," 1","Gatineau",20,0,26,51,6,83,0,1,187,440
24027,"Gatineau/Gatineau"," 2","Gatineau",26,0,30,69,4,166,0,3,298,490
24027,"Gatineau/Gatineau"," 3","Gatineau",12,1,38,57,4,122,1,2,237,505
24027,"Gatineau/Gatineau"," 4","Gatineau",25,1,31,50,3,134,0,1,245,416
24027,"Gatineau/Gatineau"," 5","Gatineau",12,0,27,39,2,91,0,1,172,344
24027,"Gatineau/Gatineau"," 6","Gatineau",26,1,38,69,6,165,0,7,312,551
24027,"Gatineau/Gatineau"," 7","Gatineau",25,0,36,80,2,189,1,2,335,685
24027,"Gatineau/Gatineau"," 8","Gatineau",12,1,32,44,3,121,0,3,216,453
24027,"Gatineau/Gatineau"," 9","Gatineau",7,3,20,45,3,103,0,2,183,372
24027,"Gatineau/Gatineau"," 10","Gatineau",28,0,31,79,3,167,0,0,308,495
24027,"Gatineau/Gatineau"," 11","Gatineau",20,1,25,68,7,155,0,4,280,463
24027,"Gatineau/Gatineau"," 12","Gatineau",20,0,25,64,4,127,0,2,242,452
24027,"Gatineau/Gatineau"," 13","Gatineau",15,0,26,64,2,132,1,2,242,425
24027,"Gatineau/Gatineau"," 14","Gatineau",18,0,24,86,8,168,0,1,305,479
24027,"Gatineau/Gatineau"," 15","Gatineau",21,0,20,63,6,155,0,1,266,443
24027,"Gatineau/Gatineau"," 16","Gatineau",13,0,10,25,3,93,0,0,144,330
24027,"Gatineau/Gatineau"," 17","Gatineau",17,1,21,68,4,158,1,3,273,567
24027,"Gatineau/Gatineau"," 18","Gatineau",14,1,33,53,7,131,0,1,240,484
24027,"Gatineau/Gatineau"," 19","Gatineau",26,1,21,60,2,147,1,0,258,484
24027,"Gatineau/Gatineau"," 20","Gatineau",14,0,14,51,2,128,0,3,212,354
24027,"Gatineau/Gatineau"," 21","Gatineau",8,0,23,52,5,91,0,5,184,348
24027,"Gatineau/Gatineau"," 22","Gatineau",18,3,21,35,5,99,0,0,181,405
24027,"Gatineau/Gatineau"," 23","Gatineau",14,2,26,52,2,125,0,3,224,442
24027,"Gatineau/Gatineau"," 24","Gatineau",21,0,25,41,3,125,0,1,216,329
24027,"Gatineau/Gatineau"," 25","Gatineau",20,0,24,65,1,162,0,1,273,427
24027,"Gatineau/Gatineau"," 26","Gatineau",13,1,25,59,2,134,0,5,239,391
24027,"Gatineau/Gatineau"," 27","Gatineau",8,0,20,43,2,84,0,0,157,339
24027,"Gatineau/Gatineau"," 28","Gatineau",13,0,24,55,4,124,0,2,222,425
24027,"Gatineau/Gatineau"," 29","Gatineau",7,0,24,54,3,111,0,0,199,348
24027,"Gatineau/Gatineau"," 30","Gatineau",19,0,37,61,5,89,0,2,213,379
24027,"Gatineau/Gatineau"," 31","Gatineau",19,1,23,40,6,139,0,1,229,433
24027,"Gatineau/Gatineau"," 32","Gatineau",11,0,18,81,2,114,0,2,228,407
24027,"Gatineau/Gatineau"," 33","Gatineau",14,2,17,78,6,99,0,3,219,344
24027,"Gatineau/Gatineau"," 34","Gatineau",21,0,25,74,1,112,0,0,233,431
24027,"Gatineau/Gatineau"," 35","Gatineau",19,1,32,56,10,100,0,0,218,379
24027,"Gatineau/Gatineau"," 36","Gatineau",17,0,26,49,8,124,0,1,225,378
24027,"Gatineau/Gatineau"," 37","Gatineau",13,1,21,44,4,101,0,4,188,366
24027,"Gatineau/Gatineau"," 38","Gatineau",10,0,27,31,3,92,1,1,165,384
24027,"Gatineau/Gatineau"," 39","Gatineau",15,0,31,36,4,97,0,4,187,406
24027,"Gatineau/Gatineau"," 40","Gatineau",15,1,23,28,4,127,1,2,201,484
24027,"Gatineau/Gatineau"," 41","Gatineau",7,2,19,32,4,92,0,4,160,406
24027,"Gatineau/Gatineau"," 42","Gatineau",7,0,12,29,4,58,0,2,112,306
24027,"Gatineau/Gatineau"," 43","Gatineau",12,0,13,46,3,97,0,3,174,326
24027,"Gatineau/Gatineau"," 44","Gatineau",10,1,27,56,6,80,0,3,183,395
24027,"Gatineau/Gatineau"," 45","Gatineau",17,0,12,25,0,74,0,2,130,328
24027,"Gatineau/Gatineau"," 46","Gatineau",3,0,26,31,4,76,0,1,141,366
24027,"Gatineau/Gatineau"," 47","Gatineau",5,0,6,34,0,69,0,1,115,321
24027,"Gatineau/Gatineau"," 48","Gatineau",13,0,25,31,6,90,0,1,166,413
24027,"Gatineau/Gatineau"," 49","Gatineau",17,0,10,46,4,88,0,1,166,326
24027,"Gatineau/Gatineau"," 50","Gatineau",18,0,15,48,2,116,0,1,200,411
24027,"Gatineau/Gatineau"," 51","Gatineau",9,0,17,32,5,67,0,2,132,350
24027,"Gatineau/Gatineau"," 52","Gatineau",6,0,15,32,4,74,1,2,134,357
24027,"Gatineau/Gatineau"," 53","Gatineau",10,1,23,49,2,86,2,2,175,329
24027,"Gatineau/Gatineau"," 54","Gatineau",16,0,17,31,1,75,0,1,141,333
24027,"Gatineau/Gatineau"," 55","Gatineau",8,1,24,37,4,71,1,3,149,346
24027,"Gatineau/Gatineau"," 56","Gatineau",8,2,26,53,0,79,0,3,171,498
24027,"Gatineau/Gatineau"," 57","Gatineau",7,0,24,47,1,87,0,2,168,307
24027,"Gatineau/Gatineau"," 58","Gatineau",12,0,16,45,6,126,0,2,207,340
24027,"Gatineau/Gatineau"," 59","Gatineau",21,1,29,67,2,163,0,3,286,517
24027,"Gatineau/Gatineau"," 60","Gatineau",10,0,25,67,7,153,0,4,266,447
24027,"Gatineau/Gatineau"," 61","Gatineau",13,3,30,52,1,106,0,0,205,401
24027,"Gatineau/Gatineau"," 62","Gatineau",11,1,23,47,4,110,0,1,197,375
24027,"Gatineau/Gatineau"," 63","Gatineau",15,1,18,56,6,91,0,2,189,449
24027,"Gatineau/Gatineau"," 64","Gatineau",15,0,35,70,4,97,0,1,222,459
24027,"Gatineau/Gatineau"," 65","Gatineau",17,2,21,58,4,114,0,2,218,394
24027,"Gatineau/Gatineau"," 66","Gatineau",5,0,12,62,2,107,1,1,190,393
24027,"Gatineau/Gatineau"," 67","Gatineau",16,0,22,62,1,143,0,4,248,429
24027,"Gatineau/Gatineau"," 68","Gatineau",11,1,16,57,5,116,0,1,207,457
24027,"Gatineau/Gatineau"," 69","Gatineau",13,0,22,39,1,80,0,4,159,281
24027,"Gatineau/Gatineau"," 70","Gatineau",10,0,13,72,3,139,0,0,237,396
24027,"Gatineau/Gatineau"," 71","Gatineau",21,1,16,44,5,173,0,2,262,393
24027,"Gatineau/Gatineau"," 72","Gatineau",17,0,32,92,3,187,0,1,332,532
24027,"Gatineau/Gatineau"," 73","Gatineau",15,1,24,74,2,162,1,6,285,491
24027,"Gatineau/Gatineau"," 74","Gatineau",24,2,34,81,7,167,0,5,320,468
24027,"Gatineau/Gatineau"," 75","Gatineau",23,0,21,82,6,161,0,3,296,452
24027,"Gatineau/Gatineau"," 76","Gatineau",13,0,26,71,2,146,0,1,259,434
24027,"Gatineau/Gatineau"," 77","Gatineau",9,2,30,71,2,127,0,1,242,404
24027,"Gatineau/Gatineau"," 78","Gatineau",16,0,23,65,3,134,0,1,242,410
24027,"Gatineau/Gatineau"," 79","Gatineau",24,2,20,74,6,121,0,4,251,478
24027,"Gatineau/Gatineau"," 80","Gatineau",19,1,20,85,1,142,0,1,269,468
24027,"Gatineau/Gatineau"," 81","Gatineau",26,0,21,85,2,176,0,1,311,458
24027,"Gatineau/Gatineau"," 82","Gatineau",14,0,18,74,4,144,0,3,257,362
24027,"Gatineau/Gatineau"," 83","Gatineau",24,1,13,39,4,120,0,1,202,328
24027,"Gatineau/Gatineau"," 84","Gatineau",19,1,14,45,4,79,0,2,164,263
24027,"Gatineau/Gatineau"," 85","Gatineau",21,0,21,60,4,121,0,1,228,411
24027,"Gatineau/Gatineau"," 86","Gatineau",17,1,32,93,5,149,1,1,299,554
24027,"Gatineau/Gatineau"," 87","Gatineau",15,0,25,35,2,101,0,1,179,343
24027,"Gatineau/Gatineau"," 88","Gatineau",9,0,21,48,3,90,3,1,175,379
24027,"Gatineau/Gatineau"," 89","Gatineau",21,1,12,46,2,94,0,1,177,333
24027,"Gatineau/Gatineau"," 90","Gatineau",28,0,23,56,5,156,0,1,269,478
24027,"Gatineau/Gatineau"," 91","Gatineau",16,0,25,95,4,153,1,1,295,483
24027,"Gatineau/Gatineau"," 92","Gatineau",6,0,23,54,2,133,0,1,219,377
