Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hughes,Calvin John Orok,André Robichaud,Heather Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 1","Constance Lake 92",102,4,6,111,1,224,414
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 2","Lac-Ste-Thérèse",25,0,7,33,1,66,150
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 3","Calstock",40,3,9,54,1,107,182
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 4","Hearst",72,6,28,134,1,241,464
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 5","Hearst",82,6,21,107,3,219,516
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 6","Hearst",67,2,39,117,0,225,425
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 7","Hearst",91,4,26,107,1,229,462
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 8","Hearst",66,3,24,105,1,199,434
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 9","Hearst",61,4,40,138,1,244,424
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 10","Hearst",88,3,34,118,0,243,419
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 11","Hearst",72,2,36,121,0,231,424
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 12","Hearst",58,4,36,136,3,237,418
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 13","Mattice",157,6,40,104,1,308,522
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 14","Opasatika",61,2,12,25,0,100,188
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 15","Harty",35,3,16,21,0,75,159
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 16","Val Rita",77,4,32,52,0,165,315
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 17","Val Rita",38,0,11,14,0,63,130
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 18","Smooth Rock Falls",37,4,36,70,3,150,300
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 19","Smooth Rock Falls",56,0,27,51,0,134,291
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 20","Smooth Rock Falls",48,3,19,66,0,136,311
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 21","Smooth Rock Falls",32,2,36,55,1,126,276
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 22","Strickland",18,0,2,4,0,24,63
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 23","Fauquier",137,4,46,50,11,248,385
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 24","Moonbeam",108,4,72,116,2,302,520
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 25","Moonbeam",98,2,50,84,0,234,352
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 26","Moonbeam",18,0,6,18,1,43,65
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 27","Kapuskasing",120,1,53,64,3,241,521
