Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Chesnik,Jo-Anne Gignac,Cheryl Hardcastle,David Momotiuk,Frank Schiller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 1","Tecumseh",1,100,35,5,62,0,203,465
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 2","Tecumseh",0,87,68,8,49,0,212,388
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 3","Tecumseh",0,119,76,5,66,0,266,530
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 4","Tecumseh",0,78,80,5,71,0,234,438
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 5","Tecumseh",0,87,58,0,71,1,217,432
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 6","Tecumseh",2,81,65,4,66,0,218,406
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 7","Tecumseh",0,73,72,2,49,0,196,366
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 8","Tecumseh",1,64,43,5,49,0,162,327
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 9","Tecumseh",2,88,110,4,49,0,253,475
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 10","Tecumseh",0,88,100,5,56,2,251,433
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 11","Tecumseh",2,69,99,5,94,1,270,461
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 12","Tecumseh",0,63,108,8,84,0,263,446
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 13","Tecumseh",3,61,83,5,69,0,221,411
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 14","Windsor",1,94,57,4,43,2,201,438
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 15","Tecumseh",1,54,82,3,37,0,177,346
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 16","Tecumseh",2,48,88,3,65,0,206,375
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 17","Windsor",0,59,63,1,59,0,182,369
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 18","Windsor",0,52,81,2,42,1,178,368
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 19","Tecumseh",0,48,73,0,50,0,171,332
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 20","Windsor",0,80,52,3,67,1,203,474
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 21","Windsor",0,65,104,3,59,0,231,467
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 22","Windsor",0,94,85,3,70,0,252,473
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 23","Windsor",1,39,74,2,49,0,165,403
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 24","Windsor",1,55,64,4,65,0,189,420
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 25","Windsor",1,85,44,1,77,0,208,325
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 26","Windsor",3,81,80,8,49,0,221,393
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 27","Windsor",0,41,100,9,49,0,199,375
