Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Greenwood,Cathy McLeod,Steve Powrie,Bill Sundhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 1","Lac la Hache ",9,95,51,39,0,194,361
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 2","Lac la Hache ",16,63,53,44,0,176,315
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 3","Lac la Hache ",10,75,41,37,0,163,287
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 4","Forest Grove",26,64,39,37,0,166,319
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 5","Forest Grove",7,46,44,41,1,139,252
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 6","108 Mile Ranch",8,63,31,41,1,144,288
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 7","108 Mile Ranch",10,62,36,63,0,171,362
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 8","108 Mile Ranch",8,61,43,17,0,129,275
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 9","108 Mile Ranch",6,87,55,38,0,186,343
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 10","108 Mile Ranch",10,79,31,57,0,177,356
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 11","108 Mile Ranch",3,64,27,17,1,112,250
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 12","93 Mile",9,68,41,44,0,162,337
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 13","93 Mile",5,54,51,21,0,131,322
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 14","93 Mile",7,54,34,24,0,119,272
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 15","93 Mile",9,96,82,30,0,217,451
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 16","93 Mile",8,63,53,34,1,159,320
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 17","93 Mile",11,63,29,41,0,144,392
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 18","93 Mile",11,59,46,30,0,146,326
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 19A","93 Mile",4,64,27,25,0,120,280
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 19B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,15
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 20","93 Mile",5,53,44,38,1,141,326
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 21","Horse Lake",6,90,33,13,0,142,314
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 22","Horse Lake",13,111,60,36,0,220,454
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 23","Horse Lake",7,73,56,40,0,176,333
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 24","Horse Lake",10,63,45,37,1,156,293
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 25","Canim Lake",18,76,80,91,0,265,451
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 26","Clearwater ",8,48,48,53,0,157,368
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 27","Clearwater ",6,51,21,43,0,121,265
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 28","Clearwater ",8,48,44,27,0,127,266
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 29","Clearwater ",5,49,30,27,0,111,242
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 30","Clearwater ",8,49,56,70,2,185,407
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 31","Clearwater ",18,56,39,43,0,156,331
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32A","Clearwater",12,53,48,45,2,160,291
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 32B","Little Fort",Merged with No./Fusionné avec le n°239B,,,,,,26
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 33","Blue River",7,36,34,25,0,102,162
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 34A","Avola",18,89,33,37,0,177,345
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 34B","Avola",3,11,13,9,0,36,51
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 34C","Little Fort",Merged with No./Fusionné avec le n°239B,,,,,,23
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 35","Birch Island",17,61,50,37,1,166,327
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 36","Barrière ",8,48,21,17,0,94,234
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 37","Barrière ",6,69,29,26,0,130,312
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 38A","Barrière",9,67,45,33,1,155,315
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 38B","Black Pines",Merged with No./Fusionné avec le n°55,,,,,,8
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 39","Barrière ",11,52,45,37,0,145,297
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 40","Barrière ",7,70,48,19,0,144,256
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 41","Barrière ",16,64,55,41,0,176,386
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 42","Barrière ",13,123,48,45,1,230,428
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 43","Lone Butte",11,67,76,41,0,195,353
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 44","Interlakes",18,98,49,31,0,196,343
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 45","Interlakes",16,108,66,53,0,243,363
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 46","Lone Butte",12,81,56,29,2,180,340
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 47","Lone Butte",11,76,57,30,2,176,310
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 48","70 Mile House",8,95,46,47,0,196,288
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 49","70 Mile House",4,66,30,16,0,116,179
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 50","Clinton ",8,66,62,40,2,178,392
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 51","Clinton ",18,125,72,47,1,263,518
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 52","Loon Lake",5,68,22,14,0,109,167
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 53A","Thompson-Nicola J (Copper Desert Country)",7,21,36,68,1,133,216
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 53B","Kamloops",Merged with No./Fusionné avec le n°92,,,,,,42
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 54","Thompson-Nicola J (Copper Desert Country)",7,131,85,79,0,302,476
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 55","Black Pines",3,55,43,37,0,138,181
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 56","McLure",10,99,57,44,1,211,370
