Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacqueline Biollo,Fritz K. Bitz,Joy-Ann Hut,Mike Lake,Brayden Whitlock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 1","Edmonton",47,15,2,75,0,0,139,373
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 2","Edmonton",85,25,1,82,3,3,199,403
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 3","Edmonton",65,24,8,65,1,0,163,348
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 4","Edmonton",74,24,7,94,1,3,203,395
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 5","Edmonton",69,23,1,99,3,0,195,486
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 6","Edmonton",59,24,0,105,0,2,190,404
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 7","Edmonton",64,36,3,83,2,1,189,401
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 8","Edmonton",54,25,5,73,3,0,160,422
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 9","Edmonton",48,12,1,72,0,0,133,304
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 10A","Edmonton",62,13,4,93,0,1,173,341
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 10B","Edmonton",53,23,2,94,0,0,172,322
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 11","Edmonton",102,33,6,195,2,1,339,588
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 12A","Edmonton",71,14,2,80,3,1,171,366
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 12B","Edmonton",55,23,4,95,3,0,180,401
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 13","Edmonton",70,34,3,184,5,0,296,593
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 14A","Edmonton",72,25,2,134,1,0,234,421
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 14B","Edmonton",79,26,5,141,2,2,255,460
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 14C","Edmonton",77,13,2,125,3,0,220,458
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 15","Edmonton",53,6,3,96,0,0,158,310
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 16","Edmonton",67,13,5,104,1,0,190,399
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 17","Edmonton",45,18,1,101,0,0,165,396
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 18","Edmonton",44,20,6,109,3,0,182,387
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 19","Edmonton",73,19,3,163,1,0,259,512
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 20","Edmonton",117,24,5,208,5,2,361,549
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 21A","Edmonton",58,29,5,101,3,2,198,428
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 21B","Edmonton",68,29,3,95,0,0,195,397
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 22","Edmonton",99,29,6,140,0,0,274,452
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 23A","Edmonton",89,30,2,106,1,2,230,481
