Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Toban Leckie,Doug Mason,Maryam Monsef,Dave Nickle,Michael Skinner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 1","Chandos",0,8,77,15,64,0,164,292
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 2","North Kawartha",1,5,53,21,82,0,162,343
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 3","Chandos",0,10,77,26,71,0,184,411
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 4","Galway-Cavendish and Harvey",2,5,67,19,78,0,171,275
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 5","North Kawartha",1,10,93,29,82,0,215,457
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 6","Oak Lake",0,8,36,23,49,1,117,218
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 7","Cordova Mines",0,5,66,27,118,0,216,347
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 8","Round Lake",0,14,61,35,102,2,214,436
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 9","Havelock-Belmont-Methuen",0,3,49,34,56,0,142,388
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 10","Havelock",0,4,28,18,46,0,96,242
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 11","Havelock",0,8,51,44,52,0,155,341
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 12","Havelock-Belmont-Methuen",0,5,56,26,101,0,188,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 13A","Hall's Glen",0,1,67,22,69,0,159,285
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 13B","Hall's Glen",0,4,49,15,64,0,132,246
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 14","Hall's Glen",0,7,82,39,95,0,223,491
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 15","North Kawartha",0,7,104,34,139,1,285,453
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 16","Galway-Cavendish and Harvey",1,6,96,31,82,0,216,366
