Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Bourgeois,Soheil Eid,Danielle Landreville,Robert D. Morais,Mathieu Morin,Gabriel Ste-Marie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Joliette/Joliette"," 1","Manawan",Merged with No./Fusionné avec le n°2,,,,,,,,251
24031,"Joliette/Joliette"," 2","Manawan",284,6,12,0,0,6,0,308,434
24031,"Joliette/Joliette"," 3","Manawan",206,2,6,0,0,1,2,217,520
24031,"Joliette/Joliette"," 4","Saint-Michel-des-Saints",51,15,31,2,2,57,0,158,337
24031,"Joliette/Joliette"," 5","Saint-Michel-des-Saints",41,25,27,3,2,63,3,164,373
24031,"Joliette/Joliette"," 6","Saint-Michel-des-Saints",38,10,23,0,2,24,2,99,248
24031,"Joliette/Joliette"," 7","Saint-Michel-des-Saints",36,11,17,0,1,39,4,108,253
24031,"Joliette/Joliette"," 8","Saint-Michel-des-Saints",51,17,20,0,0,38,9,135,286
24031,"Joliette/Joliette"," 9","Saint-Michel-des-Saints",65,15,33,1,3,47,1,165,328
24031,"Joliette/Joliette"," 10","Saint-Michel-des-Saints",53,5,24,0,2,43,1,128,291
24031,"Joliette/Joliette"," 11","Saint-Zénon",67,24,42,0,3,69,2,207,344
24031,"Joliette/Joliette"," 12","Saint-Zénon",72,34,37,1,2,56,5,207,357
24031,"Joliette/Joliette"," 13","Saint-Zénon",51,10,34,1,3,59,3,161,318
24031,"Joliette/Joliette"," 14","Sainte-Émélie-de-l'Énergie",48,14,22,2,4,75,3,168,305
24031,"Joliette/Joliette"," 15","Sainte-Émélie-de-l'Énergie",52,12,38,1,5,66,5,179,329
24031,"Joliette/Joliette"," 16","Sainte-Émélie-de-l'Énergie",59,19,62,0,4,83,6,233,378
24031,"Joliette/Joliette"," 17","Sainte-Émélie-de-l'Énergie",46,24,46,0,4,76,2,198,376
24031,"Joliette/Joliette"," 18","Saint-Côme",63,20,37,1,1,77,6,205,404
24031,"Joliette/Joliette"," 19","Saint-Côme",38,12,32,0,4,65,3,154,313
24031,"Joliette/Joliette"," 20","Saint-Côme",45,17,34,1,9,60,3,169,352
24031,"Joliette/Joliette"," 21","Saint-Côme",61,20,25,1,5,81,3,196,466
24031,"Joliette/Joliette"," 22","Saint-Côme",43,6,26,0,0,114,1,190,404
24031,"Joliette/Joliette"," 23","Sainte-Béatrix",44,21,48,2,5,84,3,207,318
24031,"Joliette/Joliette"," 24","Sainte-Béatrix",58,16,54,0,5,73,8,214,317
24031,"Joliette/Joliette"," 25","Sainte-Béatrix",50,13,42,1,4,64,4,178,307
24031,"Joliette/Joliette"," 26","Sainte-Béatrix",51,11,25,3,7,46,3,146,292
24031,"Joliette/Joliette"," 27","Sainte-Béatrix",41,5,42,0,7,85,1,181,325
24031,"Joliette/Joliette"," 28","Sainte-Mélanie",43,22,44,0,5,69,3,186,302
24031,"Joliette/Joliette"," 29","Sainte-Mélanie",61,14,50,0,7,63,2,197,392
24031,"Joliette/Joliette"," 30","Sainte-Mélanie",51,25,46,1,2,62,3,190,407
24031,"Joliette/Joliette"," 31","Sainte-Mélanie",44,9,36,1,3,82,3,178,314
24031,"Joliette/Joliette"," 32","Sainte-Mélanie",44,19,47,2,4,66,4,186,363
24031,"Joliette/Joliette"," 33","Sainte-Mélanie",45,22,46,0,3,74,6,196,377
24031,"Joliette/Joliette"," 34","Sainte-Mélanie",40,7,34,1,6,54,4,146,291
24031,"Joliette/Joliette"," 35","Notre-Dame-de-Lourdes",79,26,65,1,8,88,14,281,422
24031,"Joliette/Joliette"," 36","Lourdes-de-Joliette",45,12,44,0,5,55,4,165,269
24031,"Joliette/Joliette"," 37","Lourdes-de-Joliette",55,28,77,1,2,100,5,268,482
24031,"Joliette/Joliette"," 38","Lourdes-de-Joliette",52,18,63,0,6,99,6,244,429
24031,"Joliette/Joliette"," 39","Lourdes-de-Joliette",38,22,53,1,5,83,3,205,359
24031,"Joliette/Joliette"," 40","Lourdes-de-Joliette",24,13,37,0,3,110,4,191,362
24031,"Joliette/Joliette"," 41","Notre-Dame-des-Prairies",89,32,60,0,4,126,6,317,661
24031,"Joliette/Joliette"," 42","Notre-Dame-des-Prairies",73,20,61,1,9,97,2,263,501
24031,"Joliette/Joliette"," 43","Notre-Dame-des-Prairies",84,13,63,0,8,109,11,288,540
24031,"Joliette/Joliette"," 44","Notre-Dame-des-Prairies",85,28,62,1,6,91,8,281,536
24031,"Joliette/Joliette"," 45","Notre-Dame-des-Prairies",74,15,57,1,9,103,3,262,534
24031,"Joliette/Joliette"," 46","Notre-Dame-des-Prairies",39,14,64,0,9,87,3,216,417
24031,"Joliette/Joliette"," 47","Notre-Dame-des-Prairies",48,14,54,1,5,72,4,198,416
24031,"Joliette/Joliette"," 48","Notre-Dame-des-Prairies",36,14,40,1,3,47,0,141,291
24031,"Joliette/Joliette"," 49","Notre-Dame-des-Prairies",44,19,47,0,4,63,4,181,313
24031,"Joliette/Joliette"," 50","Notre-Dame-des-Prairies",33,14,32,0,5,50,2,136,408
24031,"Joliette/Joliette"," 51","Notre-Dame-des-Prairies",43,14,46,0,3,60,0,166,346
24031,"Joliette/Joliette"," 52","Notre-Dame-des-Prairies",63,15,36,0,4,51,3,172,430
24031,"Joliette/Joliette"," 53","Notre-Dame-des-Prairies",47,9,45,2,1,63,4,171,393
24031,"Joliette/Joliette"," 54","Notre-Dame-des-Prairies",50,23,44,0,9,58,3,187,365
24031,"Joliette/Joliette"," 55","Notre-Dame-des-Prairies",35,17,47,0,10,74,6,189,417
24031,"Joliette/Joliette"," 56","Notre-Dame-des-Prairies",52,20,45,0,7,71,6,201,426
24031,"Joliette/Joliette"," 57","Notre-Dame-des-Prairies",41,20,44,0,1,31,3,140,335
24031,"Joliette/Joliette"," 58","Notre-Dame-des-Prairies",31,12,26,1,4,38,1,113,258
24031,"Joliette/Joliette"," 59","Saint-Thomas",49,19,38,0,2,67,4,179,343
24031,"Joliette/Joliette"," 60","Saint-Thomas",31,21,46,0,3,51,5,157,280
24031,"Joliette/Joliette"," 61","Saint-Thomas",51,22,53,0,0,37,6,169,321
24031,"Joliette/Joliette"," 62","Saint-Thomas",46,17,42,0,3,46,5,159,278
24031,"Joliette/Joliette"," 63","Saint-Thomas",59,11,71,2,6,76,8,233,462
24031,"Joliette/Joliette"," 64","Saint-Thomas",40,18,43,0,3,42,0,146,247
24031,"Joliette/Joliette"," 65","Saint-Thomas",35,12,54,0,4,60,5,170,366
24031,"Joliette/Joliette"," 66","Saint-Thomas",37,18,35,0,5,50,3,148,264
24031,"Joliette/Joliette"," 67","Joliette",38,24,58,1,2,60,3,186,422
24031,"Joliette/Joliette"," 68","Joliette",62,15,50,0,5,48,4,184,488
24031,"Joliette/Joliette"," 69","Joliette",49,10,49,0,4,71,0,183,345
24031,"Joliette/Joliette"," 70","Joliette",30,14,27,0,2,55,6,134,312
24031,"Joliette/Joliette"," 71","Joliette",40,11,65,2,6,62,6,192,359
24031,"Joliette/Joliette"," 72","Joliette",28,9,27,0,5,40,2,111,406
24031,"Joliette/Joliette"," 73","Joliette",19,9,48,0,2,46,4,128,370
24031,"Joliette/Joliette"," 74","Joliette",17,5,34,0,5,48,4,113,393
24031,"Joliette/Joliette"," 75","Joliette",23,11,28,2,6,52,2,124,401
24031,"Joliette/Joliette"," 76","Joliette",50,14,49,0,4,60,2,179,382
24031,"Joliette/Joliette"," 77","Joliette",31,6,32,1,8,45,8,131,391
24031,"Joliette/Joliette"," 78","Saint-Charles-Borromée",36,13,34,0,3,48,3,137,288
24031,"Joliette/Joliette"," 79","Saint-Charles-Borromée",38,8,48,0,2,53,2,151,332
24031,"Joliette/Joliette"," 80","Saint-Charles-Borromée",38,10,46,0,3,55,1,153,256
24031,"Joliette/Joliette"," 81","Saint-Charles-Borromée",22,19,29,0,4,52,4,130,254
24031,"Joliette/Joliette"," 82","Saint-Charles-Borromée",43,11,40,0,4,51,4,153,277
24031,"Joliette/Joliette"," 83","Saint-Charles-Borromée",34,12,38,0,0,50,0,134,280
24031,"Joliette/Joliette"," 84A","Saint-Charles-Borromée",14,9,10,0,3,20,2,58,138
24031,"Joliette/Joliette"," 84B","Mobile poll/Bureau itinérant",67,26,23,2,2,35,2,157,162
24031,"Joliette/Joliette"," 85","Saint-Charles-Borromée",42,7,27,0,3,35,0,114,297
24031,"Joliette/Joliette"," 86","Saint-Charles-Borromée",32,9,35,0,3,33,4,116,248
24031,"Joliette/Joliette"," 87A","Saint-Charles-Borromée",Merged with No./Fusionné avec le n°94A,,,,,,,,124
24031,"Joliette/Joliette"," 87B","Mobile poll/Bureau itinérant",70,26,32,2,4,13,5,152,138
24031,"Joliette/Joliette"," 88A","Saint-Charles-Borromée",Merged with No./Fusionné avec le n°93A,,,,,,,,92
24031,"Joliette/Joliette"," 88B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°87B,,,,,,,,49
24031,"Joliette/Joliette"," 88C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°88D,,,,,,,,43
24031,"Joliette/Joliette"," 88D","Mobile poll/Bureau itinérant",67,23,19,0,0,19,1,129,64
24031,"Joliette/Joliette"," 89A","Saint-Charles-Borromée",38,11,55,0,3,51,2,160,332
24031,"Joliette/Joliette"," 89B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,68
24031,"Joliette/Joliette"," 90","Saint-Charles-Borromée",33,8,48,0,4,43,4,140,285
24031,"Joliette/Joliette"," 91A","Saint-Charles-Borromée",22,10,19,1,4,31,3,90,245
24031,"Joliette/Joliette"," 91B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°88D,,,,,,,,52
24031,"Joliette/Joliette"," 92","Saint-Charles-Borromée",69,11,47,0,4,29,5,165,396
24031,"Joliette/Joliette"," 93A","Saint-Charles-Borromée",27,9,13,0,2,29,4,84,193
24031,"Joliette/Joliette"," 93B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94D,,,,,,,,18
24031,"Joliette/Joliette"," 93C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94D,,,,,,,,39
24031,"Joliette/Joliette"," 93D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94D,,,,,,,,47
24031,"Joliette/Joliette"," 94A","Saint-Charles-Borromée",30,8,32,0,2,23,3,98,171
24031,"Joliette/Joliette"," 94B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°84B,,,,,,,,78
24031,"Joliette/Joliette"," 94C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94D,,,,,,,,34
24031,"Joliette/Joliette"," 94D","Mobile poll/Bureau itinérant",70,16,33,0,0,16,2,137,45
24031,"Joliette/Joliette"," 95","Saint-Charles-Borromée",38,8,25,0,3,29,3,106,279
24031,"Joliette/Joliette"," 96","Saint-Charles-Borromée",27,9,21,0,2,37,3,99,286
24031,"Joliette/Joliette"," 97","Saint-Charles-Borromée",25,7,25,2,3,26,9,97,282
24031,"Joliette/Joliette"," 98A","Saint-Charles-Borromée",41,15,35,2,2,48,3,146,303
24031,"Joliette/Joliette"," 98B","Saint-Charles-Borromée",0,0,0,0,0,0,0,0,18
24031,"Joliette/Joliette"," 99","Saint-Charles-Borromée",23,21,35,0,1,46,2,128,220
24031,"Joliette/Joliette"," 100","Saint-Charles-Borromée",55,21,34,1,2,70,0,183,388
24031,"Joliette/Joliette"," 101","Saint-Charles-Borromée",55,17,45,0,4,70,5,196,368
24031,"Joliette/Joliette"," 102","Saint-Charles-Borromée",27,13,32,0,4,44,0,120,270
24031,"Joliette/Joliette"," 103A","Saint-Charles-Borromée",13,10,25,1,1,29,0,79,163
24031,"Joliette/Joliette"," 103B","Saint-Charles-Borromée",0,0,0,0,0,0,0,0,34
24031,"Joliette/Joliette"," 103C","Saint-Charles-Borromée",0,0,0,0,0,0,0,0,61
24031,"Joliette/Joliette"," 104","Saint-Charles-Borromée",24,14,38,0,2,71,1,150,266
24031,"Joliette/Joliette"," 105","Saint-Charles-Borromée",33,15,51,9,0,50,1,159,300
24031,"Joliette/Joliette"," 106","Saint-Charles-Borromée",56,17,49,0,5,51,0,178,364
24031,"Joliette/Joliette"," 107","Saint-Charles-Borromée",47,12,21,0,6,45,0,131,310
24031,"Joliette/Joliette"," 108","Saint-Charles-Borromée",38,7,43,0,4,59,3,154,349
24031,"Joliette/Joliette"," 109","Saint-Charles-Borromée",58,9,33,0,6,43,0,149,339
24031,"Joliette/Joliette"," 110","Saint-Charles-Borromée",51,26,35,0,5,73,3,193,394
24031,"Joliette/Joliette"," 111","Saint-Charles-Borromée",60,15,41,1,1,48,0,166,369
24031,"Joliette/Joliette"," 112","Saint-Charles-Borromée",66,29,63,0,1,67,4,230,413
24031,"Joliette/Joliette"," 113","Saint-Charles-Borromée",32,14,49,0,3,51,3,152,321
24031,"Joliette/Joliette"," 114","Saint-Ambroise-de-Kildare",66,29,57,2,7,87,5,253,416
24031,"Joliette/Joliette"," 115","Saint-Ambroise-de-Kildare",48,24,79,0,3,84,3,241,416
24031,"Joliette/Joliette"," 116","Saint-Ambroise-de-Kildare",37,9,53,0,4,74,9,186,339
24031,"Joliette/Joliette"," 117","Saint-Ambroise-de-Kildare",49,22,42,0,3,77,2,195,326
24031,"Joliette/Joliette"," 118","Saint-Ambroise-de-Kildare",63,17,62,2,5,81,5,235,360
24031,"Joliette/Joliette"," 119","Saint-Ambroise-de-Kildare",44,26,59,4,7,78,3,221,399
24031,"Joliette/Joliette"," 120","Saint-Ambroise-de-Kildare",58,29,71,1,8,80,8,255,399
24031,"Joliette/Joliette"," 121","Saint-Ambroise-de-Kildare",66,23,53,0,4,72,5,223,365
24031,"Joliette/Joliette"," 122","Sainte-Marcelline-de-Kildare",69,21,43,0,1,66,2,202,329
24031,"Joliette/Joliette"," 123","Sainte-Marcelline-de-Kildare",73,7,44,0,6,50,7,187,302
24031,"Joliette/Joliette"," 124","Sainte-Marcelline-de-Kildare",57,11,31,1,10,96,5,211,359
24031,"Joliette/Joliette"," 125","Sainte-Marcelline-de-Kildare",69,17,31,1,2,57,3,180,294
24031,"Joliette/Joliette"," 126","Saint-Alphonse-Rodriguez",40,11,30,0,4,68,3,156,326
24031,"Joliette/Joliette"," 127","Saint-Alphonse-Rodriguez",57,14,37,1,3,82,1,195,393
24031,"Joliette/Joliette"," 128","Saint-Alphonse-Rodriguez",45,14,38,1,6,62,6,172,418
24031,"Joliette/Joliette"," 129","Saint-Alphonse-Rodriguez",78,6,25,4,3,62,1,179,368
24031,"Joliette/Joliette"," 130","Saint-Alphonse-Rodriguez",62,13,34,0,6,72,0,187,365
24031,"Joliette/Joliette"," 131","Saint-Alphonse-Rodriguez",45,7,37,0,6,61,4,160,289
24031,"Joliette/Joliette"," 132","Saint-Alphonse-Rodriguez",35,6,31,0,2,46,2,122,293
24031,"Joliette/Joliette"," 133","Saint-Alphonse-Rodriguez",39,12,30,0,5,44,3,133,307
24031,"Joliette/Joliette"," 134","Chertsey",31,13,29,0,6,89,3,171,421
24031,"Joliette/Joliette"," 135","Chertsey",40,16,28,0,3,57,2,146,364
24031,"Joliette/Joliette"," 136","Chertsey",22,10,17,0,1,36,2,88,261
24031,"Joliette/Joliette"," 137","Chertsey",43,11,31,0,6,73,0,164,392
24031,"Joliette/Joliette"," 138","Chertsey",26,8,19,1,4,53,1,112,325
24031,"Joliette/Joliette"," 139","Chertsey",35,14,21,0,1,58,0,129,370
24031,"Joliette/Joliette"," 140","Chertsey",48,14,35,0,6,68,1,172,386
24031,"Joliette/Joliette"," 141","Chertsey",27,21,29,1,9,67,3,157,417
24031,"Joliette/Joliette"," 142","Chertsey",51,19,37,2,4,78,4,195,412
24031,"Joliette/Joliette"," 143","Chertsey",34,8,31,1,3,55,2,134,381
24031,"Joliette/Joliette"," 144","Chertsey",34,16,38,0,4,63,4,159,426
24031,"Joliette/Joliette"," 145","Notre-Dame-de-la-Merci",33,15,28,0,5,81,1,163,283
24031,"Joliette/Joliette"," 146","Notre-Dame-de-la-Merci",34,12,24,0,3,44,1,118,230
24031,"Joliette/Joliette"," 147","Notre-Dame-de-la-Merci",57,9,41,1,3,60,4,175,300
24031,"Joliette/Joliette"," 148","Saint-Donat",53,16,45,2,3,62,1,182,379
24031,"Joliette/Joliette"," 149","Saint-Donat",43,11,31,0,3,50,1,139,293
