Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Aldag,Scott Anderson,Dean Drysdale,Rebecca Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 53","Surrey",143,14,82,38,3,280,507
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 54","Surrey",128,6,67,29,0,230,471
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 55","Surrey",131,6,86,34,0,257,524
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 56","Surrey",138,7,71,34,0,250,461
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 57","Surrey",154,7,84,27,0,272,524
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 58","Surrey",108,3,61,31,1,204,430
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 59","Surrey",126,7,78,21,0,232,447
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 60","Surrey",105,8,85,29,2,229,472
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 61","Surrey",145,8,85,36,1,275,538
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 62","Surrey",117,5,80,31,2,235,416
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 63","Surrey",160,7,102,44,1,314,661
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 64","Surrey",97,13,87,15,0,212,427
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 65","Surrey",108,1,94,27,0,230,503
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 66","Surrey",76,16,111,18,2,223,502
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 67","Surrey",130,15,105,43,0,293,533
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 68","Surrey",110,10,42,38,0,200,356
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 69","Surrey",122,4,79,29,0,234,401
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 70","Surrey",112,5,80,24,1,222,439
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 71","Surrey",81,4,52,19,0,156,313
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 72","Surrey",83,1,98,27,0,209,378
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 73","Surrey",92,6,58,27,0,183,303
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 74","Surrey",128,8,131,25,0,292,519
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 75","Surrey",140,6,114,33,0,293,543
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 76","Surrey",84,3,96,21,0,204,419
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 77","Surrey",111,7,87,46,1,252,470
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 78","Surrey",168,23,86,52,1,330,580
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 79","Surrey",118,7,68,24,0,217,411
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 80","Surrey",137,19,121,28,0,305,543
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 81","Surrey",151,13,87,34,1,286,451
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 82","Surrey",138,8,98,36,0,280,495
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 83","Surrey",121,13,120,29,1,284,450
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 84","Surrey",134,11,66,59,1,271,490
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 85A","Surrey",83,15,62,26,0,186,341
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 85B","Mobile poll/Bureau itinérant",22,3,28,21,0,74,61
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 86","Surrey",92,6,102,42,0,242,470
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 87","Surrey",110,9,99,24,0,242,480
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 88","Surrey",183,3,111,29,1,327,586
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 89","Surrey",133,7,88,18,0,246,443
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 90","Surrey",107,8,113,29,2,259,440
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 91","Surrey",95,9,84,50,0,238,398
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 92","Surrey",105,11,78,50,0,244,524
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 93","Surrey",142,18,75,66,0,301,559
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 94","Surrey",82,5,56,50,0,193,403
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 95","Surrey",84,6,62,51,0,203,453
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 96","Surrey",49,12,47,38,0,146,306
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 97","Surrey",202,9,107,35,0,353,616
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 98","Surrey",159,10,124,38,2,333,533
